序号,学校代码,学校名称,办别,所属区,区代码
106,065057,上海市三泉学校,PUBLIC,静安区,JA
107,065058,上海戏剧学院附属静安学校,PUBLIC,静安区,JA
108,065078,上海市静安区大宁国际学校,PUBLIC,静安区,JA
109,71045,上海市洵阳中学,PUBLIC,普陀区,PT
110,71046,上海市北海中学,PUBLIC,普陀区,PT
111,71047,上海市延河中学,PUBLIC,普陀区,PT
112,71048,上海市曹杨第二中学附属实验中学,PUBLIC,普陀区,PT
113,71049,华东师范大学第四附属中学,PUBLIC,普陀区,PT
114,71050,上海市怒江中学,PUBLIC,普陀区,PT
115,71051,上海师范大学附属第二实验学校,PUBLIC,普陀区,PT
116,71053,上海市真北中学,PUBLIC,普陀区,PT
117,71054,上海市普陀区教育学院附属中学,PUBLIC,普陀区,PT
118,71056,上海市梅陇中学,PUBLIC,普陀区,PT
119,71060,上海兰田中学,PUBLIC,普陀区,PT
120,73004,上海市曹杨中学,PUBLIC,普陀区,PT
121,74005,同济大学第二附属中学,PUBLIC,普陀区,PT
122,74009,上海市新杨中学,PUBLIC,普陀区,PT
123,74010,上海市长征中学,PUBLIC,普陀区,PT
124,74011,上海市桃浦中学,PUBLIC,普陀区,PT
125,74012,上海市晋元高级中学附属学校南校,PUBLIC,普陀区,PT
126,74016,上海音乐学院附属安师实验中学,PUBLIC,普陀区,PT
127,74018,上海华东师范大学附属进华中学,PUBLIC,普陀区,PT
128,74081,上海安生学校,PUBLIC,普陀区,PT
129,75013,上海培佳双语学校,PUBLIC,普陀区,PT
130,75044,上海市光新学校,PUBLIC,普陀区,PT
131,75061,上海市铜川学校,PUBLIC,普陀区,PT
132,75062,上海市沙田学校,PUBLIC,普陀区,PT
133,75063,华东师范大学附属外国语实验学校,PUBLIC,普陀区,PT
134,75064,上海市子长学校,PUBLIC,普陀区,PT
135,75065,上海市洛川学校,PUBLIC,普陀区,PT
136,75066,上海市宜川中学附属学校,PUBLIC,普陀区,PT
137,75067,上海市曹杨中学附属学校,PUBLIC,普陀区,PT
138,75068,上海市普陀区教育学院附属学校,PUBLIC,普陀区,PT
139,75069,上海市晋元高级中学附属学校,PUBLIC,普陀区,PT
140,75070,上海市曹杨第二中学附属学校,PUBLIC,普陀区,PT
141,75071,上海市民办新黄浦实验学校,PRIVATE,普陀区,PT
142,75072,上海市江宁学校,PUBLIC,普陀区,PT
143,75073,上海市中远实验学校,PUBLIC,普陀区,PT
144,75077,上海市金鼎学校,PUBLIC,普陀区,PT
145,75078,上海外国语大学尚阳外国语学校,PUBLIC,普陀区,PT
146,75079,上海市文达学校,PUBLIC,普陀区,PT
147,75080,上海理工大学附属普陀实验学校,PUBLIC,普陀区,PT
148,75113,上海市万里城实验学校,PUBLIC,普陀区,PT
149,HK0001,上海市钟山初级中学,PUBLIC,虹口区,HK
150,HK0002,上海市江湾初级中学,PUBLIC,虹口区,HK
151,HK0003,上海市复兴实验中学,PUBLIC,虹口区,HK
152,HK0004,上海市虹口区教育学院实验中学,PUBLIC,虹口区,HK
153,HK0005,上海市第五中学,PUBLIC,虹口区,HK
154,HK0006,上海市曲阳第二中学,PUBLIC,虹口区,HK
155,HK0007,上海市北虹初级中学,PUBLIC,虹口区,HK
156,HK0008,上海市海南中学,PUBLIC,虹口区,HK
157,HK0009,上海市丰镇中学,PUBLIC,虹口区,HK
158,HK0010,上海市澄衷初级中学,PUBLIC,虹口区,HK
159,HK0011,上海市鲁迅初级中学,PUBLIC,虹口区,HK
160,HK0012,上海市继光初级中学,PUBLIC,虹口区,HK
161,HK0013,华东师范大学第一附属初级中学,PUBLIC,虹口区,HK
162,HK0014,上海市民办新复兴初级中学,PRIVATE,虹口区,HK
163,HK0015,上海市民办新华初级中学,PRIVATE,虹口区,HK
164,HK0016,上海市民办新北郊初级中学,PRIVATE,虹口区,HK
165,HK0017,上海市第五十二中学,PUBLIC,虹口区,HK
166,HK0018,上海市民办迅行中学,PRIVATE,虹口区,HK
167,HK0019,上海外国语大学第一实验学校,PUBLIC,虹口区,HK
168,HK0020,上海市北郊学校,PUBLIC,虹口区,HK
169,HK0021,上海市霍山学校,PUBLIC,虹口区,HK
170,HK0022,上海市长青学校,PUBLIC,虹口区,HK
171,HK0023,上海市虹口实验学校,PUBLIC,虹口区,HK
172,HK0024,上海世外教育附属虹口区欧阳学校,PUBLIC,虹口区,HK
173,101000,上海市铁岭中学,PUBLIC,杨浦区,YP
174,101001,上海市鞍山初级中学,PUBLIC,杨浦区,YP
175,101002,上海市十五中学,PUBLIC,杨浦区,YP
176,101003,上海市杨浦初级中学,PUBLIC,杨浦区,YP
177,101004,上海市惠民中学,PUBLIC,杨浦区,YP
178,101005,上海市辽阳中学,PUBLIC,杨浦区,YP
179,101006,上海市新大桥中学,PUBLIC,杨浦区,YP
180,101007,上海市建设初级中学,PUBLIC,杨浦区,YP
181,101008,上海市东辽阳中学,PUBLIC,杨浦区,YP
182,101009,上海市二十五中学,PUBLIC,杨浦区,YP
183,101012,上海理工大学附属初级中学,PUBLIC,杨浦区,YP
184,101014,上海市杨浦区教育学院附属中学,PUBLIC,杨浦区,YP
185,101015,上海市同济初级中学,PUBLIC,杨浦区,YP
186,101016,"上海市三门中学（上海财经大学
附属初级中学）",PUBLIC,杨浦区,YP
187,101018,上海市包头中学,PUBLIC,杨浦区,YP
188,101019,上海市思源中学,PUBLIC,杨浦区,YP
189,101020,上海市鞍山实验中学,PUBLIC,杨浦区,YP
190,101021,上海市同济第二初级中学,PUBLIC,杨浦区,YP
191,101022,上海市国和中学,PUBLIC,杨浦区,YP
192,101023,上海理工大学附属实验初级中学,PUBLIC,杨浦区,YP
193,101024,上海市控江初级中学,PUBLIC,杨浦区,YP
194,101026,上海市存志学校,PUBLIC,杨浦区,YP
195,101027,上海民办杨浦凯慧初级中学,PRIVATE,杨浦区,YP
196,103012,"上海市市东实验学校（上海市市
东中学）",PUBLIC,杨浦区,YP
197,103075,上海市复旦实验中学,PUBLIC,杨浦区,YP
198,104001,上海民办兰生中学,PRIVATE,杨浦区,YP
199,104014,上海市长阳实验学校,PUBLIC,杨浦区,YP
200,104067,上海民办杨浦实验学校,PRIVATE,杨浦区,YP
201,104073,上海市体育学院附属中学,PUBLIC,杨浦区,YP
202,105000,上海音乐学院实验学校,PUBLIC,杨浦区,YP
203,105001,上海市黄兴学校,PUBLIC,杨浦区,YP
204,105002,上海市昆明学校,PUBLIC,杨浦区,YP
205,105003,上海市育鹰学校,PUBLIC,杨浦区,YP
206,105004,上海杨浦双语学校,PUBLIC,杨浦区,YP
207,105005,上海市市光学校,PUBLIC,杨浦区,YP
208,105006,上海民办沪东外国语学校,PRIVATE,杨浦区,YP
209,105007,上海同大实验学校,PUBLIC,杨浦区,YP
210,105008,复旦大学第二附属学校,PUBLIC,杨浦区,YP
211,初中学校代码,初中学校名称,PUBLIC,杨浦区,YP
212,121002,上海市航华中学,PUBLIC,闵行区,MH
213,121003,上海市闵行区上虹中学,PUBLIC,闵行区,MH
214,121004,上海市龙柏中学,PUBLIC,闵行区,MH
215,121005,上海市闵行区七宝第二中学,PUBLIC,闵行区,MH
216,121008,上海市罗阳中学,PUBLIC,闵行区,MH
217,121009,上海市闵行区莘松中学,PUBLIC,闵行区,MH
218,121010,上海市七宝中学附属闵行金都实验中学,PUBLIC,闵行区,MH
219,121011,上海市闵行区北桥中学,PUBLIC,闵行区,MH
220,121013,上海市闵行区浦江第一中学,PUBLIC,闵行区,MH
221,121014,上海市闵行区浦江第二中学,PUBLIC,闵行区,MH
222,121015,上海市闵行区浦江第三中学,PUBLIC,闵行区,MH
223,121016,上海市闵行第四中学,PUBLIC,闵行区,MH
224,121018,上海市闵行区颛桥中学,PUBLIC,闵行区,MH
225,121022,上海市实验学校西校,PUBLIC,闵行区,MH
226,121024,上海市闵行区鹤北初级中学,PUBLIC,闵行区,MH
227,121025,上海市闵行区龙茗中学,PUBLIC,闵行区,MH
228,121026,上海市七宝实验中学,PUBLIC,闵行区,MH
229,121027,上海市师资培训中心附属闵行实验中学,PUBLIC,闵行区,MH
230,121030,上海市吴泾中学,PUBLIC,闵行区,MH
231,121031,上海市闵行区七宝第三中学,PUBLIC,闵行区,MH
232,121032,华东师范大学第二附属中学附属初级中学,PUBLIC,闵行区,MH
233,121033,上海市闵行区浦航实验中学,PUBLIC,闵行区,MH
234,121034,上海市闵行区马桥复旦万科实验中学,PUBLIC,闵行区,MH
235,121035,上海中医药大学附属闵行晶城中学,PUBLIC,闵行区,MH
236,121036,上海师范大学附属闵行第三中学,PUBLIC,闵行区,MH
237,121038,上海市闵行区田园外国语中学,PUBLIC,闵行区,MH
238,121039,上海市闵行中学附属实验中学,PUBLIC,闵行区,MH
239,121131,上海尚师初级中学,PUBLIC,闵行区,MH
240,121132,上海市骏博外国语学校,PUBLIC,闵行区,MH
241,124006,上海市闵行第三中学,PUBLIC,闵行区,MH
242,124007,上海市闵行区教育学院附属友爱实验中学,PUBLIC,闵行区,MH
243,124008,上海交通大学附属第二中学,PUBLIC,闵行区,MH
244,124009,上海市民办上宝中学,PRIVATE,闵行区,MH
245,124011,上海市七宝中学附属鑫都实验中学,PUBLIC,闵行区,MH
246,124108,上海市文来中学,PUBLIC,闵行区,MH
247,124109,上海市民办文绮中学,PRIVATE,闵行区,MH
248,124115,上海闵行区协和双语教科学校,PUBLIC,闵行区,MH
249,125001,上海市闵行区诸翟学校,PUBLIC,闵行区,MH
250,125002,上海市金汇实验学校,PUBLIC,闵行区,MH
251,125003,上海市莘光学校,PUBLIC,闵行区,MH
252,125010,上海市闵行区纪王学校,PUBLIC,闵行区,MH
253,125011,上海市马桥强恕学校,PUBLIC,闵行区,MH
254,125013,上海市古美学校,PUBLIC,闵行区,MH
255,125015,上海师范大学康城实验学校,PUBLIC,闵行区,MH
256,125016,上海市莘城学校,PUBLIC,闵行区,MH
257,125017,上海市闵行区明星学校,PUBLIC,闵行区,MH
258,125018,上海市闵行区文来实验学校,PUBLIC,闵行区,MH
259,125020,上海市闵行区君莲学校,PUBLIC,闵行区,MH
260,125021,上海市闵行区华漕学校,PUBLIC,闵行区,MH
261,125022,上海世外教育附属浦江外国语学校,PUBLIC,闵行区,MH
262,125027,华东理工大学附属闵行梅陇实验学校,PUBLIC,闵行区,MH
263,125106,上海市民办德英乐实验学校,PRIVATE,闵行区,MH
264,125107,上海市燎原双语学校,PUBLIC,闵行区,MH
265,125109,上海市民办协和双语尚音学校,PRIVATE,闵行区,MH
266,125110,上海市民办协和双语学校,PRIVATE,闵行区,MH
267,125112,上海市民办万源城协和双语学校,PRIVATE,闵行区,MH
268,125113,上海星河湾双语学校,PUBLIC,闵行区,MH
269,125114,上海博世凯外国语学校,PUBLIC,闵行区,MH
270,125115,上海闵行区万科双语学校,PUBLIC,闵行区,MH
271,125116,上海闵行区民办美高双语学校,PRIVATE,闵行区,MH
272,125117,上海闵行区诺达双语学校,PUBLIC,闵行区,MH
273,125118,上海民办圣华紫竹双语学校,PRIVATE,闵行区,MH
274,125119,上海闵行区民办德闳学校,PRIVATE,闵行区,MH
275,初中代码,初中学校名称,PUBLIC,闵行区,MH
276,131002,上海市淞谊中学,PUBLIC,宝山区,BS
277,131004,上海市宝山区教育学院附属中学,PUBLIC,宝山区,BS
278,131006,上海市吴淞初级中学,PUBLIC,宝山区,BS
279,131008,上海市海滨第二中学,PUBLIC,宝山区,BS
280,131009,上海民办宝莲中学,PRIVATE,宝山区,BS
281,131010,上海市吴淞第二中学,PUBLIC,宝山区,BS
282,131011,上海市虎林中学,PUBLIC,宝山区,BS
283,131012,上海市泗塘中学,PUBLIC,宝山区,BS
284,131013,上海市宝山区求真中学北校,PUBLIC,宝山区,BS
285,131014,上海市泗塘第二中学,PUBLIC,宝山区,BS
286,131015,上海市长江第二中学,PUBLIC,宝山区,BS
287,131016,上海市宝山区求真中学,PUBLIC,宝山区,BS
288,131018,上海市大场中学,PUBLIC,宝山区,BS
289,131019,上海市大华中学,PUBLIC,宝山区,BS
290,131020,上海市月浦中学,PUBLIC,宝山区,BS
291,131023,上海市罗泾中学,PUBLIC,宝山区,BS
292,131026,上海市罗南中学,PUBLIC,宝山区,BS
293,131035,上海市民办交华中学,PRIVATE,宝山区,BS
294,131036,上海市宝山区高境镇第三中学,PUBLIC,宝山区,BS
295,131038,上海市宝山区罗店第二中学,PUBLIC,宝山区,BS
296,131039,上海市宝山区乐之中学,PUBLIC,宝山区,BS
297,131040,上海市宝山区美兰湖中学,PUBLIC,宝山区,BS
298,131041,上海市宝山区杨泰实验中学,PUBLIC,宝山区,BS
299,131042,上海师范大学附属宝山经纬实验中学,PUBLIC,宝山区,BS
300,133002,上海师范大学附属宝山罗店中学,PUBLIC,宝山区,BS
301,134004,上海市顾村中学,PUBLIC,宝山区,BS
302,134005,上海市行知实验中学,PUBLIC,宝山区,BS
303,134006,上海市高境第一中学,PUBLIC,宝山区,BS
304,134008,上海市盛桥中学,PUBLIC,宝山区,BS
305,135001,上海市同洲模范学校,PUBLIC,宝山区,BS
306,135002,上海市宝山实验学校,PUBLIC,宝山区,BS
307,135004,上海市民办锦秋学校,PRIVATE,宝山区,BS
308,135005,上海市月浦实验学校,PUBLIC,宝山区,BS
309,135006,上海市宝钢新世纪学校,PUBLIC,宝山区,BS
310,135007,上海市吴淞实验学校,PUBLIC,宝山区,BS
311,135009,上海市宝山区天馨学校,PUBLIC,宝山区,BS
312,135010,上海市宝山区上海大学附属中学实验学校,PUBLIC,宝山区,BS
313,135011,上海市宝山区共富实验学校,PUBLIC,宝山区,BS
314,135012,华东师范大学宝山实验学校,PUBLIC,宝山区,BS
315,135013,上海大学附属学校,PUBLIC,宝山区,BS
316,135014,上海农场学校,PUBLIC,宝山区,BS
317,135018,上海市宝山区馨家园学校,PUBLIC,宝山区,BS
318,135019,上海世外教育附属宝山大华实验学校,PUBLIC,宝山区,BS
319,135020,上海市宝山区教育学院实验学校,PUBLIC,宝山区,BS
320,135021,上海市宝山区鹿鸣学校,PUBLIC,宝山区,BS
321,135022,上海市宝山区庙行实验学校,PUBLIC,宝山区,BS
322,135023,上海市宝山区顾村实验学校,PUBLIC,宝山区,BS
323,135024,上海市教育学会宝山实验学校,PUBLIC,宝山区,BS
324,135025,上海市宝山区行知外国语学校,PUBLIC,宝山区,BS
325,135026,上海市宝山区新民实验学校,PUBLIC,宝山区,BS
326,135027,上海市刘行新华实验学校,PUBLIC,宝山区,BS
327,135028,上海民办华曜宝山实验学校,PRIVATE,宝山区,BS
328,135029,上海大学附属宝山外国语学校,PUBLIC,宝山区,BS
329,135030,上海市白茅岭学校（上海市白茅岭学校军天湖分校）,PUBLIC,宝山区,BS
330,135031,上海外国语大学附属宝山双语学校,PUBLIC,宝山区,BS
331,135032,上海市行知中学附属宝山实验学校,PUBLIC,宝山区,BS
332,135033,上海民办至德实验学校,PRIVATE,宝山区,BS
333,135034,上海宝山区世外学校,PUBLIC,宝山区,BS
334,135035,上海师范大学附属宝山实验学校,PUBLIC,宝山区,BS
335,135036,上海师范大学附属宝山潜溪学校,PUBLIC,宝山区,BS
336,135040,上海市存志附属宝山实验学校,PUBLIC,宝山区,BS
337,135042,华东师范大学附属宝山宝杨实验学校,PUBLIC,宝山区,BS
338,135043,上海市宝山区陈伯吹罗店实验学校,PUBLIC,宝山区,BS
339,合计,合计,PUBLIC,宝山区,BS
340,JD0001,上海市嘉定区启良中学,PUBLIC,嘉定区,JD
341,JD0002,上海市嘉定区方泰中学,PUBLIC,嘉定区,JD
342,JD0003,上海市曹杨二中附属江桥实验中学,PUBLIC,嘉定区,JD
343,JD0004,上海市嘉定区迎园中学,PUBLIC,嘉定区,JD
344,JD0005,上海市嘉定区南苑中学,PUBLIC,嘉定区,JD
345,JD0006,上海市嘉定区黄渡中学,PUBLIC,嘉定区,JD
346,JD0007,上海市嘉定区徐行中学,PUBLIC,嘉定区,JD
347,JD0008,上海市嘉定区马陆育才联合中学,PUBLIC,嘉定区,JD
348,JD0009,上海市民办嘉一联合中学,PRIVATE,嘉定区,JD
349,JD0010,上海市嘉定区丰庄中学,PUBLIC,嘉定区,JD
350,JD0011,上海市嘉定区外冈中学,PUBLIC,嘉定区,JD
351,JD0012,上海民办华曜嘉定初级中学,PRIVATE,嘉定区,JD
352,JD0013,上海市嘉定区震川中学,PUBLIC,嘉定区,JD
353,JD0014,上海大学附属嘉定留云中学,PUBLIC,嘉定区,JD
354,JD0015,交大附中附属嘉定德富中学,PUBLIC,嘉定区,JD
355,JD0016,同济大学附属实验中学,PUBLIC,嘉定区,JD
356,JD0017,上海市嘉定区华江中学,PUBLIC,嘉定区,JD
357,JD0018,上海市嘉定区新城实验中学,PUBLIC,嘉定区,JD
358,JD0019,上海市嘉定区南翔中学,PUBLIC,嘉定区,JD
359,JD0020,上海市嘉定区疁城实验学校,PUBLIC,嘉定区,JD
360,JD0021,上海市嘉定区戬浜学校,PUBLIC,嘉定区,JD
361,JD0022,上海市嘉定区朱桥学校,PUBLIC,嘉定区,JD
362,JD0023,上海市嘉定区苏民学校,PUBLIC,嘉定区,JD
363,JD0024,上海市民办远东学校,PRIVATE,嘉定区,JD
364,JD0025,上海市民办桃李园实验学校,PRIVATE,嘉定区,JD
365,JD0026,上海市嘉定区华亭学校,PUBLIC,嘉定区,JD
366,JD0027,上海市嘉定区娄塘学校,PUBLIC,嘉定区,JD
367,JD0028,上海外国语大学嘉定外国语学校,PUBLIC,嘉定区,JD
368,JD0029,上海市嘉定区练川实验学校,PUBLIC,嘉定区,JD
369,JD0030,上海华旭双语学校,PUBLIC,嘉定区,JD
370,JD0031,中科院上海实验学校,PUBLIC,嘉定区,JD
