district,school_name,min_score
普陀区,上海市南洋中学,707.00
普陀区,上海市第三女子中学,732.00
普陀区,上海市延安中学,743.50
普陀区,上海市复旦中学,721.50
普陀区,上海市市西中学,731.00
普陀区,上海市进才中学,720.50
普陀区,上海市新中高级中学,708.50
普陀区,上海市市北中学,726.50
普陀区,上海市回民中学,690.50
普陀区,上海市第六十中学,694.00
虹口区,上海南汇中学,697.00
虹口区,复旦大学附属复兴中学,743.00
虹口区,华东师范大学第一附属中学,726.50
虹口区,上海财经大学附属北郊高级中学,710.50
虹口区,上海交通大学附属中学,755.50
虹口区,复旦大学附属中学,755.00
虹口区,华东师范大学第二附属中学,746.00
虹口区,上海中学东校,731.00
普陀区,上海市松江二中,725.00
普陀区,上海市松江一中,702.50
普陀区,上海市青浦高级中学,692.50
普陀区,上海市朱家角中学,702.00
普陀区,上海市奉贤中学,737.50
普陀区,上海市崇明中学,705.50
虹口区,上海市格致中学,740.00
虹口区,上海市光明中学,690.00
虹口区,上海市敬业中学,718.50
虹口区,上海市第二中学,671.50
虹口区,上海市南洋模范中学,741.00
虹口区,上海市位育中学,717.50
虹口区,上海市南洋中学,700.00
虹口区,上海市第三女子中学,712.00
虹口区,上海市延安中学,727.00
虹口区,上海市复旦中学,697.50
虹口区,上海市进才中学,716.00
虹口区,上海市新中高级中学,696.50
虹口区,上海市市北中学,723.00
虹口区,上海市回民中学,694.00
虹口区,上海市第六十中学,688.50
杨浦区,上海南汇中学,708.50
杨浦区,上海交通大学附属中学,757.00
杨浦区,复旦大学附属中学,760.00
杨浦区,同济大学第一附属中学,728.00
杨浦区,华东师范大学第二附属中学,740.50
虹口区,华东师范大学第二附属中学临港奉贤分校,718.50
虹口区,上海市朱家角中学,656.00
虹口区,上海市奉贤中学,717.50
虹口区,上海市崇明中学,706.50
杨浦区,上海市格致中学,743.50
杨浦区,上海市向明中学,696.00
杨浦区,上海市光明中学,710.50
杨浦区,上海市敬业中学,725.00
杨浦区,上海市第二中学,719.00
杨浦区,上海市南洋模范中学,740.00
杨浦区,上海市位育中学,735.50
杨浦区,上海市南洋中学,714.00
杨浦区,上海市第三女子中学,708.50
杨浦区,上海市延安中学,735.00
杨浦区,上海市复旦中学,704.50
杨浦区,上海市市西中学,731.00
杨浦区,上海市进才中学,705.00
杨浦区,上海市新中高级中学,704.50
杨浦区,上海市市北中学,722.50
杨浦区,上海市回民中学,677.00
杨浦区,上海市第六十中学,689.00
杨浦区,上海市晋元高级中学,722.00
杨浦区,上海市曹杨第二中学,748.00
杨浦区,上海市宜川中学,713.50
杨浦区,上海市杨浦高级中学,733.50
杨浦区,上海市七宝中学,747.50
闵行区,上海南汇中学,712.50
闵行区,上海交通大学附属中学,760.00
闵行区,复旦大学附属中学,763.00
