id,name,short_name,district,tier,district_rank,estimated_student_count
679,上海市奉贤区齐贤学校,上海市奉贤区,奉贤区,,,67
555,上海科技大学附属学校,上海科技大学,浦东新区,,,189
152,上海市静安区教育学院附属学校,上海市静安区,静安区,,,184
362,上海农场学校,上海农场学校,宝山区,,,74
464,上海民办浦东交中初级中学,上海民办浦东,浦东新区,一梯队,4,236
694,上海市崇明区合兴中学,上海市崇明区,崇明区,,,39
60,民办明珠中学,民办明珠中学,黄浦区,二梯队,8,157
137,上海市彭浦第三中学,上海市彭浦第,静安区,三梯队,15,197
509,上海浦东新区民办正达外国语学校,上海浦东新区,浦东新区,,,189
698,上海市崇明区实验中学,上海市崇明区,崇明区,,,335
99,上海民办位育中学,上海民办位育,徐汇区,,,188
71,大同初级中学（原黄浦学校）,大同初级中学,黄浦区,一梯队,2,75
289,上海交通大学附属第二中学,上海交通大学,闵行区,,,450
657,上海市奉贤区青村中学,上海市奉贤区,奉贤区,,,67
136,上海市保德中学,上海市保德中,静安区,,,94
661,上海市奉贤区四团中学,上海市奉贤区,奉贤区,,,34
427,上海市三林中学北校,上海市三林中,浦东新区,,,450
246,上海民办杨浦实验学校,上海民办杨浦,杨浦区,,,142
134,上海市青云中学,上海市青云中,静安区,,,263
113,上海市新泾中学,上海市新泾中,长宁区,,,155
459,上海浦东新区民办恒洋外国语学校,上海浦东新区,浦东新区,,,189
667,上海市奉贤中学附属初级中学,上海市奉贤中,奉贤区,,,67
293,上海市民办文绮中学,上海市民办文,闵行区,一梯队,3,463
441,上海市育人中学,上海市育人中,浦东新区,,,321
55,卢湾中学,卢湾中学,黄浦区,,,199
170,上海市新杨中学,上海市新杨中,普陀区,,,383
545,上海浦东新区民办远翔实验学校,上海浦东新区,浦东新区,一梯队,1,189
64,储能中学,储能中学,黄浦区,三梯队,11,112
519,上海市川沙中学南校,上海市川沙中,浦东新区,,,377
671,上海市奉贤区西渡学校,上海市奉贤区,奉贤区,,,135
323,上海市宝山区教育学院附属中学,上海市宝山区,宝山区,,,501
349,上海市高境第一中学,上海市高境第,宝山区,,,148
324,上海市吴淞初级中学,上海市吴淞初,宝山区,,,109
280,上海市闵行区马桥复旦万科实验中学,上海市闵行区,闵行区,,,281
65,金陵中学,金陵中学,黄浦区,,,56
337,上海市罗泾中学,上海市罗泾中,宝山区,,,305
189,上海市民办新黄浦实验学校,上海市民办新,普陀区,,,69
658,上海市奉贤区奉城第二中学,上海市奉贤区,奉贤区,,,118
249,上海市黄兴学校,上海市黄兴学,杨浦区,,,133
607,上海市松江区天马山学校,上海市松江区,松江区,,,71
416,中科院上海实验学校,中科院上海实,嘉定区,,,361
529,上海市三灶学校,上海市三灶学,浦东新区,,,94
442,上海市东林中学,上海市东林中,浦东新区,,,171
689,上海市奉贤区奉浦中学,上海市奉贤区,奉贤区,,,101
382,上海市存志附属宝山实验学校,上海市存志附,宝山区,一梯队,4,74
487,上海市浦东模范实验中学,上海市浦东模,浦东新区,,,94
14,上海大学附属嘉定留云中学,,嘉定区,,,174
480,上海市临港第一中学,上海市临港第,浦东新区,,,257
467,上海市南汇第三中学,上海市南汇第,浦东新区,,,343
192,上海市金鼎学校,上海市金鼎学,普陀区,,,46
11,上海市嘉定区外冈中学,,嘉定区,,,107
154,上海市三泉学校,上海市三泉学,静安区,,,101
567,上海市金山初级中学,上海市金山初,金山区,二梯队,5,405
613,东华大学附属实验学校,东华大学附属,松江区,,,428
624,上海市青浦区尚美中学,上海市青浦区,青浦区,二梯队,5,119
512,上海市老港中学,上海市老港中,浦东新区,,,189
435,上海市东昌东校,上海市东昌东,浦东新区,,,189
19,上海市嘉定区南翔中学,,嘉定区,,,214
133,上海外国语大学苏河湾实验中学,上海外国语大,静安区,一梯队,4,125
270,上海市闵行区颛桥中学,上海市闵行区,闵行区,三梯队,12,356
