year,school_code,district,quota_count
2026,103002,静安区,1
2026,122001,静安区,8
2026,123001,静安区,5
2026,122002,静安区,6
2026,122003,静安区,4
2026,122004,静安区,4
2026,132001,静安区,8
2026,132002,静安区,6
2026,133001,静安区,6
2026,132003,静安区,5
2026,133003,静安区,8
2026,142001,静安区,6
2026,142002,静安区,8
2026,152001,静安区,8
2026,152002,静安区,7
2026,152004,静安区,8
2026,153001,静安区,9
2026,153004,静安区,6
2026,153005,静安区,9
2026,151078,静安区,6
2026,152005,静安区,6
2026,162000,静安区,2
2026,163002,静安区,2
2026,172001,静安区,2
2026,173001,静安区,2
2026,172002,静安区,3
2026,174003,静安区,2
2026,182001,静安区,5
2026,183002,静安区,5
2026,182002,静安区,5
2026,202001,静安区,2
2026,202002,静安区,7
2026,512000,静安区,2
2026,512001,静安区,2
2026,042032,长宁区,9
2026,102056,长宁区,8
2026,102057,长宁区,10
2026,152003,长宁区,9
2026,152006,长宁区,2
2026,012001,长宁区,4
2026,012005,长宁区,4
2026,012007,长宁区,2
2026,012008,长宁区,1
2026,012011,长宁区,2
2026,042001,长宁区,6
2026,042008,长宁区,7
2026,042035,长宁区,2
2026,043015,长宁区,4
2026,052001,长宁区,8
2026,052002,长宁区,6
2026,053004,长宁区,5
2026,062001,长宁区,7
2026,062002,长宁区,2
2026,062003,长宁区,3
2026,062004,长宁区,3
2026,062011,长宁区,1
2026,063004,长宁区,3
2026,064001,长宁区,4
2026,072001,长宁区,4
2026,072002,长宁区,6
2026,073003,长宁区,7
2026,073082,长宁区,9
2026,092001,长宁区,2
2026,092002,长宁区,1
2026,102004,长宁区,1
2026,122001,长宁区,3
2026,123001,长宁区,4
2026,122002,长宁区,4
2026,122003,长宁区,2
2026,122004,长宁区,3
2026,132001,长宁区,1
2026,132002,长宁区,3
2026,132003,长宁区,3
2026,133003,长宁区,2
2026,142001,长宁区,4
2026,142002,长宁区,7
2026,142004,长宁区,3
2026,152001,长宁区,6
2026,152002,长宁区,8
2026,152004,长宁区,10
2026,153001,长宁区,1
2026,153004,长宁区,3
2026,153005,长宁区,7
2026,151078,长宁区,4
2026,162000,长宁区,1
2026,163002,长宁区,3
2026,172001,长宁区,2
2026,173001,长宁区,5
2026,174003,长宁区,2
2026,182001,长宁区,5
2026,183002,长宁区,6
2026,182002,长宁区,4
2026,202001,长宁区,2
2026,202002,长宁区,4
2026,512000,长宁区,2
2026,042032,宝山区,11
2026,102056,宝山区,24
2026,102057,宝山区,17
2026,152003,宝山区,10
2026,012001,宝山区,15
2026,012003,宝山区,6
2026,012007,宝山区,4
2026,012008,宝山区,2
2026,012011,宝山区,2
2026,042001,宝山区,2
2026,042008,宝山区,3
2026,042035,宝山区,2
2026,043015,宝山区,2
2026,052001,宝山区,5
2026,052002,宝山区,2
2026,053004,宝山区,1
2026,062001,宝山区,6
2026,062002,宝山区,6
2026,062003,宝山区,28
2026,062004,宝山区,12
2026,062011,宝山区,9
2026,063004,宝山区,12
2026,064001,宝山区,2
2026,072001,宝山区,30
2026,072002,宝山区,10
2026,073003,宝山区,10
2026,092001,宝山区,12
2026,092002,宝山区,4
2026,093001,宝山区,6
2026,102004,宝山区,18
2026,102032,宝山区,10
2026,103002,宝山区,26
2026,122001,宝山区,6
2026,123001,宝山区,10
2026,122002,宝山区,2
2026,122003,宝山区,7
2026,132001,宝山区,11
2026,132002,宝山区,12
2026,133001,宝山区,10
2026,132003,宝山区,5
2026,133003,宝山区,6
2026,142001,宝山区,9
2026,142002,宝山区,8
2026,142004,宝山区,4
2026,152001,宝山区,9
2026,152002,宝山区,8
2026,152004,宝山区,8
2026,153001,宝山区,5
2026,153004,宝山区,8
2026,153005,宝山区,5
2026,151078,宝山区,9
2026,152005,宝山区,2
2026,162000,宝山区,2
2026,163002,宝山区,2
2026,172001,宝山区,3
2026,173001,宝山区,3
2026,174003,宝山区,4
2026,182001,宝山区,6
2026,183002,宝山区,7
2026,182002,宝山区,4
2026,202001,宝山区,2
2026,202002,宝山区,2
2026,512000,宝山区,8
2026,512001,宝山区,2
2026,042032,杨浦区,8
2026,102056,杨浦区,47
