year,district,school_id,school_name,min_score
2026,黄浦区,157,上海市民办燎原双语高级中学,591.50
2026,黄浦区,161,上海闵行区诺达双语学校,545.50
2026,黄浦区,175,上海民办行中中学,584.50
2026,黄浦区,176,上海存志高级中学,676.50
2026,黄浦区,177,上海宝山区民办维尚高级中学,513.00
2026,黄浦区,178,上海创艺高级中学,534.50
2026,黄浦区,179,上海市宝山华曜高级中学,601.50
2026,黄浦区,180,上海市同洲模范学校,635.50
2026,黄浦区,181,上海金瑞学校,570.00
2026,黄浦区,182,上海宝山区世外学校,684.00
2026,黄浦区,190,上海市民办远东学校,588.50
2026,黄浦区,191,上海华旭双语学校,574.50
2026,黄浦区,4,华东师范大学第二附属中学,712.50
2026,黄浦区,225,上海市民办丰华高级中学,599.50
2026,黄浦区,233,上海市民办金苹果学校,592.50
2026,黄浦区,235,上海市民办尚德实验学校,632.50
2026,黄浦区,341,上海市民办交大南洋中学,579.00
2026,黄浦区,251,上海市民办永昌中学,565.50
2026,黄浦区,249,上海金山区世外学校,647.50
2026,黄浦区,263,上海市松江区科德高级中学,618.50
2026,黄浦区,266,上海领科双语学校,550.50
2026,黄浦区,267,上海市西外外国语学校,580.50
2026,黄浦区,269,上海赫贤学校,508.50
2026,黄浦区,270,上海松江区爱菊学校,697.50
2026,黄浦区,277,上海青浦区世外高级中学,680.50
2026,黄浦区,280,上海宋庆龄学校,571.50
2026,黄浦区,279,上海青浦区协和双语学校,587.00
2026,黄浦区,342,上海美达菲双语高级中学,518.00
2026,黄浦区,364,上海奉贤区博华高级中学,577.50
2026,黄浦区,291,上海市崇明区城桥中学,543.50
2026,黄浦区,294,上海市崇明区堡镇中学,655.50
2026,黄浦区,295,上海民办民一中学,564.00
2026,嘉定区,183,上海市嘉定区第一中学,688.00
2026,嘉定区,184,上海交通大学附属中学嘉定分校,699.00
2026,嘉定区,185,上海师范大学附属中学嘉定新城分校,690.50
2026,嘉定区,186,上海市嘉定区第二中学,658.50
2026,嘉定区,187,上海市嘉定区嘉一实验高级中学,670.50
2026,嘉定区,344,上海师范大学附属嘉定高级中学,646.00
2026,嘉定区,345,上海市嘉定区安亭高级中学,635.00
2026,嘉定区,297,上海大学附属嘉定高级中学,624.00
2026,嘉定区,188,上海市嘉定区中光高级中学,611.00
2026,黄浦区,39,上海市向明中学（浦江校区）,684.50
2026,黄浦区,47,上海市同济黄浦设计创意中学,617.00
2026,黄浦区,234,"",596.00
2026,嘉定区,189,上海市嘉定区封浜高级中学,593.50
2026,嘉定区,47,上海市同济黄浦设计创意中学,638.50
2026,嘉定区,1,上海市上海中学,716.50
2026,嘉定区,323,上海田家炳中学,658.00
2026,嘉定区,368,上海戏剧学院附属高级中学（艺术班）,588.00
2026,嘉定区,107,上海安生学校,531.50
2026,嘉定区,369,上海音乐学院附属安师实验中学（艺术班）,614.50
2026,嘉定区,2,上海交通大学附属中学,717.50
2026,嘉定区,3,复旦大学附属中学,718.00
2026,嘉定区,352,上海圣华紫竹高级中学,510.00
2026,嘉定区,175,上海民办行中中学,542.50
2026,嘉定区,176,上海存志高级中学,646.00
2026,嘉定区,178,上海创艺高级中学,519.00
2026,嘉定区,179,上海市宝山华曜高级中学,638.00
2026,嘉定区,180,上海市同洲模范学校,544.00
2026,嘉定区,182,上海宝山区世外学校,674.00
2026,嘉定区,4,华东师范大学第二附属中学,716.00
2026,嘉定区,5,上海师范大学附属中学,698.50
2026,嘉定区,223,上海市浦东新区民办浦实高级中学,543.50
2026,嘉定区,225,上海市民办丰华高级中学,610.00
2026,嘉定区,227,民办上海工商外国语职业学院附属中学,578.00
2026,嘉定区,234,上海浦东新区民办东鼎外国语学校,588.00
2026,嘉定区,235,上海市民办尚德实验学校,634.50
2026,嘉定区,341,上海市民办交大南洋中学,582.50
2026,嘉定区,251,上海市民办永昌中学,509.00
2026,嘉定区,249,上海金山区世外学校,653.50
2026,嘉定区,267,上海市西外外国语学校,588.00
2026,嘉定区,269,上海赫贤学校,572.50
2026,嘉定区,270,上海松江区爱菊学校,648.00
2026,嘉定区,277,上海青浦区世外高级中学,591.00
2026,嘉定区,279,上海青浦区协和双语学校,509.50
2026,嘉定区,364,上海奉贤区博华高级中学,578.00
2026,嘉定区,291,上海市崇明区城桥中学,581.00
2026,嘉定区,294,上海市崇明区堡镇中学,636.00
2026,嘉定区,295,上海民办民一中学,529.00
2026,嘉定区,190,上海市民办远东学校,546.50
2026,嘉定区,191,上海华旭双语学校,492.50
2026,嘉定区,192,上海嘉定区民办华盛怀少学校,505.50
2026,闵行区,1,上海市上海中学,718.00
2026,闵行区,2,上海交通大学附属中学,718.00
2026,闵行区,3,复旦大学附属中学,717.50
2026,闵行区,134,上海市七宝中学,705.00
2026,闵行区,136,华东师范大学第二附属中学闵行紫竹分校,702.50
2026,闵行区,137,上海师范大学附属中学闵行分校,699.50
2026,闵行区,138,上海交通大学附属中学闵行分校,704.50
2026,闵行区,135,上海市闵行中学,694.00
2026,闵行区,140,上海市莘庄中学,679.00
2026,闵行区,141,上海外国语大学闵行外国语中学,688.50
2026,闵行区,142,华东理工大学附属闵行科技高级中学,661.00
2026,闵行区,139,上海市闵行第三中学,666.50
2026,闵行区,147,上海市七宝中学附属鑫都实验中学,677.00
2026,闵行区,148,上海市闵行中学东校,654.00
2026,闵行区,149,上海市闵行区实验高级中学,639.50
2026,闵行区,150,上海市七宝中学浦江分校,673.50
2026,闵行区,151,上海中医药大学附属浦江高级中学,620.00
2026,闵行区,152,上海市金汇高级中学,614.50
2026,闵行区,143,北京外国语大学附属上海闵行田园高级中学,652.00
2026,闵行区,153,上海市古美高级中学,634.00
2026,闵行区,144,上海市文来中学,665.00
2026,闵行区,154,上海市民办文绮中学,623.50
2026,闵行区,156,上海市闵行区教育学院附属中学,607.00
2026,闵行区,327,上海闵行区协和双语教科学校,598.50
2026,闵行区,157,上海市民办燎原双语高级中学,596.50
2026,闵行区,351,上海闵行区诺美高级中学,508.00
2026,闵行区,352,上海圣华紫竹高级中学,509.00
2026,闵行区,158,上海交通大学附属闵行实验学校,680.00
2026,闵行区,145,华东师范大学附属闵行永德学校,645.50
2026,闵行区,160,上海闵行区万科双语学校,558.00
2026,闵行区,161,上海闵行区诺达双语学校,509.50
2026,闵行区,162,上海闵行区民办德闳学校,507.50
2026,宝山区,182,上海宝山区世外学校,685.50
2026,闵行区,4,华东师范大学第二附属中学,717.50
2026,闵行区,5,上海师范大学附属中学,702.00
2026,奉贤区,,上海市崇明区城桥中学,559.50
2026,奉贤区,,上海市崇明区堡镇中学,624.00
2026,奉贤区,,上海民办民一中学,544.00
2026,长宁区,66,上海市第三女子中学,685.50
2026,长宁区,67,上海市延安中学,694.00
2026,长宁区,69,华东师范大学附属天山学校,662.50
2026,长宁区,68,上海市复旦中学,690.00
2026,长宁区,70,上海市建青实验学校,653.00
2026,长宁区,72,上海市西郊学校,616.00
2026,长宁区,74,华东政法大学附属中学,645.00
2026,长宁区,71,上海市仙霞高级中学,635.50
2026,长宁区,73,上海市民办新虹桥中学,503.00
2026,长宁区,47,上海市同济黄浦设计创意中学,649.00
2026,长宁区,1,上海市上海中学,713.50
2026,长宁区,62,上海市民办西南高级中学,630.00
2026,长宁区,88,上海市久隆模范中学,597.00
2026,长宁区,368,上海戏剧学院附属高级中学（艺术班）,616.00
2026,长宁区,107,上海安生学校,591.00
2026,长宁区,369,上海音乐学院附属安师实验中学（艺术班）,598.00
2026,长宁区,2,上海交通大学附属中学,714.50
2026,长宁区,3,复旦大学附属中学,715.00
2026,长宁区,157,上海市民办燎原双语高级中学,607.50
2026,长宁区,161,上海闵行区诺达双语学校,599.50
2026,长宁区,175,上海民办行中中学,531.50
2026,长宁区,178,上海创艺高级中学,546.50
2026,长宁区,179,上海市宝山华曜高级中学,609.50
2026,长宁区,180,上海市同洲模范学校,607.50
2026,长宁区,181,上海金瑞学校,590.50
2026,长宁区,182,上海宝山区世外学校,687.50
2026,长宁区,4,华东师范大学第二附属中学,712.50
2026,长宁区,5,上海师范大学附属中学,702.50
2026,长宁区,225,上海市民办丰华高级中学,610.00
2026,长宁区,227,民办上海工商外国语职业学院附属中学,597.00
2026,长宁区,233,上海市民办金苹果学校,602.00
2026,长宁区,234,上海浦东新区民办东鼎外国语学校,598.00
2026,长宁区,235,上海市民办尚德实验学校,644.50
2026,长宁区,341,上海市民办交大南洋中学,591.00
2026,长宁区,251,上海市民办永昌中学,575.00
2026,长宁区,249,上海金山区世外学校,652.50
2026,长宁区,263,上海市松江区科德高级中学,601.50
2026,长宁区,266,上海领科双语学校,617.00
2026,长宁区,267,上海市西外外国语学校,540.50
2026,长宁区,269,上海赫贤学校,543.00
2026,长宁区,270,上海松江区爱菊学校,635.00
2026,长宁区,280,上海宋庆龄学校,670.00
2026,长宁区,364,上海奉贤区博华高级中学,601.50
2026,长宁区,291,上海市崇明区城桥中学,547.00
2026,长宁区,294,上海市崇明区堡镇中学,612.50
2026,长宁区,295,上海民办民一中学,477.00
2026,金山区,1,上海市上海中学,716.00
2026,金山区,323,上海田家炳中学,644.00
2026,金山区,368,上海戏剧学院附属高级中学（艺术班）,622.50
2026,金山区,2,上海交通大学附属中学,715.50
2026,金山区,3,复旦大学附属中学,717.00
2026,金山区,154,上海市民办文绮中学,640.50
2026,金山区,175,上海民办行中中学,486.00
2026,金山区,176,上海存志高级中学,617.00
2026,金山区,178,上海创艺高级中学,546.00
2026,金山区,179,上海市宝山华曜高级中学,547.50
2026,金山区,182,上海宝山区世外学校,661.50
2026,金山区,4,华东师范大学第二附属中学,715.00
2026,金山区,5,上海师范大学附属中学,711.50
2026,金山区,235,上海市民办尚德实验学校,639.50
2026,金山区,244,上海市金山中学,685.50
2026,金山区,346,上海市张堰中学,642.50
2026,金山区,246,上海师范大学第二附属中学,617.00
2026,金山区,245,华东师范大学第三附属中学,665.00
2026,金山区,247,华东师范大学附属枫泾中学,590.00
2026,金山区,248,上海体育大学附属金山亭林中学,555.00
2026,金山区,341,上海市民办交大南洋中学,510.50
