name,school_name
普陀区,华东师范大学第二附属中学（普陀校区）
普陀区,上海市曹杨第二中学
普陀区,上海市曹杨第二中学东校
普陀区,上海市晋元高级中学
普陀区,上海市晋元高级中学南校
普陀区,上海市宜川中学
普陀区,上海市曹杨中学
普陀区,上海市甘泉外国语中学
普陀区,同济大学第二附属中学
普陀区,上海市长征中学
普陀区,上海音乐学院附属安师实验中学
普陀区,上海音乐学院附属安师实验中学（艺术班）
普陀区,上海市桃浦中学
普陀区,上海华东师范大学附属进华中学
普陀区,上海培佳双语学校
普陀区,上海安生学校
普陀区,上海市同济黄浦设计创意中学
普陀区,上海市上海中学
普陀区,上海市久隆模范中学
普陀区,上海田家炳中学
普陀区,上海市民办扬波中学
普陀区,上海市民办风范中学
普陀区,上海戏剧学院附属高级中学（艺术班）
普陀区,上海交通大学附属中学
普陀区,复旦大学附属中学
普陀区,上海市民办燎原双语高级中学
普陀区,上海民办行中中学
普陀区,上海存志高级中学
普陀区,上海宝山区民办维尚高级中学
普陀区,上海创艺高级中学
普陀区,上海市宝山华曜高级中学
普陀区,上海市同洲模范学校
普陀区,上海宝山区世外学校
普陀区,上海华旭双语学校
普陀区,华东师范大学第二附属中学
普陀区,上海师范大学附属中学
普陀区,上海市民办丰华高级中学
普陀区,民办上海工商外国语职业学院附属中学
普陀区,上海市民办金苹果学校
普陀区,上海浦东新区民办东鼎外国语学校
普陀区,上海市民办尚德实验学校
普陀区,上海市民办交大南洋中学
普陀区,上海金山区世外学校
普陀区,上海市松江区科德高级中学
普陀区,上海领科双语学校
普陀区,上海市西外外国语学校
普陀区,上海赫贤学校
普陀区,上海松江区爱菊学校
普陀区,上海青浦区世外高级中学
普陀区,上海宋庆龄学校
普陀区,上海青浦区协和双语学校
普陀区,上海市崇明区城桥中学
普陀区,上海市崇明区堡镇中学
普陀区,上海民办民一中学
静安区,上海市市西中学
静安区,上海市育才中学
静安区,上海市新中高级中学
静安区,上海市市北中学
静安区,上海市回民中学
静安区,上海市民立中学
静安区,上海市第一中学
静安区,上海市风华中学
静安区,上海市第六十中学
静安区,上海市彭浦中学
静安区,上海市久隆模范中学
静安区,上海市闸北第八中学
静安区,上海市华东模范中学
静安区,同济大学附属七一中学
静安区,上海戏剧学院附属高级中学
静安区,上海市向东中学
静安区,上海大学市北附属中学
静安区,上海田家炳中学
静安区,上海市民办扬波中学
静安区,上海市民办风范中学
静安区,复旦附中静安高级中学
静安区,上海市同济黄浦设计创意中学
静安区,上海市上海中学
静安区,上海市民办西南高级中学
静安区,上海安生学校
静安区,上海音乐学院附属安师实验中学
静安区,上海交通大学附属中学
静安区,复旦大学附属中学
静安区,上海市文来中学
静安区,上海市民办文绮中学
静安区,上海市民办燎原双语高级中学
静安区,上海民办行中中学
静安区,上海存志高级中学
静安区,上海宝山区民办维尚高级中学
静安区,上海创艺高级中学
静安区,上海市宝山华曜高级中学
静安区,上海市同洲模范学校
静安区,上海金瑞学校
静安区,上海宝山区世外学校
静安区,上海华旭双语学校
静安区,华东师范大学第二附属中学
静安区,上海市浦东新区民办浦实高级中学
静安区,上海市民办丰华高级中学
静安区,民办上海工商外国语职业学院附属中学
静安区,上海浦东新区民办东鼎外国语学校
静安区,上海市民办尚德实验学校
静安区,上海市民办交大南洋中学
静安区,上海市民办永昌中学
静安区,上海金山区世外学校
静安区,上海市西外外国语学校
静安区,上海赫贤学校
静安区,上海松江区爱菊学校
静安区,上海青浦区世外高级中学
静安区,上海宋庆龄学校
静安区,上海青浦区协和双语学校
静安区,上海奉贤区博华高级中学
静安区,上海民办民一中学
静安区,上海新纪元双语学校
