招生代码,学校名称,所属区,区代码,办别,学校类型代码,学校类型,寄宿情况代码,寄宿情况,是否招生,备注
042032,上海市上海中学,上海市,SH,PUBLIC,CITY_MODEL,全部寄宿,,来源：名额分配到区招生计划
102056,上海交通大学附属中学,上海市,SH,PUBLIC,CITY_MODEL,部分寄宿,,来源：名额分配到区招生计划
102057,复旦大学附属中学,上海市,SH,PUBLIC,CITY_MODEL,部分寄宿,,来源：名额分配到区招生计划
152003,华东师范大学第二附属中学,上海市,SH,PUBLIC,CITY_MODEL,部分寄宿,,来源：名额分配到区招生计划
152006,上海师范大学附属中学,上海市,SH,PUBLIC,CITY_MODEL,部分寄宿,,来源：名额分配到区招生计划
155001,上海市实验学校,上海市,SH,PUBLIC,CITY_MODEL,部分寄宿,,来源：名额分配到区招生计划
012001,上海市格致中学,黄浦区,HP,PUBLIC,CITY_MODEL,部分寄宿,,来源：名额分配到区招生计划
012003,上海市大同中学,黄浦区,HP,PUBLIC,CITY_MODEL,部分寄宿,,来源：名额分配到区招生计划
012005,上海市向明中学,黄浦区,HP,PUBLIC,CITY_MODEL,无寄宿,,来源：名额分配到区招生计划
012007,上海外国语大学附属大境中学,黄浦区,HP,PUBLIC,CITY_MODEL,部分寄宿,,来源：名额分配到区招生计划
012008,上海市光明中学,黄浦区,HP,PUBLIC,CITY_MODEL,无寄宿,,来源：名额分配到区招生计划
012009,上海市敬业中学,黄浦区,HP,PUBLIC,CITY_MODEL,无寄宿,,来源：名额分配到区招生计划
012010,上海市卢湾高级中学,黄浦区,HP,PUBLIC,CITY_MODEL,部分寄宿,,来源：名额分配到区招生计划
012002,上海市格致中学（奉贤校区）,黄浦区,HP,PUBLIC,CITY_MODEL,全部寄宿,,来源：名额分配到区招生计划
012006,上海市向明中学（浦江校区）,黄浦区,HP,PUBLIC,CITY_MODEL,全部寄宿,,来源：名额分配到区招生计划
042001,上海市第二中学,徐汇区,XH,PUBLIC,CITY_MODEL,无寄宿,,来源：名额分配到区招生计划
042008,上海市南洋模范中学,徐汇区,XH,PUBLIC,CITY_MODEL,部分寄宿,,来源：名额分配到区招生计划
042035,上海市位育中学,徐汇区,XH,PUBLIC,CITY_MODEL,全部寄宿,,来源：名额分配到区招生计划
043015,上海市南洋中学,徐汇区,XH,PUBLIC,CITY_MODEL,部分寄宿,,来源：名额分配到区招生计划
042002,上海市第二中学（梅陇校区）,徐汇区,XH,PUBLIC,CITY_MODEL,全部寄宿,,来源：名额分配到区招生计划
042036,复旦大学附属中学徐汇分校,徐汇区,XH,PUBLIC,CITY_MODEL,部分寄宿,,来源：名额分配到区招生计划
052001,上海市第三女子中学,长宁区,CN,PUBLIC,CITY_MODEL,部分寄宿,,来源：名额分配到区招生计划
052002,上海市延安中学,长宁区,CN,PUBLIC,CITY_MODEL,全部寄宿,,来源：名额分配到区招生计划
053004,上海市复旦中学,长宁区,CN,PUBLIC,CITY_MODEL,全部寄宿,,来源：名额分配到区招生计划
062001,上海市市西中学,静安区,JA,PUBLIC,CITY_MODEL,无寄宿,,来源：名额分配到区招生计划
062002,上海市育才中学,静安区,JA,PUBLIC,CITY_MODEL,全部寄宿,,来源：名额分配到区招生计划
062003,上海市新中高级中学,静安区,JA,PUBLIC,CITY_MODEL,部分寄宿,,来源：名额分配到区招生计划
062004,上海市市北中学,静安区,JA,PUBLIC,CITY_MODEL,无寄宿,,来源：名额分配到区招生计划
062011,上海市回民中学,静安区,JA,PUBLIC,CITY_MODEL,部分寄宿,,来源：名额分配到区招生计划
063004,上海市第六十中学,静安区,JA,PUBLIC,CITY_MODEL,无寄宿,,来源：名额分配到区招生计划
064001,上海市华东模范中学,静安区,JA,PUBLIC,CITY_MODEL,无寄宿,,来源：名额分配到区招生计划
072001,上海市晋元高级中学,普陀区,PT,PUBLIC,CITY_MODEL,全部寄宿,,来源：名额分配到区招生计划
072002,上海市曹杨第二中学,普陀区,PT,PUBLIC,CITY_MODEL,部分寄宿,,来源：名额分配到区招生计划
073003,上海市宜川中学,普陀区,PT,PUBLIC,CITY_MODEL,无寄宿,,来源：名额分配到区招生计划
073082,华东师范大学第二附属中学（普陀校区）,普陀区,PT,PUBLIC,CITY_MODEL,部分寄宿,,来源：名额分配到区招生计划
092001,复旦大学附属复兴中学,虹口区,HK,PUBLIC,CITY_MODEL,部分寄宿,,来源：名额分配到区招生计划
092002,华东师范大学第一附属中学,虹口区,HK,PUBLIC,CITY_MODEL,部分寄宿,,来源：名额分配到区招生计划
093001,上海财经大学附属北郊高级中学,虹口区,HK,PUBLIC,CITY_MODEL,无寄宿,,来源：名额分配到区招生计划
102004,上海市杨浦高级中学,杨浦区,YP,PUBLIC,CITY_MODEL,部分寄宿,,来源：名额分配到区招生计划
102032,上海市控江中学,杨浦区,YP,PUBLIC,CITY_MODEL,部分寄宿,,来源：名额分配到区招生计划
103002,同济大学第一附属中学,杨浦区,YP,PUBLIC,CITY_MODEL,部分寄宿,,来源：名额分配到区招生计划
122001,上海市七宝中学,闵行区,MH,PUBLIC,CITY_MODEL,部分寄宿,,来源：名额分配到区招生计划
123001,上海市闵行中学,闵行区,MH,PUBLIC,CITY_MODEL,部分寄宿,,来源：名额分配到区招生计划
122002,华东师范大学第二附属中学闵行紫竹分校,闵行区,MH,PUBLIC,CITY_MODEL,部分寄宿,,来源：名额分配到区招生计划
122003,上海师范大学附属中学闵行分校,闵行区,MH,PUBLIC,CITY_MODEL,部分寄宿,,来源：名额分配到区招生计划
