初中学校,招生学校,录取最低分     (含学业考总成绩和综合素质评价成绩),是否同分优待,末位录取考生成绩,末位录取考生成绩,末位录取考生成绩,末位录取考生成绩
上海奉贤区博华双语学校,上海市奉贤中学,726.5,否,398.5,118,133,134
上海奉贤区博华双语学校,华东师范大学第二附属中学临港奉贤分校,726.5,否,394,116,136,141
上海市奉贤区胡桥学校,上海市格致中学（奉贤校区）,662.5,否,371,114,129,115
上海市奉贤区胡桥学校,上海市奉贤中学,677.5,否,369.5,112,127,117
上海市奉贤区柘林学校,上海市格致中学（奉贤校区）,703.5,否,384.5,124,126,127
上海市奉贤区柘林学校,上海市奉贤中学,710,否,389.5,122,128,129
上海市奉贤区柘林学校,华东师范大学第二附属中学临港奉贤分校,687,否,379.5,118,130,127
上海市奉贤区阳光外国语学校,上海市格致中学（奉贤校区）,725,否,400,131,130,135
上海市奉贤区阳光外国语学校,上海市奉贤中学,733,否,399.5,140,130,143
上海市奉贤区阳光外国语学校,华东师范大学第二附属中学临港奉贤分校,723,否,393,129,124,137
上海市奉贤区庄行学校,上海市格致中学（奉贤校区）,690.5,否,370.5,120,130,132
上海市奉贤区庄行学校,上海市奉贤中学,707.5,否,389.5,110,137,122
上海市奉贤区庄行学校,华东师范大学第二附属中学临港奉贤分校,702.5,否,389.5,121,133,120
上海市奉贤区邬桥学校,上海市格致中学（奉贤校区）,702,否,376,127,127,139
上海市奉贤区邬桥学校,上海市奉贤中学,714.5,否,384,114,131,137
上海市奉贤区邬桥学校,华东师范大学第二附属中学临港奉贤分校,714.5,否,386.5,122,126,136
上海市奉贤区金汇学校,上海市格致中学（奉贤校区）,697.5,否,377.5,116,124,131
上海市奉贤区金汇学校,上海市奉贤中学,723.5,否,385.5,114,136,137
上海市奉贤区金汇学校,华东师范大学第二附属中学临港奉贤分校,722.5,否,393.5,128,123,136
上海市奉贤区齐贤学校,上海市格致中学（奉贤校区）,680.5,否,354,106,130,138
上海市奉贤区齐贤学校,上海市奉贤中学,680.5,否,376,116,127,118
初中学校,招生学校,录取最低分     (含学业考总成绩和综合素质评价成绩),是否同分优待,语数外,数学,语文,综合测试
上海市奉贤区齐贤学校,华东师范大学第二附属中学临港奉贤分校,684,否,368,115,120,129
上海市奉贤区泰日学校,上海市格致中学（奉贤校区）,715,否,391,120,127,130
上海市奉贤区泰日学校,上海市奉贤中学,716,否,384,127,132,140
上海市奉贤区泰日学校,华东师范大学第二附属中学临港奉贤分校,717,否,393,124,132,133
上海市奉贤中学附属三官堂学校,上海市奉贤中学,725,否,398.5,127,132,135
上海市奉贤中学附属三官堂学校,华东师范大学第二附属中学临港奉贤分校,723.5,否,390.5,118,130,140
上海市奉贤区钱桥学校,上海市格致中学（奉贤校区）,681,否,364.5,128,123,126
上海市奉贤区钱桥学校,上海市奉贤中学,695.5,否,373.5,117,122,131
上海市奉贤区钱桥学校,华东师范大学第二附属中学临港奉贤分校,688.5,否,375.5,122,128,125
上海市奉贤区平安学校,上海市格致中学（奉贤校区）,716,否,385,120,127,136
上海市奉贤区平安学校,上海市奉贤中学,719,否,394,123,125,135
上海市奉贤区平安学校,华东师范大学第二附属中学临港奉贤分校,750,否,412.5,135,132,142.5
上海市奉贤区邵厂学校,上海市奉贤中学,689,否,375.5,118,125,128
上海市奉贤区邵厂学校,华东师范大学第二附属中学临港奉贤分校,657,否,350,107,127,117
上海市奉贤区弘文学校,上海市格致中学（奉贤校区）,730.5,否,397,130,128,138
上海市奉贤区弘文学校,华东师范大学第二附属中学,738,否,405,133,135,137
上海市奉贤区弘文学校,上海市奉贤中学,735,否,402.5,130,131,143
上海市奉贤区弘文学校,华东师范大学第二附属中学临港奉贤分校,733.5,否,397.5,126,135,141
上海市奉贤区星火学校,上海市格致中学（奉贤校区）,690.5,否,382.5,116,125,118
