初中学校,招生学校,录取最低分     (含学业考总成绩和综合素质评价成绩),是否同分优待,末位录取考生成绩,末位录取考生成绩,末位录取考生成绩,末位录取考生成绩
上海民办杨浦凯慧初级中学,同济大学第一附属中学,717,否,398,135,124,128
上海市市东实验学校（上海市市东中学）,上海市杨浦高级中学,711.5,否,391,124,127,127
上海市市东实验学校（上海市市东中学）,上海市控江中学,724.5,否,391.5,119,132,140
上海市市东实验学校（上海市市东中学）,同济大学第一附属中学,702.5,否,372,114,125,139
上海市复旦实验中学,上海市杨浦高级中学,733,否,404.5,137,130,137
初中学校,招生学校,录取最低分     (含学业考总成绩和综合素质评价成绩),是否同分优待,语数外,数学,语文,综合测试
上海市复旦实验中学,上海市控江中学,740,否,407.5,143,129,138
上海市复旦实验中学,上海交通大学附属中学,754.5,否,413,133,133,143
上海市复旦实验中学,同济大学第一附属中学,722,否,389,130,121,138
上海民办兰生中学,上海市上海中学,759,否,418.5,144,133,145
上海民办兰生中学,上海市杨浦高级中学,711,否,392.5,124,131,126
上海民办兰生中学,上海市控江中学,746.5,否,409.5,139,130,139
上海民办兰生中学,同济大学第一附属中学,707,否,390.5,119,128,125
上海市长阳实验学校,上海市杨浦高级中学,735,否,404.5,128,131,138
上海市长阳实验学校,上海市控江中学,743.5,否,408.5,135,130,142
上海市长阳实验学校,同济大学第一附属中学,725.5,否,397.5,129,127,134
上海民办杨浦实验学校,上海市杨浦高级中学,728.5,否,403.5,122,136,128
上海民办杨浦实验学校,上海市控江中学,736,否,403.5,132,130,141
上海民办杨浦实验学校,上海交通大学附属中学,755.5,否,409.5,137,129,148
上海民办杨浦实验学校,同济大学第一附属中学,720.5,否,397.5,126,133,130
上海市体育学院附属中学,上海市控江中学,664.5,否,354.5,121,112,121
上海音乐学院实验学校,上海市杨浦高级中学,724,否,398.5,127,129,131
上海音乐学院实验学校,上海市控江中学,744,否,407,142,127,142
上海音乐学院实验学校,上海交通大学附属中学,758,否,425.5,144,136,136
上海音乐学院实验学校,同济大学第一附属中学,717.5,否,409.5,122,140,119
上海市黄兴学校,上海市杨浦高级中学,713,否,386,118,126,129
上海市黄兴学校,上海市控江中学,723.5,否,389.5,116,135,141
上海市黄兴学校,同济大学第一附属中学,711,否,395,116,133,129
上海市昆明学校,上海市杨浦高级中学,733,否,401.5,126,132,136
上海市昆明学校,上海市控江中学,744.5,否,410.5,134,134,141
上海市昆明学校,复旦大学附属中学,756.5,否,418.5,139,132,140
上海市昆明学校,同济大学第一附属中学,719,否,388,120,132,135
上海市育鹰学校,上海市杨浦高级中学,718,否,386.5,126,125,138
上海市育鹰学校,上海市控江中学,722.5,否,387.5,119,128,135
上海市育鹰学校,复旦大学附属中学,732.5,否,403.5,122,135,134
上海市育鹰学校,同济大学第一附属中学,713,否,399,129,133,119
初中学校,招生学校,录取最低分     (含学业考总成绩和综合素质评价成绩),是否同分优待,语数外,数学,语文,综合测试
上海杨浦双语学校,上海市杨浦高级中学,728.5,否,406.5,131,137,131
上海杨浦双语学校,上海市控江中学,743.5,否,416,138,132,134
上海杨浦双语学校,复旦大学附属中学,758.5,否,419.5,137,135,142
上海杨浦双语学校,同济大学第一附属中学,711.5,否,391,112,134,132
上海市市光学校,上海市杨浦高级中学,717,否,387.5,123,122,135
上海市市光学校,上海市控江中学,719,否,403.5,135,125,127
上海市市光学校,上海交通大学附属中学,753,否,413.5,135,131,143
上海市市光学校,同济大学第一附属中学,702.5,否,383,122,122,130
上海民办沪东外国语学校,上海市杨浦高级中学,725.5,否,393.5,129,124,139
上海民办沪东外国语学校,上海市控江中学,727.5,否,409,131,136,125
上海民办沪东外国语学校,同济大学第一附属中学,722.5,否,400.5,130,127,130
上海同大实验学校,上海市杨浦高级中学,727,否,404,130,133,134
上海同大实验学校,上海市控江中学,748,否,407,127,135,147
上海同大实验学校,同济大学第一附属中学,718,否,389.5,122,130,136
复旦大学第二附属学校,上海市杨浦高级中学,722,否,384,128,121,141
复旦大学第二附属学校,上海市控江中学,735.5,否,403.5,128,136,140
复旦大学第二附属学校,复旦大学附属中学,758.5,否,419.5,140,132,141
复旦大学第二附属学校,同济大学第一附属中学,712,否,391,115,131,130
