初中学校,招生学校,录取最低分     (含学业考总成绩和综合素质评价成绩),是否同分优待,末位录取考生成绩,末位录取考生成绩,末位录取考生成绩,末位录取考生成绩
上海市彭浦初级中学,上海市新中高级中学,721.5,否,390.5,130,120,139
上海市彭浦初级中学,上海市市北中学,728.5,否,406.5,131,130,128
初中学校,招生学校,录取最低分     (含学业考总成绩和综合素质评价成绩),是否同分优待,语数外,数学,语文,综合测试
上海市彭浦初级中学,上海市回民中学,658,否,353.5,111,117,116
上海市彭浦初级中学,上海市第六十中学,690,否,374.5,115,117,127
上海市彭浦初级中学,上海市华东模范中学,662,否,357,112,119,118
上海市彭浦初级中学,上海交通大学附属中学,754,否,416.5,140,132,142
上海外国语大学苏河湾实验中学,上海市市西中学,736.5,否,413.5,135,134,132
上海外国语大学苏河湾实验中学,上海市育才中学,712,否,402,126,129,116
上海外国语大学苏河湾实验中学,上海市新中高级中学,704,否,378,111,126,136
上海外国语大学苏河湾实验中学,上海市市北中学,729.5,否,399,123,135,139
上海外国语大学苏河湾实验中学,上海市回民中学,669.5,否,358,133,115,128
上海外国语大学苏河湾实验中学,上海市第六十中学,691.5,否,377.5,121,125,127
上海外国语大学苏河湾实验中学,上海市华东模范中学,684.5,否,376,113,126,120
上海市青云中学,上海市市西中学,733.5,否,397.5,131,124,144
上海市青云中学,上海市育才中学,721.5,否,399,129,129,132
上海市青云中学,上海市新中高级中学,710.5,否,396,136,125,128
上海市青云中学,上海市市北中学,727.5,否,399.5,126,132,132
上海市青云中学,上海市回民中学,667.5,否,361,116,113,122
上海市青云中学,上海市第六十中学,688,否,379.5,125,116,120
上海市青云中学,上海市华东模范中学,679,否,377,118,122,115
上海市岭南中学,上海市市西中学,705.5,否,387,124,124,129
上海市岭南中学,上海市育才中学,699,否,391.5,116,134,114
上海市岭南中学,上海市新中高级中学,704,否,384.5,124,126,129
上海市岭南中学,上海市市北中学,713.5,否,404,126,135,123
上海市岭南中学,上海市回民中学,664,否,347,105,126,123
上海市岭南中学,上海市第六十中学,682.5,否,369.5,114,125,123
上海市岭南中学,上海市华东模范中学,663,否,371,116,129,105
上海市保德中学,上海市市西中学,674.5,否,358.5,104,123,130
上海市保德中学,上海市育才中学,699.5,否,395,119,134,112
上海市保德中学,上海市新中高级中学,681.5,否,368,111,125,126
上海市保德中学,上海市市北中学,663.5,否,356.5,100,128,124
上海市保德中学,华东师范大学第二附属中学,746,否,410.5,134,132,142
初中学校,招生学校,录取最低分     (含学业考总成绩和综合素质评价成绩),是否同分优待,语数外,数学,语文,综合测试
上海市彭浦第三中学,上海市市西中学,719,否,391,121,128,140
上海市彭浦第三中学,上海市育才中学,708,否,381.5,116,130,130
上海市彭浦第三中学,上海市新中高级中学,713,否,378,124,124,144
上海市彭浦第三中学,上海市市北中学,717.5,否,388.5,129,126,136
上海市彭浦第三中学,上海市回民中学,675,否,367,108,125,123
上海市彭浦第三中学,上海市第六十中学,679,否,366,109,121,125
上海市彭浦第三中学,上海市华东模范中学,676,否,353,101,121,130
上海市彭浦第四中学,上海市市西中学,735.5,否,405,136,127,138
上海市彭浦第四中学,上海市育才中学,710,否,390,123,129,126
上海市彭浦第四中学,上海市新中高级中学,706,否,385,121,122,128
上海市彭浦第四中学,上海市市北中学,722,否,388.5,116,130,142
上海市彭浦第四中学,上海市回民中学,675.5,否,368.5,117,123,123
上海市彭浦第四中学,上海市第六十中学,691,否,378.5,119,131,122
上海市彭浦第四中学,上海市华东模范中学,673,否,369,119,118,117
上海市回民中学,上海市市西中学,741,否,404,129,128,138
上海市回民中学,上海市育才中学,729,否,391.5,123,129,143
上海市回民中学,上海市新中高级中学,702,否,382.5,117,133,122
上海市回民中学,上海市市北中学,708,否,390,115,131,120
上海市回民中学,上海市回民中学,664.5,否,353,85,123,121
上海市回民中学,上海市第六十中学,678,否,369,125,127,122
上海市回民中学,上海市华东模范中学,670,否,362,106,128,118
上海市民立中学,上海市市西中学,735.5,否,401,128,131,142
上海市民立中学,上海市育才中学,717,否,397,126,128,129
上海市民立中学,上海市新中高级中学,711.5,否,387.5,111,133,133
上海市民立中学,上海市市北中学,722.5,否,396.5,126,129,135
上海市民立中学,上海市回民中学,664,否,357.5,111,125,122
上海市民立中学,上海市第六十中学,660.5,否,370,109,128,103
上海市民立中学,上海市华东模范中学,663.5,否,362,102,128,110
上海市第一中学,上海市市西中学,735.5,否,401.5,131,133,146
上海市第一中学,上海市育才中学,712,否,384.5,116,126,139
初中学校,招生学校,录取最低分     (含学业考总成绩和综合素质评价成绩),是否同分优待,语数外,数学,语文,综合测试
上海市第一中学,上海市新中高级中学,707,否,381.5,131,120,134
上海市第一中学,上海市市北中学,720.5,否,399.5,123,131,128
上海市第一中学,上海市第六十中学,681.5,否,378.5,108,131,127
上海市第一中学,上海市华东模范中学,662.5,否,369,107,125,107
上海市第一中学,复旦大学附属中学,746,否,418,144,128,137
上海市久隆模范中学,上海市市西中学,736,否,404,126,132,138
上海市久隆模范中学,上海市育才中学,697.5,否,382.5,128,123,124
上海市久隆模范中学,上海市新中高级中学,697.5,否,377.5,132,114,131
上海市久隆模范中学,上海市市北中学,721,否,394,124,134,135
上海市久隆模范中学,上海市第六十中学,676,否,369.5,113,129,116
上海市久隆模范中学,上海市华东模范中学,665,否,360.5,109,117,116
上海市久隆模范中学,华东师范大学第二附属中学,748.5,否,411.5,140,132,145
上海市闸北第八中学,上海市市西中学,728.5,否,401.5,127,137,132
上海市闸北第八中学,上海市育才中学,718.5,否,379.5,109,130,145
上海市闸北第八中学,上海市新中高级中学,705.5,否,391.5,120,132,120
上海市闸北第八中学,上海市市北中学,715.5,否,378.5,120,121,142
上海市闸北第八中学,上海市回民中学,657.5,否,363.5,112,129,108
上海市闸北第八中学,上海市第六十中学,666.5,否,353.5,104,118,123
上海市闸北第八中学,上海市华东模范中学,666.5,否,361,106,125,118
上海市闸北第八中学,上海交通大学附属中学,749,否,407,126,134,143
上海市华东模范中学,上海市市西中学,726.5,否,398.5,133,125,136
上海市华东模范中学,上海市育才中学,713.5,否,397.5,128,131,129
上海市华东模范中学,上海市新中高级中学,701.5,否,380.5,121,129,128
上海市华东模范中学,上海市市北中学,716,否,388.5,135,121,137
上海市华东模范中学,上海市第六十中学,693,否,374,113,119,125
上海市华东模范中学,上海市华东模范中学,668.5,否,377,120,122,106
同济大学附属七一中学,上海市市西中学,738.5,否,400.5,121,136,144
同济大学附属七一中学,上海市育才中学,717,否,376,116,128,140
同济大学附属七一中学,上海市新中高级中学,706.5,否,388,127,125,131
同济大学附属七一中学,上海市市北中学,728,否,402,130,128,137
初中学校,招生学校,录取最低分     (含学业考总成绩和综合素质评价成绩),是否同分优待,语数外,数学,语文,综合测试
同济大学附属七一中学,上海市回民中学,676,否,376.5,111,120,109
同济大学附属七一中学,上海市第六十中学,669,否,367,113,124,117
同济大学附属七一中学,上海市华东模范中学,676.5,否,371.5,114,120,117
同济大学附属七一中学,上海交通大学附属中学,748,否,412,144,125,141
上海市向东中学,上海市市西中学,701.5,否,378,111,131,132
上海市向东中学,上海市育才中学,693.5,否,382.5,115,131,120
上海市向东中学,上海市新中高级中学,680,否,372,127,124,121
上海市向东中学,上海市市北中学,698,否,385.5,121,125,124
上海市向东中学,上海市回民中学,657,否,353.5,101,128,118
上海市向东中学,上海市第六十中学,675,否,361,107,121,126
上海市向东中学,上海市华东模范中学,670.5,否,367,106,126,114
上海田家炳中学,上海市上海中学,745,否,413,137,130,137
上海田家炳中学,上海市市西中学,737.5,否,413.5,143,131,135
上海田家炳中学,上海市育才中学,716.5,否,384,131,127,139
上海田家炳中学,上海市新中高级中学,715.5,否,386.5,125,128,134
上海田家炳中学,上海市市北中学,730.5,否,393.5,129,130,141
上海田家炳中学,上海市回民中学,662.5,否,374.5,111,130,110
上海田家炳中学,上海市第六十中学,678.5,否,364,120,120,131
上海田家炳中学,上海市华东模范中学,657,否,353,100,124,116
上海市民办扬波中学,上海市市西中学,736,否,398.5,131,131,145
上海市民办扬波中学,上海市育才中学,710,否,389,125,125,129
上海市民办扬波中学,上海市新中高级中学,706.5,否,387.5,125,122,126
上海市民办扬波中学,上海市市北中学,728,否,401.5,133,130,136
上海市民办扬波中学,上海市回民中学,659.5,否,349.5,115,114,130
上海市民办扬波中学,上海市第六十中学,683,否,384,119,137,112
上海市民办扬波中学,上海市华东模范中学,658.5,否,353,114,126,117
上海市民办扬波中学,上海交通大学附属中学,749,否,410.5,137,133,142
上海市民办新和中学,上海市市西中学,725.5,否,398,132,126,133
上海市民办新和中学,上海市育才中学,713.5,否,387.5,136,120,138
上海市民办新和中学,上海市新中高级中学,708,否,395,126,131,122
初中学校,招生学校,录取最低分     (含学业考总成绩和综合素质评价成绩),是否同分优待,语数外,数学,语文,综合测试
上海市民办新和中学,上海市市北中学,713.5,否,385,121,128,137
上海市民办新和中学,上海市回民中学,659,否,372.5,115,122,112
上海市民办新和中学,上海市第六十中学,681,否,370.5,106,129,125
上海市民办新和中学,上海市华东模范中学,659,否,367.5,105,124,109
上海市民办风范中学,上海市市西中学,731.5,否,400.5,130,127,138
上海市民办风范中学,上海市育才中学,719.5,否,392.5,131,125,134
上海市民办风范中学,上海市新中高级中学,715,否,396.5,133,128,127
上海市民办风范中学,上海市市北中学,726.5,否,396.5,134,126,141
上海市民办风范中学,上海市回民中学,661,否,357,114,124,122
上海市民办风范中学,上海市第六十中学,695.5,否,378,109,127,124
上海市民办风范中学,上海市华东模范中学,684,否,378,121,124,124
上海市民办风范中学,上海交通大学附属中学,743,否,414,144,130,139
上海市爱国学校,上海市市西中学,725,否,391,127,123,141
上海市爱国学校,上海市育才中学,682,否,372,108,131,123
上海市爱国学校,上海市新中高级中学,689.5,否,367.5,109,129,135
上海市爱国学校,上海市市北中学,716.5,否,389.5,124,127,133
上海市爱国学校,上海市第六十中学,660.5,否,354.5,116,114,117
上海市爱国学校,上海市华东模范中学,686,否,370,115,122,131
上海市爱国学校,华东师范大学第二附属中学,730,否,396,129,129,138
上海市静安区教育学院附属学校,上海市市西中学,734.5,否,406.5,128,133,134
上海市静安区教育学院附属学校,上海市育才中学,711,否,388,116,131,131
上海市静安区教育学院附属学校,上海市新中高级中学,701.5,否,388,113,132,123
上海市静安区教育学院附属学校,上海市市北中学,712.5,否,397.5,125,135,128
上海市静安区教育学院附属学校,上海市第六十中学,668,否,357,119,126,122
上海市静安区教育学院附属学校,上海市华东模范中学,673.5,否,368,107,127,121
上海市静安区教育学院附属学校,复旦大学附属中学,753.5,否,412.5,140,132,144
上海市华灵学校,上海市市西中学,692.5,否,374,115,118,127
上海市华灵学校,上海市育才中学,719,否,389.5,127,123,138
上海市华灵学校,上海市新中高级中学,700.5,否,389,119,128,126
上海市华灵学校,上海市市北中学,701,否,381,119,126,128
初中学校,招生学校,录取最低分     (含学业考总成绩和综合素质评价成绩),是否同分优待,语数外,数学,语文,综合测试
