年份,初中学校,初中学校代码,高中代码,高中名称,计划数
2024,0,上海市浦东新区教育学院附属实验中学,,上海中学东校,1
2024,0,上海市浦东新区教育学院附属实验中学,,上海市浦东复旦附中分校,1
2024,0,上海市洋泾中学南校,,上海师范大学附属中学,1
2024,0,上海市洋泾中学南校,,上海市建平中学,1
2024,0,上海市洋泾中学南校,,上海市进才中学,1
2024,0,上海市洋泾中学南校,,上海市洋泾中学,1
2024,0,上海市洋泾中学南校,,上海市川沙中学,2
2024,0,上海市洋泾中学南校,,上海 南汇中学,1
2024,0,上海市洋泾中学南校,,上海市高桥中学,1
2024,0,上海市洋泾中学南校,,上海中学东校,1
2024,0,上海市洋泾中学南校,,上海市浦东复旦附中分校,1
2024,0,上海市东昌东校,,上海师范大学附属中学,1
2024,0,上海市东昌东校,,上海市建平中学,1
2024,0,上海市东昌东校,,上海市进才中学,1
2024,0,上海市东昌东校,,上海市洋泾中学,1
2024,0,上海市东昌东校,,上海市川沙中学,1
2024,0,上海市东昌东校,,上海 南汇中学,1
2024,0,上海市东昌东校,,上海市高桥中学,1
2024,0,上海市东昌东校,,上海中学东校,1
2024,0,上海市东昌东校,,上海市浦东复旦附中分校,1
2024,0,上海市罗山中学,,上海市建平中学,3
2024,0,上海市罗山中学,,上海市进才中学,2
2024,0,上海市罗山中学,,上海市洋泾中学,3
2024,0,上海市罗山中学,,上海市川沙中学,2
2024,0,上海市罗山中学,,上海 南汇中学,4
2024,0,上海市罗山中学,,上海市高桥中学,1
2024,0,上海市罗山中学,,上海中学东校,1
2024,0,上海市罗山中学,,上海市浦东复旦附中分校,1
2024,0,上海市金杨中学,,复旦大学附属中学,1
2024,0,上海市金杨中学,,上海市建平中学,1
2024,0,上海市金杨中学,,上海市进才中学,2
2024,0,上海市金杨中学,,上海市洋泾中学,1
2024,0,上海市金杨中学,,上海市川沙中学,1
2024,0,上海市金杨中学,,上海 南汇中学,1
2024,0,上海市金杨中学,,上海市高桥中学,1
2024,0,上海市金杨中学,,上海中学东校,1
2024,0,上海市金杨中学,,上海市浦东复旦附中分校,1
2024,0,上海市金川中学,,上海交通大学附属中学,1
2024,0,上海市金川中学,,上海市建平中学,1
2024,0,上海市金川中学,,上海市进才中学,1
2024,0,上海市金川中学,,上海市洋泾中学,1
2024,0,上海市金川中学,,上海市川沙中学,1
2024,0,上海市金川中学,,上海 南汇中学,1
2024,0,上海市金川中学,,上海市高桥中学,1
2024,0,上海市金川中学,,上海中学东校,1
2024,0,上海市金川中学,,上海市浦东复旦附中分校,1
2024,0,上海市华林中学,,华东师范大学第二附属中学,1
2024,0,上海市华林中学,,上海市建平中学,1
2024,0,上海市华林中学,,上海市进才中学,1
2024,0,上海市华林中学,,上海市洋泾中学,1
2024,0,上海市华林中学,,上海市川沙中学,1
2024,0,上海市华林中学,,上海 南汇中学,1
2024,0,上海市华林中学,,上海市高桥中学,1
2024,0,上海市华林中学,,上海中学东校,1
2024,0,上海市华林中学,,上海市浦东复旦附中分校,1
2024,1,上海市孙桥中学,,上海市建平中学,1
2024,1,上海市孙桥中学,,上海市进才中学,1
2024,1,上海市孙桥中学,,上海市洋泾中学,1
2024,1,上海市孙桥中学,,上海市川沙中学,1
2024,1,上海市孙桥中学,,上海 南汇中学,1
2024,1,上海市孙桥中学,,上海市高桥中学,1
2024,1,上海市孙桥中学,,上海中学东校,1
2024,1,上海市孙桥中学,,上海市浦东复旦附中分校,1
2024,0,上海市育人中学,,上海市建平中学,2
2024,0,上海市育人中学,,上海市进才中学,1
2024,0,上海市育人中学,,上海市洋泾中学,2
2024,0,上海市育人中学,,上海市川沙中学,2
2024,0,上海市育人中学,,上海 南汇中学,4
2024,0,上海市育人中学,,上海市高桥中学,1
2024,0,上海市育人中学,,上海中学东校,1
2024,0,上海市育人中学,,上海市浦东复旦附中分校,1
2024,0,上海市东林中学,,复旦大学附属中学,1
2024,0,上海市东林中学,,上海市建平中学,1
2024,0,上海市东林中学,,上海市进才中学,1
2024,0,上海市东林中学,,上海市洋泾中学,1
2024,0,上海市东林中学,,上海市川沙中学,1
2024,0,上海市东林中学,,上海 南汇中学,1
2024,0,上海市东林中学,,上海市高桥中学,1
2024,0,上海市东林中学,,上海中学东校,1
2024,0,上海市东林中学,,上海市浦东复旦附中分校,1
2024,0,上海市施湾中学,,上海市建平中学,1
2024,0,上海市施湾中学,,上海市进才中学,1
2024,0,上海市施湾中学,,上海市洋泾中学,1
2024,0,上海市施湾中学,,上海市川沙中学,1
2024,0,上海市施湾中学,,上海 南汇中学,1
2024,0,上海市施湾中学,,上海市高桥中学,1
2024,0,上海市施湾中学,,上海中学东校,1
2024,0,上海市施湾中学,,上海市浦东复旦附中分校,1
2024,0,上海市黄楼中学,,上海交通大学附属中学,1
2024,0,上海市黄楼中学,,上海市建平中学,1
2024,0,上海市黄楼中学,,上海市进才中学,1
2024,0,上海市黄楼中学,,上海市洋泾中学,1
2024,0,上海市黄楼中学,,上海市川沙中学,1
2024,0,上海市黄楼中学,,上海 南汇中学,1
2024,0,上海市黄楼中学,,上海市高桥中学,1
2024,0,上海市黄楼中学,,上海中学东校,1
2024,0,上海市黄楼中学,,上海市浦东复旦附中分校,1
2024,0,上海市王港中学,,上海师范大学附属中学,1
2024,0,上海市王港中学,,上海市建平中学,1
2024,0,上海市王港中学,,上海市进才中学,1
2024,0,上海市王港中学,,上海市洋泾中学,1
2024,0,上海市王港中学,,上海市川沙中学,1
2024,0,上海市王港中学,,上海 南汇中学,1
2024,0,上海市王港中学,,上海市高桥中学,1
2024,0,上海市王港中学,,上海中学东校,1
2024,0,上海市王港中学,,上海市浦东复旦附中分校,1
2024,0,上海市杨园中学,,上海师范大学附属中学,1
2024,0,上海市杨园中学,,上海市建平中学,1
2024,0,上海市杨园中学,,上海市进才中学,2
2024,0,上海市杨园中学,,上海市洋泾中学,1
2024,0,上海市杨园中学,,上海市川沙中学,1
2024,0,上海市杨园中学,,上海 南汇中学,2
2024,0,上海市杨园中学,,上海市高桥中学,2
2024,0,上海市杨园中学,,上海中学东校,2
2024,0,上海市杨园中学,,上海市浦东复旦附中分校,1
2024,0,上海市东沟中学,,上海市建平中学,1
2024,0,上海市东沟中学,,上海市进才中学,1
2024,0,上海市东沟中学,,上海市洋泾中学,1
2024,0,上海市东沟中学,,上海市川沙中学,1
2024,0,上海市东沟中学,,上海 南汇中学,1
2024,0,上海市东沟中学,,上海市高桥中学,1
2024,0,上海市东沟中学,,上海中学东校,1
2024,0,上海市东沟中学,,上海市浦东复旦附中分校,1
2024,0,上海师范大学附属高桥实验中学,,上海交通大学附属中学,1
2024,0,上海师范大学附属高桥实验中学,,上海市建平中学,3
2024,0,上海师范大学附属高桥实验中学,,上海市进才中学,4
2024,0,上海师范大学附属高桥实验中学,,上海市洋泾中学,3
2024,0,上海师范大学附属高桥实验中学,,上海市川沙中学,2
2024,0,上海师范大学附属高桥实验中学,,上海 南汇中学,7
2024,0,上海师范大学附属高桥实验中学,,上海市高桥中学,3
2024,0,上海师范大学附属高桥实验中学,,上海中学东校,3
2024,0,上海市凌桥中学,,复旦大学附属中学,1
2024,0,上海市凌桥中学,,上海市建平中学,1
2024,0,上海市凌桥中学,,上海市进才中学,1
2024,0,上海市凌桥中学,,上海市洋泾中学,1
2024,0,上海市凌桥中学,,上海市川沙中学,1
2024,0,上海市凌桥中学,,上海 南汇中学,1
2024,0,上海市凌桥中学,,上海市高桥中学,1
2024,0,上海市凌桥中学,,上海中学东校,1
2024,0,上海市凌桥中学,,上海市浦东复旦附中分校,1
2024,0,上海市顾路中学,,上海市建平中学,2
2024,0,上海市顾路中学,,上海市进才中学,1
2024,0,上海市顾路中学,,上海市洋泾中学,2
2024,0,上海市顾路中学,,上海市川沙中学,2
2024,0,上海市顾路中学,,上海 南汇中学,1
2024,0,上海市顾路中学,,上海市高桥中学,1
2024,0,上海市顾路中学,,上海中学东校,1
2024,0,上海市顾路中学,,上海市浦东复旦附中分校,1
2024,0,上海市浦东模范中学,,上海市实验学校,1
2024,0,上海市浦东模范中学,,上海市建平中学,3
2024,0,上海市浦东模范中学,,上海市进才中学,3
2024,0,上海市浦东模范中学,,上海市洋泾中学,2
2024,0,上海市浦东模范中学,,上海市川沙中学,2
2024,0,上海市浦东模范中学,,上海 南汇中学,3
2024,0,上海市浦东模范中学,,上海市高桥中学,3
2024,0,上海市浦东模范中学,,上海中学东校,1
2024,0,上海市浦东模范中学,,上海市浦东复旦附中分校,1
2024,0,上海市川沙中学华夏西校,,华东师范大学第二附属中学,1
2024,0,上海市川沙中学华夏西校,,上海市建平中学,3
2024,0,上海市川沙中学华夏西校,,上海市进才中学,4
2024,0,上海市川沙中学华夏西校,,上海市洋泾中学,3
2024,0,上海市川沙中学华夏西校,,上海市川沙中学,2
2024,0,上海市川沙中学华夏西校,,上海 南汇中学,4
2024,0,上海市川沙中学华夏西校,,上海市高桥中学,3
2024,0,上海市川沙中学华夏西校,,上海中学东校,2
2024,0,上海市川沙中学华夏西校,,上海市浦东复旦附中分校,1
2024,0,上海市陆行中学北校,,华东师范大学第二附属中学,1
2024,0,上海市陆行中学北校,,上海市建平中学,1
2024,0,上海市陆行中学北校,,上海市进才中学,1
2024,0,上海市陆行中学北校,,上海市洋泾中学,1
2024,0,上海市陆行中学北校,,上海市川沙中学,2
2024,0,上海市陆行中学北校,,上海 南汇中学,1
2024,0,上海市陆行中学北校,,上海市高桥中学,1
2024,0,上海市陆行中学北校,,上海中学东校,1
2024,0,上海市陆行中学北校,,上海市浦东复旦附中分校,1
