类别,说明
到校-校区分配,普陀区|上海市普陀区梅陇实验中学|华东师范大学第二附属中学|759.5 -> 华东师范大学第二附属中学（普陀校区）(073082)
到校-校区分配,普陀区|上海市曹杨中学|华东师范大学第二附属中学|757 -> 华东师范大学第二附属中学（普陀校区）(073082)
到校-校区分配,普陀区|同济大学第二附属中学|华东师范大学第二附属中学|759 -> 华东师范大学第二附属中学（普陀校区）(073082)
到校-校区分配,普陀区|上海市甘泉外国语中学|华东师范大学第二附属中学|762 -> 华东师范大学第二附属中学（普陀校区）(073082)
到校-校区分配,普陀区|上海市新杨中学|华东师范大学第二附属中学|741.5 -> 华东师范大学第二附属中学（普陀校区）(073082)
到校-校区分配,普陀区|上海市长征中学|华东师范大学第二附属中学|762.5 -> 华东师范大学第二附属中学（普陀校区）(073082)
到校-校区分配,普陀区|上海市桃浦中学|华东师范大学第二附属中学|743 -> 华东师范大学第二附属中学（普陀校区）(073082)
到校-校区分配,普陀区|上海音乐学院附属安师实验中学|华东师范大学第二附属中学|741 -> 华东师范大学第二附属中学（普陀校区）(073082)
到校-校区分配,普陀区|上海华东师范大学附属进华中学|华东师范大学第二附属中学|762.5 -> 华东师范大学第二附属中学（普陀校区）(073082)
到校-校区分配,普陀区|上海安生学校|华东师范大学第二附属中学|757 -> 华东师范大学第二附属中学（普陀校区）(073082)
到校-校区分配,普陀区|上海培佳双语学校|华东师范大学第二附属中学|764 -> 华东师范大学第二附属中学（普陀校区）(073082)
到校-校区分配,普陀区|上海市铜川学校|华东师范大学第二附属中学|750 -> 华东师范大学第二附属中学（普陀校区）(073082)
到校-校区分配,普陀区|上海市沙田学校|华东师范大学第二附属中学|761.5 -> 华东师范大学第二附属中学（普陀校区）(073082)
到校-校区分配,普陀区|华东师范大学附属外国语实验学校|华东师范大学第二附属中学|761.5 -> 华东师范大学第二附属中学（普陀校区）(073082)
到校-校区分配,普陀区|上海市子长学校|华东师范大学第二附属中学|734.5 -> 华东师范大学第二附属中学（普陀校区）(073082)
到校-校区分配,普陀区|上海市洛川学校|华东师范大学第二附属中学|755 -> 华东师范大学第二附属中学（普陀校区）(073082)
到校-校区分配,普陀区|上海市宜川中学附属学校|华东师范大学第二附属中学|761 -> 华东师范大学第二附属中学（普陀校区）(073082)
到校-校区分配,普陀区|上海市曹杨中学附属学校|华东师范大学第二附属中学|754.5 -> 华东师范大学第二附属中学（普陀校区）(073082)
到校-校区分配,普陀区|上海市普陀区教育学院附属学校|华东师范大学第二附属中学|744.5 -> 华东师范大学第二附属中学（普陀校区）(073082)
到校-校区分配,普陀区|上海市晋元高级中学附属学校|华东师范大学第二附属中学|759 -> 华东师范大学第二附属中学（普陀校区）(073082)
到校-校区分配,普陀区|上海市曹杨第二中学附属学校|华东师范大学第二附属中学|763.5 -> 华东师范大学第二附属中学（普陀校区）(073082)
到校-校区分配,普陀区|上海市民办新黄浦实验学校|华东师范大学第二附属中学|766 -> 华东师范大学第二附属中学（普陀校区）(073082)
到校-校区分配,普陀区|上海市江宁学校|华东师范大学第二附属中学|763.5 -> 华东师范大学第二附属中学（普陀校区）(073082)
到校-校区分配,普陀区|上海市中远实验学校|华东师范大学第二附属中学|762 -> 华东师范大学第二附属中学（普陀校区）(073082)
到校-校区分配,普陀区|上海市金鼎学校|华东师范大学第二附属中学|718.5 -> 华东师范大学第二附属中学（普陀校区）(073082)
到校-校区分配,普陀区|上海外国语大学尚阳外国语学校|华东师范大学第二附属中学|759 -> 华东师范大学第二附属中学（普陀校区）(073082)
到校-校区分配,普陀区|上海市文达学校|华东师范大学第二附属中学|753 -> 华东师范大学第二附属中学（普陀校区）(073082)
到校-校区分配,普陀区|上海理工大学附属普陀实验学校|华东师范大学第二附属中学|758 -> 华东师范大学第二附属中学（普陀校区）(073082)
到校-校区分配,普陀区|上海市万里城实验学校|华东师范大学第二附属中学|765 -> 华东师范大学第二附属中学（普陀校区）(073082)
到校-校区分配,松江区|上海市松江区天马山学校|华东师范大学第二附属中学|762 -> 华东师范大学第二附属中学（宝山校区）(133003)
到校-校区分配,松江区|上海市三新学校松江思贤分校|华东师范大学第二附属中学|764.5 -> 华东师范大学第二附属中学（宝山校区）(133003)
到校-校区分配,金山区|上海市罗星中学|华东师范大学第二附属中学|759 -> 华东师范大学第二附属中学（宝山校区）(133003)
到校-校区分配,闵行区|上海市航华中学|上海市向明中学|726.5 -> 上海市向明中学（浦江校区）(012006)
到校-校区分配,闵行区|上海市闵行区上虹中学|上海市向明中学|738 -> 上海市向明中学（浦江校区）(012006)
到校-校区分配,闵行区|上海市龙柏中学|上海市第二中学|744 -> 上海市第二中学（梅陇校区）(042002)
到校-校区分配,闵行区|上海市闵行区七宝第二中学|上海市向明中学|736 -> 上海市向明中学（浦江校区）(012006)
到校-校区分配,闵行区|上海市罗阳中学|上海市向明中学|736.5 -> 上海市向明中学（浦江校区）(012006)
到校-校区分配,闵行区|上海市罗阳中学|上海市第二中学|742 -> 上海市第二中学（梅陇校区）(042002)
到校-校区分配,闵行区|上海市闵行区莘松中学|上海市向明中学|738 -> 上海市向明中学（浦江校区）(012006)
到校-校区分配,闵行区|上海市闵行区莘松中学|上海市第二中学|744 -> 上海市第二中学（梅陇校区）(042002)
到校-校区分配,闵行区|上海市七宝中学附属闵行金都实验中学|上海市向明中学|735 -> 上海市向明中学（浦江校区）(012006)
到校-校区分配,闵行区|上海市闵行区北桥中学|上海市向明中学|742.5 -> 上海市向明中学（浦江校区）(012006)
到校-校区分配,闵行区|上海市闵行区北桥中学|上海市第二中学|741 -> 上海市第二中学（梅陇校区）(042002)
到校-校区分配,闵行区|上海市闵行区浦江第一中学|上海市向明中学|739.5 -> 上海市向明中学（浦江校区）(012006)
到校-校区分配,闵行区|上海市闵行区浦江第二中学|上海市第二中学|721.5 -> 上海市第二中学（梅陇校区）(042002)
到校-校区分配,闵行区|上海市闵行区浦江第三中学|上海市第二中学|729.5 -> 上海市第二中学（梅陇校区）(042002)
到校-校区分配,闵行区|上海市闵行第四中学|上海市向明中学|722.5 -> 上海市向明中学（浦江校区）(012006)
到校-校区分配,闵行区|上海市闵行第四中学|上海市第二中学|735 -> 上海市第二中学（梅陇校区）(042002)
到校-校区分配,闵行区|上海市闵行区颛桥中学|上海市向明中学|736.5 -> 上海市向明中学（浦江校区）(012006)
到校-校区分配,闵行区|上海市闵行区颛桥中学|上海市第二中学|744.5 -> 上海市第二中学（梅陇校区）(042002)
到校-校区分配,闵行区|上海市实验学校西校|上海市向明中学|737.5 -> 上海市向明中学（浦江校区）(012006)
到校-校区分配,闵行区|上海市实验学校西校|上海市第二中学|752.5 -> 上海市第二中学（梅陇校区）(042002)
到校-校区分配,闵行区|上海市闵行区鹤北初级中学|上海市向明中学|732.5 -> 上海市向明中学（浦江校区）(012006)
到校-校区分配,闵行区|上海市闵行区龙茗中学|上海市第二中学|748.5 -> 上海市第二中学（梅陇校区）(042002)
到校-校区分配,闵行区|上海市七宝实验中学|上海市向明中学|725 -> 上海市向明中学（浦江校区）(012006)
到校-校区分配,闵行区|上海市七宝实验中学|上海市第二中学|751 -> 上海市第二中学（梅陇校区）(042002)
到校-校区分配,闵行区|上海市师资培训中心附属闵行实验中学|上海市向明中学|733.5 -> 上海市向明中学（浦江校区）(012006)
到校-校区分配,闵行区|上海市闵行区七宝第三中学|上海市第二中学|745.5 -> 上海市第二中学（梅陇校区）(042002)
到校-校区分配,闵行区|华东师范大学第二附属中学附属初级中学|上海市向明中学|737 -> 上海市向明中学（浦江校区）(012006)
到校-校区分配,闵行区|华东师范大学第二附属中学附属初级中学|上海市第二中学|740.5 -> 上海市第二中学（梅陇校区）(042002)
到校-校区分配,闵行区|上海市闵行区浦航实验中学|上海市第二中学|733.5 -> 上海市第二中学（梅陇校区）(042002)
到校-校区分配,闵行区|上海市闵行区马桥复旦万科实验中学|上海市第二中学|742 -> 上海市第二中学（梅陇校区）(042002)
到校-校区分配,闵行区|上海中医药大学附属闵行晶城中学|上海市第二中学|745 -> 上海市第二中学（梅陇校区）(042002)
到校-校区分配,闵行区|上海师范大学附属闵行第三中学|上海市向明中学|737 -> 上海市向明中学（浦江校区）(012006)
到校-校区分配,闵行区|上海市闵行区田园外国语中学|上海市向明中学|740.5 -> 上海市向明中学（浦江校区）(012006)
到校-校区分配,闵行区|上海市闵行中学附属实验中学|上海市向明中学|739 -> 上海市向明中学（浦江校区）(012006)
到校-校区分配,闵行区|上海尚师初级中学|上海市向明中学|743.5 -> 上海市向明中学（浦江校区）(012006)
到校-校区分配,闵行区|上海尚师初级中学|上海市第二中学|737 -> 上海市第二中学（梅陇校区）(042002)
到校-校区分配,闵行区|上海市骏博外国语学校|上海市第二中学|741.5 -> 上海市第二中学（梅陇校区）(042002)
到校-校区分配,闵行区|上海市闵行第三中学|上海市向明中学|738 -> 上海市向明中学（浦江校区）(012006)
到校-校区分配,闵行区|上海交通大学附属第二中学|上海市向明中学|739 -> 上海市向明中学（浦江校区）(012006)
到校-校区分配,闵行区|上海交通大学附属第二中学|上海市第二中学|748.5 -> 上海市第二中学（梅陇校区）(042002)
到校-校区分配,闵行区|上海市民办上宝中学|上海市第二中学|740 -> 上海市第二中学（梅陇校区）(042002)
到校-校区分配,闵行区|上海市七宝中学附属鑫都实验中学|上海市向明中学|735.5 -> 上海市向明中学（浦江校区）(012006)
到校-校区分配,闵行区|上海市七宝中学附属鑫都实验中学|上海市第二中学|743.5 -> 上海市第二中学（梅陇校区）(042002)
到校-校区分配,闵行区|上海市文来中学|上海市向明中学|740 -> 上海市向明中学（浦江校区）(012006)
到校-校区分配,闵行区|上海市文来中学|上海市第二中学|738 -> 上海市第二中学（梅陇校区）(042002)
到校-校区分配,闵行区|上海市民办文绮中学|上海市第二中学|739.5 -> 上海市第二中学（梅陇校区）(042002)
到校-校区分配,闵行区|上海闵行区协和双语教科学校|上海市向明中学|723 -> 上海市向明中学（浦江校区）(012006)
到校-校区分配,闵行区|上海闵行区协和双语教科学校|上海市第二中学|736.5 -> 上海市第二中学（梅陇校区）(042002)
到校-校区分配,闵行区|上海市闵行区诸翟学校|上海市向明中学|739 -> 上海市向明中学（浦江校区）(012006)
到校-校区分配,闵行区|华东师范大学附属闵行虹桥学校|上海市第二中学|736.5 -> 上海市第二中学（梅陇校区）(042002)
到校-校区分配,闵行区|上海市莘光学校|上海市向明中学|742 -> 上海市向明中学（浦江校区）(012006)
到校-校区分配,闵行区|上海市莘光学校|上海市第二中学|744.5 -> 上海市第二中学（梅陇校区）(042002)
到校-校区分配,闵行区|上海市闵行区纪王学校|上海市向明中学|729.5 -> 上海市向明中学（浦江校区）(012006)
到校-校区分配,闵行区|上海市马桥强恕学校|上海市第二中学|722.5 -> 上海市第二中学（梅陇校区）(042002)
到校-校区分配,闵行区|上海市古美学校|上海市第二中学|731.5 -> 上海市第二中学（梅陇校区）(042002)
到校-校区分配,闵行区|上海师范大学康城实验学校|上海市向明中学|733 -> 上海市向明中学（浦江校区）(012006)
到校-校区分配,闵行区|上海师范大学康城实验学校|上海市第二中学|742 -> 上海市第二中学（梅陇校区）(042002)
到校-校区分配,闵行区|上海市莘城学校|上海市第二中学|750.5 -> 上海市第二中学（梅陇校区）(042002)
到校-校区分配,闵行区|上海市闵行区文来实验学校|上海市第二中学|730.5 -> 上海市第二中学（梅陇校区）(042002)
到校-校区分配,闵行区|上海市闵行区君莲学校|上海市第二中学|734 -> 上海市第二中学（梅陇校区）(042002)
到校-校区分配,闵行区|上海市闵行区华漕学校|上海市向明中学|736.5 -> 上海市向明中学（浦江校区）(012006)
到校-校区分配,闵行区|上海市闵行区华漕学校|上海市第二中学|739.5 -> 上海市第二中学（梅陇校区）(042002)
到校-校区分配,闵行区|上海世外教育附属浦江外国语学校|上海市第二中学|743 -> 上海市第二中学（梅陇校区）(042002)
到校-校区分配,闵行区|上海交通大学附属闵行马桥实验学校|上海市向明中学|740.5 -> 上海市向明中学（浦江校区）(012006)
到校-校区分配,闵行区|上海市闵行区七宝文来学校|上海市第二中学|737 -> 上海市第二中学（梅陇校区）(042002)
到校-校区分配,闵行区|上海师范大学附属中学闵行实验学校|上海市第二中学|735 -> 上海市第二中学（梅陇校区）(042002)
到校-校区分配,闵行区|华东理工大学附属闵行梅陇实验学校|上海市第二中学|743 -> 上海市第二中学（梅陇校区）(042002)
到校-校区分配,闵行区|华东师范大学附属闵行永德学校|上海市向明中学|743.5 -> 上海市向明中学（浦江校区）(012006)
到校-校区分配,闵行区|上海市民办德英乐实验学校|上海市向明中学|743.5 -> 上海市向明中学（浦江校区）(012006)
到校-校区分配,闵行区|上海市燎原双语学校|上海市第二中学|720 -> 上海市第二中学（梅陇校区）(042002)
到校-校区分配,闵行区|上海市民办协和双语尚音学校|上海市向明中学|727.5 -> 上海市向明中学（浦江校区）(012006)
到校-校区分配,闵行区|上海市民办万源城协和双语学校|上海市向明中学|741 -> 上海市向明中学（浦江校区）(012006)
到校-校区分配,闵行区|上海博世凯外国语学校|上海市第二中学|745 -> 上海市第二中学（梅陇校区）(042002)
到校-校区分配,闵行区|上海民办圣华紫竹双语学校|上海市第二中学|746 -> 上海市第二中学（梅陇校区）(042002)
到校-校区分配,黄浦区|格致初级中学|上海市格致中学|743.5 -> 上海市格致中学(012001)
到校-校区分配,黄浦区|格致初级中学|上海市格致中学|726.5 -> 上海市格致中学（奉贤校区）(012002)
到校-校区分配,黄浦区|格致初级中学|上海市向明中学|729 -> 上海市向明中学(012005)
到校-校区分配,黄浦区|格致初级中学|上海市向明中学|722 -> 上海市向明中学（浦江校区）(012006)
到校-校区分配,黄浦区|大同初级中学|上海市格致中学|744 -> 上海市格致中学(012001)
到校-校区分配,黄浦区|大同初级中学|上海市格致中学|734 -> 上海市格致中学（奉贤校区）(012002)
到校-校区分配,黄浦区|大同初级中学|上海市向明中学|738.5 -> 上海市向明中学(012005)
到校-校区分配,黄浦区|大同初级中学|上海市向明中学|730 -> 上海市向明中学（浦江校区）(012006)
到校-校区分配,黄浦区|向明初级中学|上海市格致中学|742.5 -> 上海市格致中学(012001)
到校-校区分配,黄浦区|向明初级中学|上海市格致中学|733 -> 上海市格致中学（奉贤校区）(012002)
到校-校区分配,黄浦区|向明初级中学|上海市向明中学|732 -> 上海市向明中学(012005)
到校-校区分配,黄浦区|向明初级中学|上海市向明中学|724.5 -> 上海市向明中学（浦江校区）(012006)
到校-校区分配,黄浦区|大境初级中学|上海市格致中学|749.5 -> 上海市格致中学(012001)
到校-校区分配,黄浦区|大境初级中学|上海市格致中学|736.5 -> 上海市格致中学（奉贤校区）(012002)
到校-校区分配,黄浦区|大境初级中学|上海市向明中学|735 -> 上海市向明中学(012005)
到校-校区分配,黄浦区|大境初级中学|上海市向明中学|727.5 -> 上海市向明中学（浦江校区）(012006)
到校-校区分配,黄浦区|光明初级中学|上海市格致中学|744 -> 上海市格致中学(012001)
到校-校区分配,黄浦区|光明初级中学|上海市格致中学|730 -> 上海市格致中学（奉贤校区）(012002)
到校-校区分配,黄浦区|光明初级中学|上海市向明中学|729 -> 上海市向明中学(012005)
到校-校区分配,黄浦区|光明初级中学|上海市向明中学|732 -> 上海市向明中学（浦江校区）(012006)
到校-校区分配,黄浦区|敬业初级中学|上海市格致中学|730 -> 上海市格致中学(012001)
到校-校区分配,黄浦区|敬业初级中学|上海市格致中学|721.5 -> 上海市格致中学（奉贤校区）(012002)
到校-校区分配,黄浦区|敬业初级中学|上海市向明中学|727 -> 上海市向明中学(012005)
到校-校区分配,黄浦区|敬业初级中学|上海市向明中学|725 -> 上海市向明中学（浦江校区）(012006)
到校-校区分配,黄浦区|卢湾中学|上海市格致中学|744.5 -> 上海市格致中学(012001)
到校-校区分配,黄浦区|卢湾中学|上海市格致中学|733 -> 上海市格致中学（奉贤校区）(012002)
到校-校区分配,黄浦区|卢湾中学|上海市向明中学|735.5 -> 上海市向明中学(012005)
到校-校区分配,黄浦区|卢湾中学|上海市向明中学|732 -> 上海市向明中学（浦江校区）(012006)
到校-校区分配,黄浦区|市八初级中学|上海市格致中学|747 -> 上海市格致中学(012001)
到校-校区分配,黄浦区|市八初级中学|上海市格致中学|710 -> 上海市格致中学（奉贤校区）(012002)
到校-校区分配,黄浦区|市八初级中学|上海市向明中学|728 -> 上海市向明中学(012005)
到校-校区分配,黄浦区|市八初级中学|上海市向明中学|730 -> 上海市向明中学（浦江校区）(012006)
到校-校区分配,黄浦区|尚文中学|上海市格致中学|743 -> 上海市格致中学(012001)
到校-校区分配,黄浦区|尚文中学|上海市格致中学|731 -> 上海市格致中学（奉贤校区）(012002)
到校-校区分配,黄浦区|尚文中学|上海市向明中学|727 -> 上海市向明中学(012005)
到校-校区分配,黄浦区|尚文中学|上海市向明中学|712.5 -> 上海市向明中学（浦江校区）(012006)
到校-校区分配,黄浦区|交附黄浦实验|上海市格致中学|745 -> 上海市格致中学(012001)
到校-校区分配,黄浦区|交附黄浦实验|上海市格致中学|721.5 -> 上海市格致中学（奉贤校区）(012002)
到校-校区分配,黄浦区|交附黄浦实验|上海市向明中学|725.5 -> 上海市向明中学(012005)
到校-校区分配,黄浦区|交附黄浦实验|上海市向明中学|733.5 -> 上海市向明中学（浦江校区）(012006)
到校-校区分配,黄浦区|清华中学|上海市格致中学|725.5 -> 上海市格致中学(012001)
到校-校区分配,黄浦区|清华中学|上海市格致中学|690.5 -> 上海市格致中学（奉贤校区）(012002)
到校-校区分配,黄浦区|清华中学|上海市向明中学|684.5 -> 上海市向明中学（浦江校区）(012006)
到校-校区分配,黄浦区|清华中学|上海市向明中学|699.5 -> 上海市向明中学(012005)
到校-校区分配,黄浦区|民办明珠中学|上海市格致中学|751 -> 上海市格致中学(012001)
到校-校区分配,黄浦区|民办明珠中学|上海市格致中学|725.5 -> 上海市格致中学（奉贤校区）(012002)
到校-校区分配,黄浦区|民办明珠中学|上海市向明中学|735.5 -> 上海市向明中学(012005)
到校-校区分配,黄浦区|民办明珠中学|上海市向明中学|666.5 -> 上海市向明中学（浦江校区）(012006)
到校-校区分配,黄浦区|民办立达中学|上海市格致中学|745 -> 上海市格致中学(012001)
到校-校区分配,黄浦区|民办立达中学|上海市格致中学|737.5 -> 上海市格致中学（奉贤校区）(012002)
到校-校区分配,黄浦区|民办立达中学|上海市向明中学|733.5 -> 上海市向明中学(012005)
到校-校区分配,黄浦区|民办立达中学|上海市向明中学|729 -> 上海市向明中学（浦江校区）(012006)
到校-校区分配,黄浦区|民办震旦外国语|上海市格致中学|732.5 -> 上海市格致中学(012001)
到校-校区分配,黄浦区|民办震旦外国语|上海市格致中学|731 -> 上海市格致中学（奉贤校区）(012002)
到校-校区分配,黄浦区|民办震旦外国语|上海市向明中学|726.5 -> 上海市向明中学(012005)
到校-校区分配,黄浦区|民办震旦外国语|上海市向明中学|711 -> 上海市向明中学（浦江校区）(012006)
到校-校区分配,黄浦区|市十中学|上海市格致中学|743 -> 上海市格致中学(012001)
到校-校区分配,黄浦区|市十中学|上海市格致中学|715 -> 上海市格致中学（奉贤校区）(012002)
到校-校区分配,黄浦区|市十中学|上海市向明中学|727.5 -> 上海市向明中学(012005)
到校-校区分配,黄浦区|市十中学|上海市向明中学|715.5 -> 上海市向明中学（浦江校区）(012006)
到校-校区分配,黄浦区|储能中学|上海市格致中学|736 -> 上海市格致中学(012001)
到校-校区分配,黄浦区|储能中学|上海市格致中学|721 -> 上海市格致中学（奉贤校区）(012002)
到校-校区分配,黄浦区|储能中学|上海市向明中学|730.5 -> 上海市向明中学(012005)
到校-校区分配,黄浦区|储能中学|上海市向明中学|701 -> 上海市向明中学（浦江校区）(012006)
到校-校区分配,黄浦区|金陵中学|上海市格致中学|748 -> 上海市格致中学（奉贤校区）(012002)
到校-校区分配,黄浦区|金陵中学|上海市向明中学|723 -> 上海市向明中学(012005)
到校-校区分配,黄浦区|金陵中学|上海市向明中学|708.5 -> 上海市向明中学（浦江校区）(012006)
到校-校区分配,黄浦区|上音比乐中学|上海市格致中学|717 -> 上海市格致中学(012001)
到校-校区分配,黄浦区|上音比乐中学|上海市格致中学|701 -> 上海市格致中学（奉贤校区）(012002)
到校-校区分配,黄浦区|上音比乐中学|上海市向明中学|724.5 -> 上海市向明中学(012005)
到校-校区分配,黄浦区|上音比乐中学|上海市向明中学|698 -> 上海市向明中学（浦江校区）(012006)
到校-校区分配,黄浦区|中山学校|上海市格致中学|744.5 -> 上海市格致中学(012001)
到校-校区分配,黄浦区|中山学校|上海市格致中学|744 -> 上海市格致中学（奉贤校区）(012002)
到校-校区分配,黄浦区|中山学校|上海市向明中学|729.5 -> 上海市向明中学(012005)
到校-校区分配,黄浦区|中山学校|上海市向明中学|736.5 -> 上海市向明中学（浦江校区）(012006)
到校-初中未匹配,浦东新区|上海中医药大学附属浦东鹤沙学校 (4行)
到校-初中未匹配,浦东新区|上海交通大学附属浦东实验中学 (8行)
到校-初中未匹配,浦东新区|上海市浦东新区进才万祥学校 (10行)
到校-初中未匹配,浦东新区|上海师范大学附属浦东秋萍学校 (8行)
