year,district,district_code,middle_school_name,high_school_code,high_school_name,quota_count,source
2025,静安区,JA,上海市市西初级中学,062001,上海市市西中学,10,page_1
2025,静安区,JA,上海市市西初级中学,062002,上海市育才中学,9,page_1
2025,静安区,JA,上海市市西初级中学,062003,上海市新中高级中学,9,page_1
2025,静安区,JA,上海市市西初级中学,062011,上海市回民中学,10,page_1
2025,静安区,JA,上海市市西初级中学,063004,上海市第六十中学,5,page_1
2025,静安区,JA,上海市市西初级中学,064001,上海市华东模范中学,7,page_1
2025,静安区,JA,上海市市西初级中学,042032,上海市上海中学,5,page_1
2025,静安区,JA,上海市育才初级中学,062001,上海市市西中学,5,page_1
2025,静安区,JA,上海市育才初级中学,062002,上海市育才中学,5,page_1
2025,静安区,JA,上海市育才初级中学,062003,上海市新中高级中学,5,page_1
2025,静安区,JA,上海市育才初级中学,062011,上海市回民中学,5,page_1
2025,静安区,JA,上海市育才初级中学,063004,上海市第六十中学,3,page_1
2025,静安区,JA,上海市育才初级中学,064001,上海市华东模范中学,4,page_1
2025,静安区,JA,上海市育才初级中学,042032,上海市上海中学,3,page_1
2025,静安区,JA,上海市时代中学,062001,上海市市西中学,2,page_1
2025,静安区,JA,上海市时代中学,062002,上海市育才中学,2,page_1
2025,静安区,JA,上海市时代中学,062003,上海市新中高级中学,2,page_1
2025,静安区,JA,上海市时代中学,062011,上海市回民中学,2,page_1
2025,静安区,JA,上海市时代中学,063004,上海市第六十中学,2,page_1
2025,静安区,JA,上海市时代中学,064001,上海市华东模范中学,2,page_1
2025,静安区,JA,上海市时代中学,042032,上海市上海中学,2,page_1
2025,静安区,JA,上海市时代中学,152003,华东师范大学第二附属中学,1,page_1
2025,静安区,JA,上海市五四中学,062001,上海市市西中学,3,page_1
2025,静安区,JA,上海市五四中学,062002,上海市育才中学,2,page_1
2025,静安区,JA,上海市五四中学,062003,上海市新中高级中学,2,page_1
2025,静安区,JA,上海市五四中学,062011,上海市回民中学,3,page_1
2025,静安区,JA,上海市五四中学,063004,上海市第六十中学,2,page_1
2025,静安区,JA,上海市五四中学,064001,上海市华东模范中学,2,page_1
2025,静安区,JA,上海市五四中学,042032,上海市上海中学,2,page_1
2025,静安区,JA,民办上海上外静安外国语中学,062001,上海市市西中学,4,page_1
2025,静安区,JA,民办上海上外静安外国语中学,062002,上海市育才中学,4,page_1
2025,静安区,JA,民办上海上外静安外国语中学,062003,上海市新中高级中学,4,page_1
