年份,批次,区名称,初中学校代码,初中学校,高中学校代码,名额,文件来源
2025,名额分配到校,静安,064024,上海市民办风范中学,102056,1,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,065001,上海市爱国学校,062001,2,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,065001,上海市爱国学校,062002,2,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,065001,上海市爱国学校,062003,2,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,065001,上海市爱国学校,062011,2,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,065001,上海市爱国学校,063004,1,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,065001,上海市爱国学校,064001,2,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,065001,上海市爱国学校,042032,2,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,065002,上海市静安区教育学院附属学校,062001,5,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,065002,上海市静安区教育学院附属学校,062002,4,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,065002,上海市静安区教育学院附属学校,062003,4,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,065002,上海市静安区教育学院附属学校,062011,5,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,065002,上海市静安区教育学院附属学校,063004,3,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,065002,上海市静安区教育学院附属学校,064001,3,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,065002,上海市静安区教育学院附属学校,042032,3,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,065002,上海市静安区教育学院附属学校,102056,1,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,065056,上海市华灵学校,062001,2,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,065056,上海市华灵学校,062002,2,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,065056,上海市华灵学校,062003,2,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,065056,上海市华灵学校,062011,2,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,065056,上海市华灵学校,063004,2,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,065056,上海市华灵学校,064001,2,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,065056,上海市华灵学校,042032,2,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,065056,上海市华灵学校,102056,1,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,065057,上海市三泉学校,062001,3,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,065057,上海市三泉学校,062002,3,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,065057,上海市三泉学校,062003,3,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,065057,上海市三泉学校,062011,3,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,065057,上海市三泉学校,063004,2,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,065057,上海市三泉学校,064001,2,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,065057,上海市三泉学校,042032,2,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,065058,上海戏剧学院附属静安学校,062001,2,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,065058,上海戏剧学院附属静安学校,062002,2,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,065058,上海戏剧学院附属静安学校,062003,2,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,065058,上海戏剧学院附属静安学校,062011,2,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,065058,上海戏剧学院附属静安学校,063004,1,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,065058,上海戏剧学院附属静安学校,064001,2,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,065058,上海戏剧学院附属静安学校,042032,1,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,065078,上海市静安区大宁国际学校,062001,3,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,065078,上海市静安区大宁国际学校,062002,3,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,065078,上海市静安区大宁国际学校,062003,3,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,065078,上海市静安区大宁国际学校,062011,3,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,065078,上海市静安区大宁国际学校,063004,2,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,065078,上海市静安区大宁国际学校,064001,2,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,065078,上海市静安区大宁国际学校,042032,2,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,065078,上海市静安区大宁国际学校,102056,1,2025年上海市高中名额分配到校招生计划（静安区）.pdf
