年份,批次,区名称,初中学校代码,初中学校,高中学校代码,名额,文件来源
2025,名额分配到校,静安,061051,上海市新中初级中学,062002,8,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,061051,上海市新中初级中学,062003,8,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,061051,上海市新中初级中学,062011,9,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,061051,上海市新中初级中学,063004,5,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,061051,上海市新中初级中学,064001,6,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,061051,上海市新中初级中学,042032,5,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,061053,上海市静安区实验中学,062001,3,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,061053,上海市静安区实验中学,062002,3,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,061053,上海市静安区实验中学,062003,3,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,061053,上海市静安区实验中学,062011,3,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,061053,上海市静安区实验中学,063004,2,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,061053,上海市静安区实验中学,064001,2,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,061053,上海市静安区实验中学,042032,2,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,061053,上海市静安区实验中学,102056,1,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,061055,上海市朝阳中学,062001,1,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,061055,上海市朝阳中学,062002,1,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,061055,上海市朝阳中学,062003,1,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,061055,上海市朝阳中学,062011,1,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,061055,上海市朝阳中学,063004,1,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,061055,上海市朝阳中学,064001,1,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,061055,上海市朝阳中学,042032,1,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,061055,上海市朝阳中学,102056,1,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,061059,上海市市北初级中学,062001,10,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,061059,上海市市北初级中学,062002,9,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,061059,上海市市北初级中学,062003,9,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,061059,上海市市北初级中学,062011,11,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,061059,上海市市北初级中学,063004,6,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,061059,上海市市北初级中学,064001,7,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,061059,上海市市北初级中学,042032,6,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,061059,上海市市北初级中学,102056,1,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,061060,上海市风华初级中学,062001,20,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,061060,上海市风华初级中学,062002,19,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,061060,上海市风华初级中学,062003,19,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,061060,上海市风华初级中学,062011,22,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,061060,上海市风华初级中学,063004,11,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,061060,上海市风华初级中学,064001,14,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,061060,上海市风华初级中学,042032,11,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,061061,上海市彭浦初级中学,062001,7,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,061061,上海市彭浦初级中学,062002,6,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,061061,上海市彭浦初级中学,062003,6,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,061061,上海市彭浦初级中学,062011,7,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,061061,上海市彭浦初级中学,063004,4,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,061061,上海市彭浦初级中学,064001,5,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,061061,上海市彭浦初级中学,042032,4,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,061061,上海市彭浦初级中学,102056,1,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,061062,上海外国语大学苏河湾实验中学,062001,3,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,061062,上海外国语大学苏河湾实验中学,062002,3,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,061062,上海外国语大学苏河湾实验中学,062003,3,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,061062,上海外国语大学苏河湾实验中学,062011,3,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,061062,上海外国语大学苏河湾实验中学,063004,2,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,061062,上海外国语大学苏河湾实验中学,064001,2,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,061062,上海外国语大学苏河湾实验中学,042032,2,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,061062,上海外国语大学苏河湾实验中学,102056,1,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,061066,上海市青云中学,062001,6,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,061066,上海市青云中学,062002,6,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,061066,上海市青云中学,062003,6,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,061066,上海市青云中学,062011,7,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,061066,上海市青云中学,063004,4,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,061066,上海市青云中学,064001,5,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,061066,上海市青云中学,042032,4,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,061066,上海市青云中学,102056,1,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,061071,上海市岭南中学,062001,3,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,061071,上海市岭南中学,062002,3,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,061071,上海市岭南中学,062003,3,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,061071,上海市岭南中学,062011,4,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,061071,上海市岭南中学,063004,2,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,061071,上海市岭南中学,064001,3,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,061071,上海市岭南中学,042032,2,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,061072,上海市保德中学,062001,2,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,061072,上海市保德中学,062002,2,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,061072,上海市保德中学,062003,2,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,061072,上海市保德中学,062011,2,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,061072,上海市保德中学,063004,2,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,061072,上海市保德中学,064001,2,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,061072,上海市保德中学,042032,2,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,061073,上海市彭浦第三中学,062001,5,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,061073,上海市彭浦第三中学,062002,5,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,061073,上海市彭浦第三中学,062003,5,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,061073,上海市彭浦第三中学,062011,5,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,061073,上海市彭浦第三中学,063004,3,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,061073,上海市彭浦第三中学,064001,4,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,061073,上海市彭浦第三中学,042032,3,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,061074,上海市彭浦第四中学,062001,3,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,061074,上海市彭浦第四中学,062002,3,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,061074,上海市彭浦第四中学,062003,3,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,061074,上海市彭浦第四中学,062011,3,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,061074,上海市彭浦第四中学,063004,2,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,061074,上海市彭浦第四中学,064001,2,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,061074,上海市彭浦第四中学,042032,2,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,061074,上海市彭浦第四中学,102056,1,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,062011,上海市回民中学,062001,3,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,062011,上海市回民中学,062002,3,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,062011,上海市回民中学,062003,3,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,062011,上海市回民中学,062011,3,2025年上海市高中名额分配到校招生计划（静安区）.pdf
