文件名,URL,发布日期,内容说明,状态
2026年上海市高中阶段学校招生报名日程表,https://www.shmeea.edu.cn/download/20260112/1.pdf,2026-01-12,详细报名日程安排,已发布
2026年上海市高中阶段学校招生报名各区信息确认安排一览表,https://www.shmeea.edu.cn/download/20260112/2.pdf,2026-01-12,各区确认地点和时间,已发布
2026年上海市高中阶段学校招生报名条件一览表,https://www.shmeea.edu.cn/download/20260112/3.pdf,2026-01-12,各类报名条件及所需材料,已发布
