发布日期,文件名称,链接,类型,状态
2026-02-27,上海市教育委员会关于2026年上海市高中阶段学校招生工作的通知,https://edu.sh.gov.cn/xxgk2_zdgz_rxgkyzs_03/20260227/923fcd6838744ca59c213daa3fb180fd.html,市级政策,已发布
2025-12-26,上海市教育考试院关于印发《2026年上海市成人中等职业教育招生文件的通知,https://www.shmeea.edu.cn/page/03100/20251226/19962.html,市级政策,已发布
2025-11-26,上海市教育委员会关于做好2026年上海市高中阶段学校招生工作的实施意见,https://edu.sh.gov.cn/xxgk2_zdgz_rxgkyzs_03/20251126/27f5a2d54e414ed4b1c6a53719e67865.html,市级政策,已发布
2025-11-26,上海市教育委员会关于做好2026年上海市全日制普通中等职业学校招生工作的通知,https://edu.sh.gov.cn/xxgk2_zdgz_rxgkyzs_03/20251126/fbeaa9affca540fe874ad41d75aa5110.html,市级政策,已发布
2025-12-29,《2026年上海中考中招指南（报名篇、考试篇、信息篇）》,https://www.shmeea.edu.cn/page/03300/20251229/19965.html,指导文件,已发布
