序号,时间节点,事项,来源,备注
1,2026-01-19,2026年本市高中阶段学校招生网上报名及信息确认开始,上海招考热线,已开始
2,2025-12-29,《2026年上海中考中招指南（报名篇、考试篇、信息篇）》发布,上海招考热线,重要参考资料
3,2026-02-27,上海市教育委员会关于2026年上海市高中阶段学校招生工作文件发布,上海招考热线转载,教委官网
4,2025-11-26,上海市教育委员会关于做好2026年上海市高中阶段学校招生工作通知,上海招考热线转载,教委官网
5,2025-11-26,上海市教育委员会关于做好2026年上海市全日制普通中等职业学校招生工作通知,上海招考热线转载,教委官网
