文件标题,文号,发布日期,来源URL,主要内容
上海市教育委员会关于做好2026年上海市高中阶段学校招生报名工作的通知,沪教委基〔2025〕31号,2025-11-20,https://edu.sh.gov.cn/xxgk2_zdgz_rxgkyzs_03/20251126/27f5a2d54e414ed4b1c6a53719e67865.html,详细规定报名对象、报名条件、报名时间及方式
上海市教育委员会关于做好2026年上海市全日制普通中等职业学校自主招收上海市初中应届毕业生中来沪人员随迁子女报名工作的通知,沪教委职〔2025〕27号,2025-11-26,https://edu.sh.gov.cn/xxgk2_zdgz_rxgkyzs_03/20251126/fbeaa9affca540fe874ad41d75aa5110.html,中职校招收随迁子女相关政策
