序号,发布日期,PDF文件名称,来源,链接,备注
1,2025-05-28,2025年上海市民办普通高中国际课程班和中外合作办学学校招生录取方案,上海招考热线,https://www.shmeea.edu.cn/download/20250528/016.pdf,参考2025年
2,2025-07-13,2025年上海市中等职业学校自主招收随迁子女五年一贯制和中高职贯通招生计划,上海招考热线,https://www.shmeea.edu.cn/download/20250713/zz/02.pdf,参考2025年
