发布日期,PDF文件名称,链接,类型,备注
2025-05-28,2025年上海市民办普通高中国际课程班和中外合作办学学校招生录取最低投档控制分数线,https://www.shmeea.edu.cn/download/20250528/016.pdf,录取分数线,2025年数据（参考）
2025-07-13,2025年上海市中等职业学校自主招收随迁子女五年一贯制和中高职贯通招生计划,https://www.shmeea.edu.cn/download/20250713/zz/02.pdf,招生计划,2025年数据（参考）
