年份,区域,初中学校,高中学校,录取分数线
2024,奉贤,上海市奉贤区四团中学,,728.5
2024,奉贤,上海市奉贤区青溪中学,,727.5
2024,奉贤,上海市奉贤区青溪中学,,752.5
2024,奉贤,上海市奉贤区青溪中学,,736
2024,奉贤,上海市奉贤区青溪中学,,736
2024,奉贤,上海市奉贤区尚同中学,,724.5
2024,奉贤,上海市奉贤区尚同中学,,733
2024,奉贤,上海市奉贤区尚同中学,,709.5
2024,奉贤,上海外国语大学附属奉贤实验中学,,726.5
2024,奉贤,上海外国语大学附属奉贤实验中学,,724
2024,奉贤,上海外国语大学附属奉贤实验中学,,731.5
2024,奉贤,上海市奉贤区崇实中学,,727
2024,奉贤,上海市奉贤区崇实中学,,739
2024,奉贤,上海市奉贤区崇实中学,,733
2024,奉贤,上海市奉贤区待问中学,,733
2024,奉贤,上海市奉贤区待问中学,,724
2024,奉贤,上海市奉贤区待问中学,,721.5
2024,奉贤,上海市奉贤中学附属初级中学,,696.5
2024,奉贤,上海市奉贤中学附属初级中学,,720
2024,奉贤,上海市奉贤中学附属初级中学,,721.5
2024,奉贤,上海市奉贤区肖塘中学,,688
2024,奉贤,上海市奉贤区肖塘中学,,716.5
2024,奉贤,上海市奉贤区肖塘中学,,709
2024,奉贤,上海市奉贤区育秀中学,,733
2024,奉贤,上海市奉贤区育秀中学,,736
2024,奉贤,上海市奉贤区育秀中学,,730.5
2024,奉贤,初中学校,,录取最低分     (含学业考总成绩和综合素质评价成绩)
2024,奉贤,上海市奉贤区华亭学校,,727
2024,奉贤,上海市奉贤区华亭学校,,731.5
2024,奉贤,上海市奉贤区华亭学校,,728
2024,奉贤,上海市奉贤区西渡学校,,712
2024,奉贤,上海市奉贤区西渡学校,,726
2024,奉贤,上海市奉贤区西渡学校,,721.5
2024,奉贤,上海市奉贤区新寺学校,,694.5
2024,奉贤,上海市奉贤区新寺学校,,668
2024,奉贤,上海奉贤区博华双语学校,,709
2024,奉贤,上海奉贤区博华双语学校,,726.5
2024,奉贤,上海奉贤区博华双语学校,,726.5
2024,奉贤,上海市奉贤区胡桥学校,,662.5
2024,奉贤,上海市奉贤区胡桥学校,,677.5
2024,奉贤,上海市奉贤区柘林学校,,703.5
2024,奉贤,上海市奉贤区柘林学校,,710
2024,奉贤,上海市奉贤区柘林学校,,687
2024,奉贤,上海市奉贤区阳光外国语学校,,725
2024,奉贤,上海市奉贤区阳光外国语学校,,733
2024,奉贤,上海市奉贤区阳光外国语学校,,723
2024,奉贤,上海市奉贤区庄行学校,,690.5
2024,奉贤,上海市奉贤区庄行学校,,707.5
2024,奉贤,上海市奉贤区庄行学校,,702.5
2024,奉贤,上海市奉贤区邬桥学校,,702
2024,奉贤,上海市奉贤区邬桥学校,,714.5
2024,奉贤,上海市奉贤区邬桥学校,,714.5
2024,奉贤,上海市奉贤区金汇学校,,697.5
2024,奉贤,上海市奉贤区金汇学校,,723.5
2024,奉贤,上海市奉贤区金汇学校,,722.5
2024,奉贤,上海市奉贤区齐贤学校,,680.5
2024,奉贤,上海市奉贤区齐贤学校,,680.5
2024,奉贤,初中学校,,录取最低分     (含学业考总成绩和综合素质评价成绩)
2024,奉贤,上海市奉贤区齐贤学校,,684
2024,奉贤,上海市奉贤区泰日学校,,715
2024,奉贤,上海市奉贤区泰日学校,,716
2024,奉贤,上海市奉贤区泰日学校,,717
2024,奉贤,上海市奉贤中学附属三官堂学校,,725
2024,奉贤,上海市奉贤中学附属三官堂学校,,723.5
2024,奉贤,上海市奉贤区钱桥学校,,681
2024,奉贤,上海市奉贤区钱桥学校,,695.5
2024,奉贤,上海市奉贤区钱桥学校,,688.5
2024,奉贤,上海市奉贤区平安学校,,716
2024,奉贤,上海市奉贤区平安学校,,719
2024,奉贤,上海市奉贤区平安学校,,750
2024,奉贤,上海市奉贤区邵厂学校,,689
2024,奉贤,上海市奉贤区邵厂学校,,657
2024,奉贤,上海市奉贤区弘文学校,,730.5
2024,奉贤,上海市奉贤区弘文学校,,738
2024,奉贤,上海市奉贤区弘文学校,,735
2024,奉贤,上海市奉贤区弘文学校,,733.5
2024,奉贤,上海市奉贤区星火学校,,690.5
2024,奉贤,上海市奉贤区星火学校,,703
2024,奉贤,上海市奉贤区星火学校,,703
2024,奉贤,上海市奉贤区五四学校,,678.5
2024,奉贤,上海市奉贤区五四学校,,698.5
2024,奉贤,上海市奉贤区肇文学校,,708
2024,奉贤,上海市奉贤区肇文学校,,713
2024,奉贤,上海市奉贤区肇文学校,,729.5
2024,奉贤,上海市奉贤区奉浦中学,,711
2024,奉贤,上海市奉贤区奉浦中学,,717.5
2024,奉贤,上海市奉贤区奉浦中学,,715
2024,奉贤,上海奉贤区世外教育附属临港外国语学校,,704.5
2024,奉贤,初中学校,,录取最低分     (含学业考总成绩和综合素质评价成绩)
2024,奉贤,上海奉贤区世外教育附属临港外国语学校,,719.5
2024,奉贤,上海奉贤区世外教育附属临港外国语学校,,713
2024,奉贤,柘林学校师大附中教学点,,662.5
2024,奉贤,柘林学校师大附中教学点,,710.5
2024,奉贤,柘林学校师大附中教学点,,669
2024,宝山,初中学校,,录取最低分     (含学业考总成绩和综合素质评价成绩)
2024,宝山,上海市淞谊中学,,730
2024,宝山,上海市淞谊中学,,715
2024,宝山,上海市淞谊中学,,702
2024,宝山,上海市淞谊中学,,716.5
2024,宝山,上海市淞谊中学,,745
2024,宝山,上海市宝山区教育学院附属中学,,732.5
2024,宝山,上海市宝山区教育学院附属中学,,717.5
2024,宝山,上海市宝山区教育学院附属中学,,713.5
2024,宝山,上海市宝山区教育学院附属中学,,725.5
2024,宝山,上海市宝山区教育学院附属中学,,748
2024,宝山,上海市吴淞初级中学,,686.5
2024,宝山,上海市吴淞初级中学,,664
2024,宝山,上海市吴淞初级中学,,675.5
2024,宝山,上海市吴淞初级中学,,676
2024,宝山,上海市海滨第二中学,,719
2024,宝山,上海市海滨第二中学,,703.5
2024,宝山,上海市海滨第二中学,,718.5
2024,宝山,上海市海滨第二中学,,756
2024,宝山,上海民办宝莲中学,,759.5
2024,宝山,上海民办宝莲中学,,740
2024,宝山,上海民办宝莲中学,,721.5
2024,宝山,上海民办宝莲中学,,727
2024,宝山,上海民办宝莲中学,,721.5
2024,宝山,上海民办宝莲中学,,755.5
2024,宝山,上海市吴淞第二中学,,712
2024,宝山,上海市吴淞第二中学,,684
2024,宝山,上海市吴淞第二中学,,706
2024,宝山,上海市吴淞第二中学,,744
2024,宝山,初中学校,,录取最低分     (含学业考总成绩和综合素质评价成绩)
2024,宝山,上海市虎林中学,,765.5
2024,宝山,上海市虎林中学,,715
2024,宝山,上海市虎林中学,,715
2024,宝山,上海市虎林中学,,714
2024,宝山,上海市虎林中学,,735
2024,宝山,上海市泗塘中学,,731
2024,宝山,上海市泗塘中学,,716
2024,宝山,上海市泗塘中学,,727.5
2024,宝山,上海市泗塘中学,,713
2024,宝山,上海市泗塘中学,,741.5
2024,宝山,上海市宝山区求真中学北校,,718.5
2024,宝山,上海市宝山区求真中学北校,,714
2024,宝山,上海市宝山区求真中学北校,,707
2024,宝山,上海市宝山区求真中学北校,,745
2024,宝山,上海市泗塘第二中学,,715
2024,宝山,上海市泗塘第二中学,,708.5
2024,宝山,上海市泗塘第二中学,,696
2024,宝山,上海市泗塘第二中学,,660.5
2024,宝山,上海市泗塘第二中学,,703.5
2024,宝山,上海市泗塘第二中学,,718.5
2024,宝山,上海市长江第二中学,,722.5
2024,宝山,上海市长江第二中学,,710.5
2024,宝山,上海市长江第二中学,,714
2024,宝山,上海市长江第二中学,,757
2024,宝山,上海市宝山区求真中学,,739
2024,宝山,上海市宝山区求真中学,,719
2024,宝山,上海市宝山区求真中学,,731
2024,宝山,上海市宝山区求真中学,,717.5
2024,宝山,上海市宝山区求真中学,,752
2024,宝山,上海市宝山区求真中学,,757.5
2024,宝山,初中学校,,录取最低分     (含学业考总成绩和综合素质评价成绩)
2024,宝山,上海市大场中学,,729
2024,宝山,上海市大场中学,,712
2024,宝山,上海市大场中学,,709.5
2024,宝山,上海市大场中学,,704.5
2024,宝山,上海市大场中学,,726.5
2024,宝山,上海市大华中学,,734.5
2024,宝山,上海市大华中学,,723.5
2024,宝山,上海市大华中学,,715
2024,宝山,上海市大华中学,,700.5
2024,宝山,上海市大华中学,,743
2024,宝山,上海市月浦中学,,734.5
2024,宝山,上海市月浦中学,,714
2024,宝山,上海市月浦中学,,703.5
2024,宝山,上海市月浦中学,,715
2024,宝山,上海市月浦中学,,708
2024,宝山,上海市月浦中学,,734.5
2024,宝山,上海市罗泾中学,,701
2024,宝山,上海市罗泾中学,,711.5
2024,宝山,上海市罗泾中学,,744
2024,宝山,上海市罗泾中学,,705.5
2024,宝山,上海市罗泾中学,,745
2024,宝山,上海市罗南中学,,723
2024,宝山,上海市罗南中学,,713.5
2024,宝山,上海市罗南中学,,712
2024,宝山,上海市罗南中学,,717
2024,宝山,上海市罗南中学,,715
2024,宝山,上海市罗南中学,,734.5
2024,宝山,上海市民办交华中学,,734.5
2024,宝山,上海市民办交华中学,,714
2024,宝山,上海市民办交华中学,,740
2024,宝山,初中学校,,录取最低分     (含学业考总成绩和综合素质评价成绩)
2024,宝山,上海市民办交华中学,,708
2024,宝山,上海市民办交华中学,,753
2024,宝山,上海市宝山区高境镇第三中学,,732.5
2024,宝山,上海市宝山区高境镇第三中学,,699.5
