年份,区域,学校名称,学校代码,录取分数线
2024,虹口,华东师范大学第二附属中学（普陀校区）,,750.5
2024,虹口,上海市复兴高级中学,,745
2024,虹口,华东师范大学第一附属中学,,734
2024,虹口,上海财经大学附属北郊高级中学,,722
2024,虹口,上海市杨浦高级中学,,732
2024,虹口,上海市控江中学,,730.5
2024,虹口,招生学校,,录取最低分     (含学业考总成绩和综合素质评价成绩)
2024,虹口,上海交通大学附属中学,,753
2024,虹口,复旦大学附属中学,,756.5
2024,虹口,同济大学第一附属中学,,705.5
2024,虹口,上海市七宝中学,,742
2024,虹口,华东师范大学第二附属中学闵行紫竹分校,,743.5
2024,虹口,上海师范大学附属中学闵行分校,,732
2024,虹口,上海市闵行中学,,702
2024,虹口,上海市行知中学,,732.5
2024,虹口,上海大学附属中学,,704.5
2024,虹口,上海市吴淞中学,,705
2024,虹口,华东师范大学第二附属中学（宝山校区）,,737
2024,虹口,上海市嘉定区第一中学,,713
2024,虹口,上海交通大学附属中学嘉定分校,,751.5
2024,虹口,上海中学东校,,721
2024,虹口,上海市建平中学,,743
2024,虹口,上海市进才中学,,700
2024,虹口,华东师范大学第二附属中学,,753
2024,虹口,上海南汇中学,,689
2024,虹口,上海市浦东复旦附中分校,,746.5
2024,虹口,上海市洋泾中学,,708.5
2024,虹口,上海市高桥中学,,706
2024,虹口,上海市川沙中学,,697
2024,虹口,上海市金山中学,,724
2024,虹口,华东师范大学第三附属中学,,703.5
2024,虹口,上海市松江二中,,727.5
2024,虹口,上海市松江一中,,687
2024,虹口,上海外国语大学附属外国语学校松江云间中学,,719.5
2024,虹口,上海市青浦高级中学,,701.5
2024,虹口,复旦大学附属中学青浦分校,,743
2024,虹口,上海市朱家角中学,,694.5
2024,虹口,招生学校,,录取最低分     (含学业考总成绩和综合素质评价成绩)
