年份,批次,区名称,招生学校,录取最低分,是否同分优待
2025,名额分配到区,徐汇区,上海师范大学附属中学嘉定新城分校,710,否
2025,名额分配到区,徐汇区,上海中学东校,734,否
2025,名额分配到区,徐汇区,上海市建平中学,737.5,否
2025,名额分配到区,徐汇区,上海市进才中学,737.5,否
2025,名额分配到区,徐汇区,华东师范大学第二附属中学,756.5,否
2025,名额分配到区,徐汇区,上海南汇中学,693,否
2025,名额分配到区,徐汇区,上海市浦东复旦附中分校,743.5,否
2025,名额分配到区,徐汇区,上海师范大学附属中学,726.5,否
2025,名额分配到区,徐汇区,上海市洋泾中学,718.5,否
2025,名额分配到区,徐汇区,上海市高桥中学,714,否
2025,名额分配到区,徐汇区,上海市川沙中学,712,否
2025,名额分配到区,徐汇区,上海市金山中学,705.5,否
2025,名额分配到区,徐汇区,华东师范大学第三附属中学,698.5,否
2025,名额分配到区,徐汇区,上海市松江二中,738,否
2025,名额分配到区,徐汇区,华东师范大学第二附属中学松江分校,742.5,否
2025,名额分配到区,徐汇区,上海师范大学附属中学松江分校,705,否
2025,名额分配到区,徐汇区,上海市松江一中,717,否
2025,名额分配到区,徐汇区,上海外国语大学附属外国语学校松江云间中学,723,否
2025,名额分配到区,徐汇区,上海市青浦高级中学,719.5,否
2025,名额分配到区,徐汇区,复旦大学附属中学青浦分校,752,否
2025,名额分配到区,徐汇区,上海市朱家角中学 院,687.5,否
2025,名额分配到区,徐汇区,上海市奉贤中学,727,否
2025,名额分配到区,徐汇区,华东师范大学第二附属中学临港奉贤分校,727,否
2025,名额分配到区,徐汇区,上海市崇明中学,706.5,否
2025,名额分配到区,长宁区,院上海市格致中学,727,否
2025,名额分配到区,长宁区,上海市向明中学,721.5,否
2025,名额分配到区,长宁区,上海外国语大学附属大境中学,700,否
2025,名额分配到区,长宁区,上海市光明中学,691.5,否
2025,名额分配到区,长宁区,上海市第二中学,715.5,否
2025,名额分配到区,长宁区,院,751,否
2025,名额分配到区,长宁区,上海市上海中学,751,否
2025,名额分配到区,长宁区,上海市位育中学,733.5,否
2025,名额分配到区,长宁区,上海市第三女子中学,718,否
2025,名额分配到区,长宁区,上海市延安中学,748,否
2025,名额分配到区,长宁区,上海市复旦中学,725.5,否
2025,名额分配到区,长宁区,上海市市西中学,733,否
2025,名额分配到区,长宁区,上海市育才中学,725.5,否
2025,名额分配到区,长宁区,上海市新中高级中学,706,否
2025,名额分配到区,长宁区,上海市市北中学,715,否
2025,名额分配到区,长宁区,上海市回民中学,670,否
2025,名额分配到区,长宁区,上海市第六十中学,690,否
2025,名额分配到区,长宁区,上海市华东模范中学,682,否
2025,名额分配到区,长宁区,上海市晋元高级中学,728,否
2025,名额分配到区,长宁区,上海市曹杨第二中学,742.5,否
2025,名额分配到区,长宁区,上海市宜川中学,713,否
2025,名额分配到区,长宁区,华东师范大学第二附属中学（普陀校区）,756,否
2025,名额分配到区,长宁区,复旦大学附属复兴中学,730.5,否
2025,名额分配到区,长宁区,华东师范大学第一附属中学,725,否
2025,名额分配到区,长宁区,上海市杨浦高级中学,719,否
2025,名额分配到区,长宁区,上海交通大学附属中学,756.5,否
2025,名额分配到区,长宁区,复旦大学附属中学,758,否
2025,名额分配到区,长宁区,上海市七宝中学,754,否
2025,名额分配到区,长宁区,华东师范大学第二附属中学闵行紫竹分校,752,否
2025,名额分配到区,长宁区,上海师范大学附属中学闵行分校,731,否
2025,名额分配到区,长宁区,上海交通大学附属中学闵行分校,762,否
2025,名额分配到区,长宁区,上海市闵行中学,696.5,否
2025,名额分配到区,长宁区,上海市行知中学 院,717,否
2025,名额分配到区,长宁区,上海大学附属中学,712.5,否
2025,名额分配到区,长宁区,上海师范大学附属中学宝山分校,731.5,否
2025,名额分配到区,长宁区,上海市吴淞中学,698.5,否
2025,名额分配到区,长宁区,华东师范大学第二附属中学（宝山校区）,749.5,否
2025,名额分配到区,长宁区,上海交通大学附属中学嘉定分校,745.5,否
2025,名额分配到区,长宁区,上海师范大学附属中学嘉定新城分校,722,否
2025,名额分配到区,长宁区,上海中学东校,738,否
2025,名额分配到区,长宁区,上海市建平中学,743.5,否
2025,名额分配到区,长宁区,上海市进才中学,738,否
2025,名额分配到区,长宁区,华东师范大学第二附属中学,755,否
2025,名额分配到区,长宁区,上海南汇中学,681.5,否
2025,名额分配到区,长宁区,上海师范大学附属中学,734,否
2025,名额分配到区,长宁区,上海市洋泾中学,661.5,否
2025,名额分配到区,长宁区,上海市高桥中学,681,否
2025,名额分配到区,长宁区,上海市川沙中学,704,否
2025,名额分配到区,长宁区,上海市金山中学,694,否
2025,名额分配到区,长宁区,华东师范大学第三附属中学,680.5,否
2025,名额分配到区,长宁区,上海市松江二中,734,否
2025,名额分配到区,长宁区,上海市松江一中,691,否
2025,名额分配到区,长宁区,上海外国语大学附属外国语学校松江云间中学,734,否
2025,名额分配到区,长宁区,上海市青浦高级中学,709.5,否
2025,名额分配到区,长宁区,复旦大学附属中学青浦分校,753,否
2025,名额分配到区,长宁区,上海市朱家角中学,681,否
2025,名额分配到区,长宁区,上海市奉贤中学,732.5,否
2025,名额分配到区,长宁区,华东师范大学第二附属中学临港奉贤分校,726,否
2025,名额分配到区,长宁区,上海市崇明中学,680.5,否
2025,名额分配到区,静安区,上海市格致中学,744,否
2025,名额分配到区,静安区,上海市大同中学,740,否
2025,名额分配到区,静安区,上海市向明中学,730,否
2025,名额分配到区,静安区,上海市光明中学,710.5,否
2025,名额分配到区,静安区,上海市敬业中学,708,否
2025,名额分配到区,静安区,院,724,否
2025,名额分配到区,静安区,上海市南洋模范中学,743.5,否
2025,名额分配到区,静安区,上海市上海中学,742,否
2025,名额分配到区,静安区,复旦大学附属中学徐汇分校,758,否
2025,名额分配到区,静安区,上海市南洋中学,705,否
2025,名额分配到区,静安区,上海市第三女子中学,715,否
2025,名额分配到区,静安区,上海市延安中学,740.5,否
2025,名额分配到区,静安区,上海市复旦中学,713,否
2025,名额分配到区,静安区,上海市市西中学,745,否
2025,名额分配到区,静安区,上海市育才中学,718.5,否
2025,名额分配到区,静安区,上海市新中高级中学,716,否
2025,名额分配到区,静安区,上海市市北中学,722,否
2025,名额分配到区,静安区,上海市回民中学,668.5,否
2025,名额分配到区,静安区,上海市第六十中学,689.5,否
2025,名额分配到区,静安区,上海市华东模范中学,674,否
2025,名额分配到区,静安区,上海市晋元高级中学,733.5,否
2025,名额分配到区,静安区,上海市曹杨第二中学,749,否
2025,名额分配到区,静安区,上海市宜川中学,719.5,否
2025,名额分配到区,静安区,华东师范大学第二附属中学（普陀校区）,751.5,否
2025,名额分配到区,静安区,复旦大学附属复兴中学,733.5,否
2025,名额分配到区,静安区,华东师范大学第一附属中学,731.5,否
2025,名额分配到区,静安区,上海财经大学附属北郊高级中学,706,否
2025,名额分配到区,静安区,上海市杨浦高级中学,721,否
2025,名额分配到区,静安区,上海市控江中学,742,否
2025,名额分配到区,静安区,上海交通大学附属中学,750,否
2025,名额分配到区,静安区,复旦大学附属中学,758.5,否
2025,名额分配到区,静安区,同济大学第一附属中学,722.5,否
2025,名额分配到区,静安区,上海市七宝中学 院,750.5,否
2025,名额分配到区,静安区,华东师范大学第二附属中学闵行紫竹分校,753.5,否
2025,名额分配到区,静安区,上海师范大学附属中学闵行分校,735.5,否
2025,名额分配到区,静安区,上海交通大学附属中学闵行分校,746,否
2025,名额分配到区,静安区,上海市闵行中学,662,否
2025,名额分配到区,静安区,上海大学附属中学,713.5,否
2025,名额分配到区,静安区,上海师范大学附属中学宝山分校,732,否
