年份,批次,区名称,学校信息,录取最低分,是否同分优待,来源文件
2023,名额分配到区,黄浦区,黄浦区    上海交通大学附属中学,759,否,黄浦区-2023年上海市高中学校“名额分配到区”招生录取最低分数线.pdf
2023,名额分配到区,黄浦区,黄浦区     复旦大学附属中学,759.5,否,黄浦区-2023年上海市高中学校“名额分配到区”招生录取最低分数线.pdf
2023,名额分配到区,黄浦区,黄浦区    同济大学第一附属中学,716.5,否,黄浦区-2023年上海市高中学校“名额分配到区”招生录取最低分数线.pdf
2023,名额分配到区,黄浦区,黄浦区      上海市七宝中学,750.5,否,黄浦区-2023年上海市高中学校“名额分配到区”招生录取最低分数线.pdf
2023,名额分配到区,黄浦区,黄浦区,746,否,黄浦区-2023年上海市高中学校“名额分配到区”招生录取最低分数线.pdf
2023,名额分配到区,黄浦区,黄浦区      上海市闵行中学,728.5,否,黄浦区-2023年上海市高中学校“名额分配到区”招生录取最低分数线.pdf
2023,名额分配到区,黄浦区,黄浦区      上海市行知中学,718.5,否,黄浦区-2023年上海市高中学校“名额分配到区”招生录取最低分数线.pdf
2023,名额分配到区,黄浦区,黄浦区     上海大学附属中学,711,否,黄浦区-2023年上海市高中学校“名额分配到区”招生录取最低分数线.pdf
2023,名额分配到区,黄浦区,黄浦区,723.5,否,黄浦区-2023年上海市高中学校“名额分配到区”招生录取最低分数线.pdf
2023,名额分配到区,黄浦区,黄浦区      上海市建平中学,754,否,黄浦区-2023年上海市高中学校“名额分配到区”招生录取最低分数线.pdf
2023,名额分配到区,黄浦区,市,740,否,黄浦区-2023年上海市高中学校“名额分配到区”招生录取最低分数线.pdf
2023,名额分配到区,黄浦区,海,734.5,否,黄浦区-2023年上海市高中学校“名额分配到区”招生录取最低分数线.pdf
2023,名额分配到区,黄浦区,黄浦区   华东师范大学第三附属中学,707,否,黄浦区-2023年上海市高中学校“名额分配到区”招生录取最低分数线.pdf
2023,名额分配到区,黄浦区,黄浦区      上海市松江二中,743,否,黄浦区-2023年上海市高中学校“名额分配到区”招生录取最低分数线.pdf
2023,名额分配到区,黄浦区,黄浦区     上海市青浦高级中学,721.5,否,黄浦区-2023年上海市高中学校“名额分配到区”招生录取最低分数线.pdf
2023,名额分配到区,黄浦区,黄浦区   复旦大学附属中学青浦分校,756.5,否,黄浦区-2023年上海市高中学校“名额分配到区”招生录取最低分数线.pdf
2023,名额分配到区,黄浦区,黄浦区     上海市朱家角中学,669,否,黄浦区-2023年上海市高中学校“名额分配到区”招生录取最低分数线.pdf
2023,名额分配到区,黄浦区,黄浦区      上海市奉贤中学,749,否,黄浦区-2023年上海市高中学校“名额分配到区”招生录取最低分数线.pdf
2023,名额分配到区,黄浦区,黄浦区,750,否,黄浦区-2023年上海市高中学校“名额分配到区”招生录取最低分数线.pdf
2023,名额分配到区,黄浦区,黄浦区      上海市崇明中学,698.5,否,黄浦区-2023年上海市高中学校“名额分配到区”招生录取最低分数线.pdf
