school_name,plan_2026,plan_2025,note
市西中学,79,74,
市北中学,86,85,
育才中学,91,82,
新中高级,79,70,
风华中学,380,351,
久隆模范(收费生),50,30,
民立中学,280,266,
六十中学,66,63,
久隆模范(免费生),77,78,
田家炳,72,79,
彭浦中学,304,288,
华东模范,49,49,
市一中学,200,190,
回民中学,68,61,
闸北八中,228,195,
七一中学,160,160,
上戏附中,80,80,
上戏附中(艺术),10,11,
向东中学,240,240,
民办新和,0,37,停招
上大市北,240,240,
民办扬波,103,76,
民办风范,163,138,
复附静安,45,0,新校
