school_name,plan_2026,plan_2025,note
七宝中学,126,118,
华二紫竹,91,73,
上师闵分,100,100,
交附闵分,87,85,
闵行中学,134,134,
向明浦江,41,41,
市二梅陇,42,56,
莘庄中学,540,524,
上闵外,270,251,
华理科高,450,444,
闵行三中,459,445,
七宝鑫都,180,177,
闵中东校,360,264,
闵行实高,450,351,
七宝浦江,270,264,
中医浦江,450,442,
金汇高级,360,354,
北外田园,450,434,
古美高级,270,270,
闵教附中,270,253,
交附闵实,152,149,
华师永德,360,268,原友爱实验
文来中学,101,90,
文绮中学,222,172,
协和教科,117,117,
燎原双语,114,112,
万科双语,45,40,
诺达双语,50,14,
德闳学校,57,25,
诺美高级,120,0,新校
圣华紫竹,100,0,新校
