school_name,plan_2026,plan_2025,note
交大附中,2,1,
上海中学,1,1,
复旦附中,1,1,
华二附中,1,1,
宝山世外,4,4,
宝山华曜,1,1,
文来中学,2,3,
金山世外,4,4,
存志高级,4,3,
尚德实验,4,4,
黄浦同创,1,1,
西南高级,2,1,
民办永昌,1,1,
维尚高级,1,1,
华旭双语,2,2,
青浦世外,2,2,
燎原双语,2,2,
交大南洋,3,2,
上音安师(艺术),7,5,
赫贤学校,4,3,
东鼎外国语,1,1,
丰华高级,1,1,
创艺高级,2,1,
青浦协和,5,5,
西外外国语,4,4,
博华双语,1,4,
安生学校,3,5,
民办浦实,2,1,
民一中学,20,20,
宋庆龄,1,2,
美达菲,1,1,
华盛怀少,1,2,
民办文绮,1,0,新校
行中中学,2,0,新校
同洲模范,1,0,新校
金瑞学校,1,0,新校
工商附中,1,0,新校
科德高级,1,0,新校
励滕高级,1,0,新校
松江爱菊,2,0,新校
宏润博源,1,0,新校
新纪元,1,0,新校
