school_name,plan_2026,plan_2025,note
上海中学,1,1,
华师二附,1,1,
复旦附中,1,1,
交大附中,1,1,
上师附中,1,1,
田家炳,3,3,
安生学校,2,3,
民办文绮,1,1,
行中中学,2,2,
存志高级,1,2,
维尚高级,1,1,
创艺高级,1,2,
宝山华曜,8,8,
同洲模范,0,2,
宝山世外,1,1,
华旭双语,0,2,
堡镇中学,1,1,
华盛怀少,3,2,
东鼎外语,1,1,
尚德实验,2,1,
九峰实验,0,1,
西外外语,3,3,
赫贤学校,1,2,
爱菊学校,1,5,
青浦世外,3,2,
青浦协和,1,1,
美达菲,1,1,
博华高级,1,7,
城桥中学,1,1,
民一中学,8,8,
上戏附中,1,1,
上音安师,0,1,
圣华紫竹,2,0,
励滕高级,2,2,
