school_name,plan_2026,plan_2025,note
松江二中,94,93,
华二松江,60,37,
松江一中,93,91,
上外云间,98,98,
上师松分,40,22,
华政松高,525,524,
东华附高,346,264,
上师附外,613,613,
华师松高,774,776,
立达中学,576,575,
松江四中,535,541,
上经贸松江,176,0,新校
励滕高级,26,0,新校
科德高级,37,35,
茸一中学,105,105,
九峰实验,141,139,
领科双语,7,36,
西外外语,191,184,
赫贤学校,41,43,
爱菊学校,63,62,
弘毅南洋,252,0,新校
