school_name,plan_2026,plan_2025,note
晋元高级,102,101,
曹杨二中,95,97,
宜川中学,112,104,
晋元南校,30,30,
华二普陀,67,38,
曹杨中学,355,339,
同济二附,366,337,
甘泉,257,210,
甘泉(日语),59,60,
甘泉(德语),22,21,
甘泉(法语),11,17,
甘泉(西班牙语),10,13,
上音安师,240,210,
上音安师(艺术),13,17,
曹二东校,30,30,
长征中学,445,410,
桃浦中学,320,290,
进华中学,90,80,
培佳双语,90,80,
安生学校,44,31,
