school_name,plan_2026,plan_2025,note
复旦复兴,86,85,
华师一附,86,86,
上财北郊,64,64,
北虹高级,270,270,
上师虹高,340,340,
继光高级,262,262,
鲁迅中学,210,210,
同济澄衷,270,252,
五十二中,280,252,
