school_name,plan_2026,plan_2025,note
上海中学,1,1,
华师二附,1,1,
复旦附中,1,2,
交大附中,1,1,
久隆模范,1,1,
城桥中学,3,3,
上戏附中,8,8,
上音安师,4,4,
同济创意,2,2,
民办风范,5,1,
安生学校,6,5,
燎原双语,1,1,
行中中学,3,2,
存志高级,28,20,
维尚高级,3,2,
创艺高级,8,3,
堡镇中学,6,6,
田家炳,2,2,
宝山华曜,2,2,
宝山世外,1,1,
同洲模范,8,2,
金瑞学校,5,3,
远东学校,2,2,
华旭双语,5,8,
华盛怀少,7,6,
民办丰华,1,1,
工商附中,2,2,
金苹果,1,1,
东鼎外语,1,1,
交大南洋,15,5,
民办永昌,1,1,
九峰实验,1,1,
西外外语,5,5,
青浦世外,5,1,
宏润博源,4,1,
美达菲,1,1,
博华高级,2,1,
尚德实验,2,0,
金山世外,1,0,
宋庆龄,1,0,
青浦协和,2,0,
民一中学,23,21,
