school_name,plan_2026,plan_2025,note
上海中学,2,2,
复旦附中,1,1,
交大附中,2,1,
久隆模范,0,1,
上戏附中,16,15,
上音安师,11,8,
城桥中学,3,3,
田家炳,10,10,
文来中学,8,8,
同济创意,5,5,
安生学校,8,8,
燎原双语,2,2,
行中中学,5,5,
存志高级,14,12,
维尚高级,8,8,
创艺高级,13,13,
宝山华曜,6,6,
同洲模范,10,6,
堡镇中学,8,8,
民办文绮,2,2,
励滕高级,2,2,
金瑞学校,7,6,
宝山世外,6,6,
华旭双语,5,5,
华盛怀少,10,10,
交大南洋,12,12,
民办永昌,3,5,
金山世外,5,5,
科德高级,5,7,
领科双语,8,8,
西外外语,8,8,
赫贤学校,6,8,
爱菊学校,5,5,
青浦世外,6,6,
宏润博源,6,6,
宋庆龄,1,1,
青浦协和,8,6,
美达菲,3,6,
博华高级,2,2,
民一中学,30,25,
新纪元,2,0,
