school_name,plan_2026,plan_2025,note
华二宝山,86,63,
行知中学,137,120,
上师宝山,66,45,
吴淞中学,119,110,
上大附中,137,120,
宝山世外,22,15,
罗店中学,544,464,
宝山中学,620,540,
通河中学,355,360,
顾村中学,616,540,
行知实验,355,360,
高境一中,352,360,
存志高级,84,84,
海滨中学,252,270,
淞浦中学,336,336,
宝山华曜,190,217,
民办维尚,9,14,
同洲模范,370,329,
创艺高级,104,68,
民办行中,222,172,
金瑞学校,43,47,
民办至德,72,0,新校
