school_id,school_name,school_district_id,school_district_name,target_district_id,target_district_name,cutoff_score_2024
88,上海市久隆模范中学,5,静安区,8,杨浦区,641.00
88,上海市久隆模范中学,5,静安区,9,闵行区,621.00
88,上海市久隆模范中学,5,静安区,10,宝山区,616.00
91,同济大学附属七一中学,5,静安区,2,黄浦区,626.50
91,同济大学附属七一中学,5,静安区,6,普陀区,653.50
91,同济大学附属七一中学,5,静安区,10,宝山区,640.00
91,同济大学附属七一中学,5,静安区,11,嘉定区,645.00
91,同济大学附属七一中学,5,静安区,12,浦东新区,639.00
91,同济大学附属七一中学,5,静安区,13,金山区,630.50
91,同济大学附属七一中学,5,静安区,16,奉贤区,631.00
92,上海大学市北附属中学,5,静安区,2,黄浦区,586.00
92,上海大学市北附属中学,5,静安区,6,普陀区,570.50
92,上海大学市北附属中学,5,静安区,10,宝山区,575.50
93,上海市民办扬波中学,5,静安区,3,徐汇区,617.50
94,上海市民办新和中学,5,静安区,6,普陀区,612.50
94,上海市民办新和中学,5,静安区,10,宝山区,605.00
95,上海市民办风范中学,5,静安区,6,普陀区,563.00
95,上海市民办风范中学,5,静安区,8,杨浦区,575.50
95,上海市民办风范中学,5,静安区,10,宝山区,581.00
103,上海音乐学院附属安师实验中学,6,普陀区,2,黄浦区,578.00
103,上海音乐学院附属安师实验中学,6,普陀区,4,长宁区,615.50
107,上海安生学校,6,普陀区,2,黄浦区,527.50
107,上海安生学校,6,普陀区,3,徐汇区,573.00
107,上海安生学校,6,普陀区,4,长宁区,546.50
107,上海安生学校,6,普陀区,5,静安区,533.50
107,上海安生学校,6,普陀区,8,杨浦区,525.50
107,上海安生学校,6,普陀区,9,闵行区,550.50
107,上海安生学校,6,普陀区,10,宝山区,531.00
107,上海安生学校,6,普陀区,11,嘉定区,518.00
107,上海安生学校,6,普陀区,12,浦东新区,521.00
107,上海安生学校,6,普陀区,13,金山区,572.00
107,上海安生学校,6,普陀区,14,松江区,604.50
107,上海安生学校,6,普陀区,15,青浦区,537.50
107,上海安生学校,6,普陀区,16,奉贤区,540.00
107,上海安生学校,6,普陀区,17,崇明区,623.00
144,上海市文来中学,9,闵行区,4,长宁区,638.50
144,上海市文来中学,9,闵行区,5,静安区,650.50
144,上海市文来中学,9,闵行区,12,浦东新区,652.00
144,上海市文来中学,9,闵行区,14,松江区,647.50
154,上海市民办文绮中学,9,闵行区,3,徐汇区,642.00
154,上海市民办文绮中学,9,闵行区,6,普陀区,659.50
154,上海市民办文绮中学,9,闵行区,14,松江区,662.00
154,上海市民办文绮中学,9,闵行区,16,奉贤区,634.50
157,上海市民办燎原双语高级中学,9,闵行区,2,黄浦区,565.00
157,上海市民办燎原双语高级中学,9,闵行区,3,徐汇区,608.50
157,上海市民办燎原双语高级中学,9,闵行区,4,长宁区,567.00
157,上海市民办燎原双语高级中学,9,闵行区,5,静安区,576.00
157,上海市民办燎原双语高级中学,9,闵行区,6,普陀区,562.50
157,上海市民办燎原双语高级中学,9,闵行区,8,杨浦区,560.50
157,上海市民办燎原双语高级中学,9,闵行区,10,宝山区,609.00
157,上海市民办燎原双语高级中学,9,闵行区,12,浦东新区,588.00
157,上海市民办燎原双语高级中学,9,闵行区,14,松江区,596.50
157,上海市民办燎原双语高级中学,9,闵行区,15,青浦区,570.50
161,上海闵行区诺达双语学校,9,闵行区,2,黄浦区,521.00
161,上海闵行区诺达双语学校,9,闵行区,3,徐汇区,570.00
161,上海闵行区诺达双语学校,9,闵行区,4,长宁区,634.50
161,上海闵行区诺达双语学校,9,闵行区,6,普陀区,566.50
175,上海民办行中中学,10,宝山区,3,徐汇区,572.50
175,上海民办行中中学,10,宝山区,6,普陀区,529.50
175,上海民办行中中学,10,宝山区,8,杨浦区,548.50
175,上海民办行中中学,10,宝山区,9,闵行区,518.00
175,上海民办行中中学,10,宝山区,12,浦东新区,526.00
175,上海民办行中中学,10,宝山区,13,金山区,533.50
175,上海民办行中中学,10,宝山区,14,松江区,531.00
175,上海民办行中中学,10,宝山区,15,青浦区,566.50
175,上海民办行中中学,10,宝山区,17,崇明区,518.00
176,上海存志高级中学,10,宝山区,2,黄浦区,636.50
