序号,学校招生代码,学校名称,所属区,办别,学校类型,寄宿情况,计划区域,计划数
1,042032,上海市上海中学,上海市,公办,市实验性示范性高中,全部寄宿,杨浦,8
2,102056,上海交通大学附属中学,上海市,公办,市实验性示范性高中,部分寄宿,杨浦,40
3,102057,复旦大学附属中学,上海市,公办,市实验性示范性高中,部分寄宿,杨浦,42
4,152003,华东师范大学第二附属中学,上海市,公办,市实验性示范性高中,部分寄宿,杨浦,9
5,012001,上海市格致中学,黄浦区,公办,市实验性示范性高中,部分寄宿,杨浦,10
6,012003,上海市大同中学,黄浦区,公办,市实验性示范性高中,部分寄宿,杨浦,5
7,012005,上海市向明中学,黄浦区,公办,市实验性示范性高中,无寄宿,杨浦,4
8,012007,上海外国语大学附属大境中学,黄浦区,公办,市实验性示范性高中,部分寄宿,杨浦,2
9,012008,上海市光明中学,黄浦区,公办,市实验性示范性高中,无寄宿,杨浦,2
10,012009,上海市敬业中学,黄浦区,公办,市实验性示范性高中,无寄宿,杨浦,2
11,042001,上海市第二中学,徐汇区,公办,市实验性示范性高中,无寄宿,杨浦,2
12,042008,上海市南洋模范中学,徐汇区,公办,市实验性示范性高中,部分寄宿,杨浦,2
13,042035,上海市位育中学,徐汇区,公办,市实验性示范性高中,全部寄宿,杨浦,2
14,043015,上海市南洋中学,徐汇区,公办,市实验性示范性高中,部分寄宿,杨浦,2
15,042036,复旦大学附属中学徐汇分校,徐汇区,公办,享受市实验性示范性高中招生政策高中,全部寄宿,杨浦,4
16,052001,上海市第三女子中学,长宁区,公办,市实验性示范性高中,部分寄宿,杨浦,3
17,052002,上海市延安中学,长宁区,公办,市实验性示范性高中,全部寄宿,杨浦,4
18,053004,上海市复旦中学,长宁区,公办,市实验性示范性高中,全部寄宿,杨浦,3
19,062001,上海市市西中学,静安区,公办,市实验性示范性高中,无寄宿,杨浦,8
20,062002,上海市育才中学,静安区,公办,市实验性示范性高中,全部寄宿,杨浦,2
21,062003,上海市新中高级中学,静安区,公办,市实验性示范性高中,部分寄宿,杨浦,4
22,062004,上海市市北中学,静安区,公办,市实验性示范性高中,无寄宿,杨浦,5
23,062011,上海市回民中学,静安区,公办,市实验性示范性高中,部分寄宿,杨浦,6
24,063004,上海市第六十中学,静安区,公办,市实验性示范性高中,无寄宿,杨浦,2
25,072001,上海市晋元高级中学,普陀区,公办,市实验性示范性高中,全部寄宿,杨浦,4
26,072002,上海市曹杨第二中学,普陀区,公办,市实验性示范性高中,部分寄宿,杨浦,2
27,073003,上海市宜川中学,普陀区,公办,市实验性示范性高中,无寄宿,杨浦,4
28,092001,上海市复兴高级中学,虹口区,公办,市实验性示范性高中,部分寄宿,杨浦,13
29,092002,华东师范大学第一附属中学,虹口区,公办,市实验性示范性高中,部分寄宿,杨浦,8
30,093001,上海财经大学附属北郊高级中学,虹口区,公办,市实验性示范性高中,无寄宿,杨浦,10
31,102004,上海市杨浦高级中学,杨浦区,公办,市实验性示范性高中,部分寄宿,杨浦,10
32,102032,上海市控江中学,杨浦区,公办,市实验性示范性高中,部分寄宿,杨浦,10
33,103002,同济大学第一附属中学,杨浦区,公办,市实验性示范性高中,部分寄宿,杨浦,8
34,122001,上海市七宝中学,闵行区,公办,市实验性示范性高中,部分寄宿,杨浦,3
35,123001,上海市闵行中学,闵行区,公办,市实验性示范性高中,部分寄宿,杨浦,2
36,122002,华东师范大学第二附属中学闵行紫竹分校,闵行区,公办,享受市实验性示范性高中招生政策高中,部分寄宿,杨浦,5
37,122003,上海师范大学附属中学闵行分校,闵行区,公办,享受市实验性示范性高中招生政策高中,部分寄宿,杨浦,2
38,122004,上海交通大学附属中学闵行分校,闵行区,公办,享受市实验性示范性高中招生政策高中,部分寄宿,杨浦,3
39,132001,上海市行知中学,宝山区,公办,市实验性示范性高中,部分寄宿,杨浦,8
40,132002,上海大学附属中学,宝山区,公办,市实验性示范性高中,部分寄宿,杨浦,9
41,133001,上海市吴淞中学,宝山区,公办,市实验性示范性高中,部分寄宿,杨浦,8
42,132003,上海师范大学附属中学宝山分校,宝山区,公办,享受市实验性示范性高中招生政策高中,全部寄宿,杨浦,2
43,133003,"华东师范大学第二附属中学（宝山校区）",宝山区,公办,享受市实验性示范性高中招生政策高中,全部寄宿,杨浦,4
44,142001,上海市嘉定区第一中学,嘉定区,公办,市实验性示范性高中,部分寄宿,杨浦,6
45,142002,上海交通大学附属中学嘉定分校,嘉定区,公办,享受市实验性示范性高中招生政策高中,部分寄宿,杨浦,9
46,152001,上海市建平中学,浦东新区,公办,市实验性示范性高中,部分寄宿,杨浦,12
47,152002,上海市进才中学,浦东新区,公办,市实验性示范性高中,全部寄宿,杨浦,7
48,152004,上海南汇中学,浦东新区,公办,市实验性示范性高中,部分寄宿,杨浦,4
49,153001,上海市洋泾中学,浦东新区,公办,市实验性示范性高中,部分寄宿,杨浦,9
50,153004,上海市高桥中学,浦东新区,公办,市实验性示范性高中,部分寄宿,杨浦,6
51,153005,上海市川沙中学,浦东新区,公办,市实验性示范性高中,部分寄宿,杨浦,8
52,151078,上海中学东校,浦东新区,公办,享受市实验性示范性高中招生政策高中,全部寄宿,杨浦,10
53,152005,上海市浦东复旦附中分校,浦东新区,公办,享受市实验性示范性高中招生政策高中,全部寄宿,杨浦,8
54,162000,上海市金山中学,金山区,公办,市实验性示范性高中,全部寄宿,杨浦,1
55,163002,华东师范大学第三附属中学,金山区,公办,市实验性示范性高中,全部寄宿,杨浦,4
56,172001,上海市松江二中,松江区,公办,市实验性示范性高中,全部寄宿,杨浦,3
57,173001,上海市松江一中,松江区,公办,市实验性示范性高中,部分寄宿,杨浦,4
58,172002,华东师范大学第二附属中学松江分校,松江区,公办,享受市实验性示范性高中招生政策高中,部分寄宿,杨浦,3
59,174003,上海外国语大学附属外国语学校松江云间中学,松江区,公办,享受市实验性示范性高中招生政策高中,部分寄宿,杨浦,2
60,182001,上海市青浦高级中学,青浦区,公办,市实验性示范性高中,部分寄宿,杨浦,5
61,183002,上海市朱家角中学,青浦区,公办,市实验性示范性高中,部分寄宿,杨浦,5
62,182002,复旦大学附属中学青浦分校,青浦区,公办,享受市实验性示范性高中招生政策高中,全部寄宿,杨浦,3
63,202001,上海市奉贤中学,奉贤区,公办,市实验性示范性高中,全部寄宿,杨浦,2
64,512000,上海市崇明中学,崇明区,公办,市实验性示范性高中,全部寄宿,杨浦,2
65,512001,上海市实验学校东滩高级中学,崇明区,公办,享受市实验性示范性高中招生政策高中,全部寄宿,杨浦,3
