序号,"学校招生代码",学校名称,所属区,办别,学校类型,寄宿情况,计划区域,计划数
1,042032,上海市上海中学,上海市,公办,市实验性示范性高中,全部寄宿,静安,8
2,102056,上海交通大学附属中学,上海市,公办,市实验性示范性高中,部分寄宿,静安,26
3,102057,复旦大学附属中学,上海市,公办,市实验性示范性高中,部分寄宿,静安,22
4,152003,华东师范大学第二附属中学,上海市,公办,市实验性示范性高中,部分寄宿,静安,16
5,012001,上海市格致中学,黄浦区,公办,市实验性示范性高中,部分寄宿,静安,23
6,012003,上海市大同中学,黄浦区,公办,市实验性示范性高中,部分寄宿,静安,5
7,012005,上海市向明中学,黄浦区,公办,市实验性示范性高中,无寄宿,静安,4
8,012007,上海外国语大学附属大境中学,黄浦区,公办,市实验性示范性高中,部分寄宿,静安,4
9,012008,上海市光明中学,黄浦区,公办,市实验性示范性高中,无寄宿,静安,2
10,012009,上海市敬业中学,黄浦区,公办,市实验性示范性高中,无寄宿,静安,2
11,042001,上海市第二中学,徐汇区,公办,市实验性示范性高中,无寄宿,静安,3
12,042008,上海市南洋模范中学,徐汇区,公办,市实验性示范性高中,部分寄宿,静安,10
13,042035,上海市位育中学,徐汇区,公办,市实验性示范性高中,全部寄宿,静安,2
14,043015,上海市南洋中学,徐汇区,公办,市实验性示范性高中,部分寄宿,静安,2
15,042036,复旦大学附属中学徐汇分校,徐汇区,公办,享受市实验性示范性高中招生政策高中,全部寄宿,静安,4
16,052001,上海市第三女子中学,长宁区,公办,市实验性示范性高中,部分寄宿,静安,4
17,052002,上海市延安中学,长宁区,公办,市实验性示范性高中,全部寄宿,静安,6
18,053004,上海市复旦中学,长宁区,公办,市实验性示范性高中,全部寄宿,静安,5
19,062001,上海市市西中学,静安区,公办,市实验性示范性高中,无寄宿,静安,7
20,062002,上海市育才中学,静安区,公办,市实验性示范性高中,全部寄宿,静安,7
21,062003,上海市新中高级中学,静安区,公办,市实验性示范性高中,部分寄宿,静安,7
22,062004,上海市市北中学,静安区,公办,市实验性示范性高中,无寄宿,静安,7
23,062011,上海市回民中学,静安区,公办,市实验性示范性高中,部分寄宿,静安,3
24,063004,上海市第六十中学,静安区,公办,市实验性示范性高中,无寄宿,静安,5
25,064001,上海市华东模范中学,静安区,公办,市实验性示范性高中,无寄宿,静安,4
26,072001,上海市晋元高级中学,普陀区,公办,市实验性示范性高中,全部寄宿,静安,4
27,072002,上海市曹杨第二中学,普陀区,公办,市实验性示范性高中,部分寄宿,静安,12
28,073003,上海市宜川中学,普陀区,公办,市实验性示范性高中,无寄宿,静安,6
29,073082,华东师范大学第二附属中学（普陀校区）,普陀区,公办,享受市实验性示范性高中招生政策高中,部分寄宿,静安,5
30,092001,上海市复兴高级中学,虹口区,公办,市实验性示范性高中,部分寄宿,静安,11
31,092002,华东师范大学第一附属中学,虹口区,公办,市实验性示范性高中,部分寄宿,静安,4
32,093001,上海财经大学附属北郊高级中学,虹口区,公办,市实验性示范性高中,无寄宿,静安,3
33,102004,上海市杨浦高级中学,杨浦区,公办,市实验性示范性高中,部分寄宿,静安,3
34,102032,上海市控江中学,杨浦区,公办,市实验性示范性高中,部分寄宿,静安,8
35,103002,同济大学第一附属中学,杨浦区,公办,市实验性示范性高中,部分寄宿,静安,2
36,122001,上海市七宝中学,闵行区,公办,市实验性示范性高中,部分寄宿,静安,4
37,123001,上海市闵行中学,闵行区,公办,市实验性示范性高中,部分寄宿,静安,5
38,122002,华东师范大学第二附属中学闵行紫竹分校,闵行区,公办,享受市实验性示范性高中招生政策高中,部分寄宿,静安,5
39,122003,上海师范大学附属中学闵行分校,闵行区,公办,享受市实验性示范性高中招生政策高中,部分寄宿,静安,2
40,122004,上海交通大学附属中学闵行分校,闵行区,公办,享受市实验性示范性高中招生政策高中,部分寄宿,静安,6
41,132001,上海市行知中学,宝山区,公办,市实验性示范性高中,部分寄宿,静安,5
42,132002,上海大学附属中学,宝山区,公办,市实验性示范性高中,部分寄宿,静安,4
43,133001,上海市吴淞中学,宝山区,公办,市实验性示范性高中,部分寄宿,静安,5
44,132003,上海师范大学附属中学宝山分校,宝山区,公办,享受市实验性示范性高中招生政策高中,全部寄宿,静安,3
45,133003,华东师范大学第二附属中学（宝山校区）,宝山区,公办,享受市实验性示范性高中招生政策高中,全部寄宿,静安,5
46,142001,上海市嘉定区第一中学,嘉定区,公办,市实验性示范性高中,部分寄宿,静安,6
47,142002,上海交通大学附属中学嘉定分校,嘉定区,公办,享受市实验性示范性高中招生政策高中,部分寄宿,静安,8
48,152001,上海市建平中学,浦东新区,公办,市实验性示范性高中,部分寄宿,静安,8
49,152002,上海市进才中学,浦东新区,公办,市实验性示范性高中,全部寄宿,静安,7
50,152004,上海南汇中学,浦东新区,公办,市实验性示范性高中,部分寄宿,静安,8
51,153001,上海市洋泾中学,浦东新区,公办,市实验性示范性高中,部分寄宿,静安,9
52,153004,上海市高桥中学,浦东新区,公办,市实验性示范性高中,部分寄宿,静安,6
53,153005,上海市川沙中学,浦东新区,公办,市实验性示范性高中,部分寄宿,静安,9
54,151078,上海中学东校,浦东新区,公办,享受市实验性示范性高中招生政策高中,全部寄宿,静安,6
55,152005,上海市浦东复旦附中分校,浦东新区,公办,享受市实验性示范性高中招生政策高中,全部寄宿,静安,8
56,162000,上海市金山中学,金山区,公办,市实验性示范性高中,全部寄宿,静安,2
57,163002,华东师范大学第三附属中学,金山区,公办,市实验性示范性高中,全部寄宿,静安,4
58,172001,上海市松江二中,松江区,公办,市实验性示范性高中,全部寄宿,静安,2
59,173001,上海市松江一中,松江区,公办,市实验性示范性高中,部分寄宿,静安,2
60,174003,上海外国语大学附属外国语学校松江云间中学,松江区,公办,享受市实验性示范性高中招生政策高中,部分寄宿,静安,3
61,182001,上海市青浦高级中学,青浦区,公办,市实验性示范性高中,部分寄宿,静安,4
62,183002,上海市朱家角中学,青浦区,公办,市实验性示范性高中,部分寄宿,静安,5
63,182002,复旦大学附属中学青浦分校,青浦区,公办,享受市实验性示范性高中招生政策高中,全部寄宿,静安,4
64,202001,上海市奉贤中学,奉贤区,公办,市实验性示范性高中,全部寄宿,静安,2
65,202002,华东师范大学第二附属中学临港奉贤分校,奉贤区,公办,享受市实验性示范性高中招生政策高中,全部寄宿,静安,6
66,512000,上海市崇明中学,崇明区,公办,市实验性示范性高中,全部寄宿,静安,2
67,512001,上海市实验学校东滩高级中学,崇明区,公办,享受市实验性示范性高中招生政策高中,全部寄宿,静安,2
