2026 年上海中考 名额分配到区 招生录取最低分数线（按接收区）,,,,,,,,,
,,,,,,,,,
接收区,招生学校,隶属区,办学性质,录取最低分,语数外,数学,语文,综合测试,是否同分优待
杨浦区,上海市育才中学,,,736.5,400.5,140,119,145,否
杨浦区,上海市新中高级中学,,,726,392,133,118,144,否
杨浦区,上海市回民中学,,,687,368,104,128,133,否
杨浦区,上海市第六十中学,,,714.5,391.5,126,126,131,否
杨浦区,上海市曹杨第二中学,,,756,415.5,141,130,142,否
杨浦区,上海市宜川中学,,,715,386,129,122,137,否
杨浦区,复旦大学附属复兴中学,,,754.5,409.5,131,131,148,否
杨浦区,华东师范大学第一附属中学,,,743,410.5,142,133,140,否
杨浦区,上海财经大学附属北郊高级中学,,,733,400.5,121,131,138,否
杨浦区,上海市杨浦高级中学,,,740.5,406,125,138,141,否
杨浦区,上海市控江中学,,,758,415,137,130,146,否
杨浦区,上海交通大学附属中学,,,765,,,,,是
杨浦区,复旦大学附属中学,,,765,421,144,135,146,否
杨浦区,同济大学第一附属中学,,,737.5,404.5,131,129,141,否
杨浦区,上海市七宝中学,,,762.5,416.5,138,130,148,否
杨浦区,华东师范大学第二附属中学闵行紫竹分校,,,753,408,130,133,149,否
杨浦区,上海师范大学附属中学闵行分校,,,739.5,397.5,127,132,144,否
杨浦区,上海交通大学附属中学闵行分校,,,765,428,147,136,144,否
杨浦区,上海市闵行中学,,,744.5,406,140,125,145,否
杨浦区,上海市行知中学,,,744,406,137,125,146,否
杨浦区,上海大学附属中学,,,732,403,132,127,134,否
杨浦区,上海师范大学附属中学宝山分校,,,735.5,397.5,125,134,142,否
杨浦区,上海市吴淞中学,,,733.5,396.5,122,131,142,否
杨浦区,华东师范大学第二附属中学,,,763,427,141,139,140,否
杨浦区,上海市嘉定区第一中学,,,734.5,397.5,138,118,139,否
杨浦区,上海交通大学附属中学嘉定分校,,,765,421,144,131,149,否
杨浦区,上海师范大学附属中学嘉定新城分校,,,708.5,394.5,133,121,124,否
杨浦区,上海市建平中学,,,757,418,140,129,145,否
杨浦区,上海市进才中学,,,753.5,416.5,139,132,140,否
杨浦区,华东师范大学第二附属中学,,,766,422.5,146,134,146,否
杨浦区,上海市浦东复旦附中分校,,,758.5,415.5,148,122,147,否
杨浦区,上海市洋泾中学,,,729,395,121,132,141,否
杨浦区,上海市高桥中学,,,723.5,391,118,127,137,否
杨浦区,上海市川沙中学,,,729,398,127,126,136,否
杨浦区,上海市金山中学,,,706,382.5,128,117,138,否
杨浦区,华东师范大学第三附属中学,,,718.5,387,123,122,141,否
杨浦区,上海市松江二中,,,735,396.5,133,119,147,否
杨浦区,华东师范大学第二附属中学松江分校,,,736,404,141,118,143,否
杨浦区,上海市松江一中,,,717,384.5,120,127,139,否
杨浦区,上海外国语大学附属外国语学校松江云间中学,,,741,398,125,131,145,否
杨浦区,上海市青浦高级中学,,,707,398,137,119,122,否
杨浦区,复旦大学附属中学青浦分校,,,755,405,134,126,144,否
杨浦区,上海市朱家角中学,,,711,388,121,121,128,否
杨浦区,上海市奉贤中学,,,756,412,134,130,147,否
杨浦区,华东师范大学第二附属中学临港奉贤分校,,,746.5,410,133,130,142,否
杨浦区,上海市崇明中学,,,716.5,389.5,115,134,132,否
杨浦区,上海市实验学校东滩高级中学,,,733,396,128,127,143,否
松江区,上海市格致中学,,,744,408,139,123,142,否
松江区,上海市大同中学,,,749,402.5,128,130,148,否
松江区,上海外国语大学附属大境中学,,,714,397.5,121,131,127,否
松江区,上海市光明中学,,,721,389.5,128,121,137,否
松江区,上海市敬业中学,,,684.5,362.5,109,120,131,否
松江区,上海市卢湾高级中学,,,726,396,134,117,136,否
松江区,同济大学科技中学,,,759,415,137,132,149,否
松江区,上海市第二中学,,,678,365.5,109,119,125,否
松江区,上海市南洋模范中学,,,765,420,144,133,147,否
松江区,上海市上海中学,,,768,427,148,132,145,否
松江区,上海市位育中学,,,753,416,138,135,139,否
松江区,复旦大学附属中学徐汇分校,,,757.5,413.5,133,132,147,否
松江区,上海市南洋中学,,,732,393,119,130,143,否
松江区,上海市第三女子中学,,,718.5,394,128,126,131,否
松江区,上海市延安中学,,,753.5,411.5,138,134,146,否
松江区,上海市育才中学,,,735,402,133,128,138,否
松江区,上海市回民中学,,,706.5,383,112,128,129,否
松江区,上海市晋元高级中学,,,747,408,145,117,144,否
松江区,华东师范大学第一附属中学,,,720.5,387,125,123,129,否
松江区,上海市杨浦高级中学,,,741,408.5,146,121,140,否
松江区,上海市控江中学,,,757.5,417.5,136,133,143,否
松江区,上海交通大学附属中学,,,769,427.5,142,139,146,否
松江区,复旦大学附属中学,,,768,422.5,145,134,147,否
松江区,上海市七宝中学,,,765,424,146,134,145,否
松江区,华东师范大学第二附属中学闵行紫竹分校,,,759,420,140,132,142,否
松江区,上海师范大学附属中学闵行分校,,,743.5,406,136,132,144,否
松江区,上海交通大学附属中学闵行分校,,,757.5,414.5,140,130,146,否
松江区,上海市闵行中学,,,735.5,402.5,131,130,139,否
松江区,上海大学附属中学,,,736,407,134,128,134,否
松江区,上海市吴淞中学,,,733,396,130,134,140,否
松江区,华东师范大学第二附属中学,,,752.5,418.5,142,133,136,否
松江区,上海市嘉定区第一中学,,,737,398,142,119,141,否
松江区,上海交通大学附属中学嘉定分校,,,765,425,141,138,143,否
松江区,上海师范大学附属中学嘉定新城分校,,,730.5,395.5,134,127,144,否
松江区,上海中学东校,,,750.5,410.5,144,125,143,否
松江区,上海市建平中学,,,758.5,420.5,138,136,142,否
松江区,上海市进才中学,,,749.5,413.5,130,137,139,否
松江区,华东师范大学第二附属中学,,,762.5,419.5,140,134,147,否
松江区,上海南汇中学,,,697,371,115,119,134,否
松江区,上海师范大学附属中学,,,749,412,131,135,139,否
松江区,上海市洋泾中学,,,730.5,396.5,122,130,137,否
松江区,上海市高桥中学,,,721.5,388.5,125,125,137,否
松江区,上海市川沙中学,,,735.5,403,135,130,145,否
松江区,华东师范大学第三附属中学,,,716.5,381,111,125,143,否
松江区,上海市松江二中,,,764,422,146,133,145,否
松江区,华东师范大学第二附属中学松江分校,,,766.5,431,146,140,140,否
松江区,上海市松江一中,,,737.5,402.5,134,127,140,否
松江区,上海外国语大学附属外国语学校松江云间中学,,,751.5,414.5,149,126,145,否
松江区,上海市青浦高级中学,,,733,401,133,132,138,否
松江区,复旦大学附属中学青浦分校,,,760,417,140,134,146,否
松江区,上海市朱家角中学,,,720.5,390.5,119,131,136,否
松江区,上海市奉贤中学,,,744.5,404.5,134,127,145,否
松江区,上海市崇明中学,,,719,386,123,128,138,否
虹口区,上海市格致中学,,,743.5,409.5,140,125,137,否
虹口区,上海市大同中学,,,747,412,139,129,138,否
虹口区,上海外国语大学附属大境中学,,,726.5,398.5,129,125,134,否
虹口区,上海市光明中学,,,713.5,379.5,124,124,137,否
虹口区,上海市敬业中学,,,724.5,405.5,141,123,126,否
虹口区,同济大学科技中学,,,751.5,414,142,127,142,否
虹口区,上海市第二中学,,,719,390,127,122,136,否
虹口区,上海市南洋模范中学,,,761,420.5,140,131,143,否
虹口区,上海市上海中学,,,768.5,424.5,147,132,148,否
虹口区,上海市位育中学,,,746.5,407.5,131,131,143,否
虹口区,上海市南洋中学,,,711,389.5,132,117,129,否
虹口区,上海市第三女子中学,,,711,380.5,130,120,136,否
虹口区,上海市延安中学,,,751.5,414.5,138,130,142,否
虹口区,上海市复旦中学,,,734,400,122,131,139,否
虹口区,上海市育才中学,,,714,390.5,139,118,139,否
虹口区,上海市市北中学,,,732.5,408.5,149,123,133,否
虹口区,上海市回民中学,,,672,357.5,83,136,124,否
虹口区,上海市第六十中学,,,706,391,115,132,127,否
虹口区,上海市曹杨第二中学,,,748.5,404.5,125,134,148,否
虹口区,上海市宜川中学,,,718.5,397.5,123,129,131,否
虹口区,华东师范大学第二附属中学,,,748,415,140,131,142,否
虹口区,复旦大学附属复兴中学,,,752.5,412.5,137,130,143,否
虹口区,华东师范大学第一附属中学,,,742,407,137,128,141,否
虹口区,上海财经大学附属北郊高级中学,,,728,395,119,132,138,否
虹口区,上海市杨浦高级中学,,,735.5,404.5,142,123,137,否
虹口区,上海市控江中学,,,749.5,414.5,139,128,138,否
虹口区,上海交通大学附属中学,,,766.5,422,142,134,148,否
虹口区,复旦大学附属中学,,,766,423.5,150,128,146,否
虹口区,同济大学第一附属中学,,,725,398,132,124,138,否
虹口区,上海市七宝中学,,,750,417,146,127,137,否
虹口区,华东师范大学第二附属中学闵行紫竹分校,,,748.5,413,141,127,141,否
虹口区,上海师范大学附属中学闵行分校,,,736.5,395.5,127,128,143,否
虹口区,上海市闵行中学,,,705.5,390.5,126,124,124,否
虹口区,上海市行知中学,,,737,406.5,138,125,140,否
虹口区,上海大学附属中学,,,717.5,389.5,128,123,137,否
虹口区,上海师范大学附属中学宝山分校,,,729.5,389.5,128,126,144,否
虹口区,上海市吴淞中学,,,715,396.5,137,122,126,否
虹口区,华东师范大学第二附属中学,,,753.5,421.5,142,136,144,否
虹口区,上海市嘉定区第一中学,,,723.5,388.5,120,124,138,否
虹口区,上海交通大学附属中学嘉定分校,,,762,422,146,131,146,否
虹口区,上海师范大学附属中学嘉定新城分校,,,728.5,400.5,127,127,132,否
虹口区,上海中学东校,,,748,416,135,134,137,否
虹口区,上海市建平中学,,,752,412,137,127,146,否
虹口区,华东师范大学第二附属中学,,,761.5,418.5,146,130,146,否
虹口区,上海南汇中学,,,703,389.5,130,122,127,否
虹口区,上海市浦东复旦附中分校,,,755,416,129,139,143,否
虹口区,上海市高桥中学,,,717,391,126,132,137,否
虹口区,上海市川沙中学,,,718,382,124,119,142,否
虹口区,上海市金山中学,,,726,397,123,130,136,否
虹口区,华东师范大学第三附属中学,,,679,353,110,106,132,否
虹口区,上海市松江二中,,,743,410.5,131,133,135,否
虹口区,上海市松江一中,,,699,379,114,128,129,否
虹口区,上海外国语大学附属外国语学校松江云间中学,,,733,392,112,132,144,否
虹口区,上海市青浦高级中学,,,723,391,124,128,134,否
虹口区,复旦大学附属中学青浦分校,,,743,411,138,132,138,否
虹口区,上海市朱家角中学,,,697.5,373.5,119,124,114,否
虹口区,上海市奉贤中学,,,753,417,144,128,142,否
虹口区,华东师范大学第二附属中学临港奉贤分校,,,750.5,409.5,141,126,145,否
虹口区,上海市崇明中学,,,704.5,398,131,125,122,否
虹口区,上海市实验学校东滩高级中学,,,719,388,113,130,135,否
金山区,上海市格致中学,,,742.5,403.5,142,121,144,否
金山区,同济大学科技中学,,,767.5,425.5,146,135,144,否
金山区,上海市第二中学,,,696,371.5,126,121,135,否
金山区,上海市南洋模范中学,,,753.5,418.5,146,129,139,否
金山区,上海市上海中学,,,768,423,148,128,147,否
金山区,上海市位育中学,,,746,415,141,131,138,否
金山区,上海市南洋中学,,,725.5,385.5,120,124,144,否
金山区,上海市延安中学,,,757,421,141,136,139,否
金山区,上海市育才中学,,,732,396,125,125,139,否
金山区,华东师范大学第一附属中学,,,674,364,104,126,122,否
金山区,上海市杨浦高级中学,,,730,392,128,121,141,否
金山区,上海交通大学附属中学,,,773,430,146,139,146,否
金山区,复旦大学附属中学,,,769,428.5,146,139,144,否
金山区,上海市七宝中学,,,759,417.5,145,129,146,否
金山区,上海师范大学附属中学闵行分校,,,744.5,411.5,142,127,141,否
金山区,上海大学附属中学,,,744.5,411.5,136,136,139,否
金山区,上海市吴淞中学,,,706,381,113,125,134,否
金山区,上海交通大学附属中学嘉定分校,,,765,422,146,133,147,否
金山区,上海中学东校,,,749,410,132,131,144,否
金山区,上海市建平中学,,,749.5,408.5,138,126,146,否
金山区,上海市进才中学,,,747.5,414.5,136,132,139,否
金山区,华东师范大学第二附属中学,,,761,421,143,132,144,否
金山区,上海南汇中学,,,722,399,125,130,131,否
金山区,上海师范大学附属中学,,,745,413,134,131,142,否
金山区,上海市洋泾中学,,,717,386.5,115,127,140,否
金山区,上海市高桥中学,,,711.5,386.5,129,116,134,否
金山区,上海市川沙中学,,,711.5,389.5,111,135,126,否
金山区,上海市金山中学,,,753,417,138,133,145,否
金山区,华东师范大学第三附属中学,,,728,398,135,122,136,否
金山区,上海市松江二中,,,750,407.5,140,125,148,否
金山区,上海师范大学附属中学松江分校,,,733.5,397.5,130,123,145,否
金山区,上海市松江一中,,,719.5,397.5,127,129,131,否
金山区,上海外国语大学附属外国语学校松江云间中学,,,748,405,128,137,146,否
金山区,上海市青浦高级中学,,,719.5,388.5,116,127,136,否
金山区,复旦大学附属中学青浦分校,,,757,420,149,129,141,否
金山区,上海市朱家角中学,,,710,384,127,120,135,否
金山区,上海市奉贤中学,,,750.5,415.5,146,127,143,否
金山区,华东师范大学第二附属中学临港奉贤分校,,,746.5,404.5,132,133,147,否
长宁区,上海市格致中学,,,750.5,415.5,141,130,140,否
长宁区,上海市向明中学,,,729.5,400.5,137,128,138,否
长宁区,上海外国语大学附属大境中学,,,719,388.5,123,122,136,否
长宁区,上海市光明中学,,,704.5,394.5,127,128,120,否
长宁区,同济大学科技中学,,,761.5,414.5,146,125,149,否
长宁区,上海市第二中学,,,730.5,400.5,131,127,139,否
长宁区,上海市南洋模范中学,,,761.5,417.5,146,128,147,否
长宁区,上海市上海中学,,,767.5,420.5,149,127,146,否
长宁区,上海市位育中学,,,753,414,127,140,140,否
长宁区,上海市南洋中学,,,728.5,390.5,128,121,142,否
长宁区,上海市第三女子中学,,,723,396.5,123,130,131.5,否
长宁区,上海市延安中学,,,755,415,137,133,144,否
长宁区,上海市复旦中学,,,731,392,141,116,142,否
长宁区,上海市市西中学,,,747.5,409.5,141,127,143,否
长宁区,上海市育才中学,,,746,411,137,137,139,否
长宁区,上海市新中高级中学,,,714,381,113,126,136,否
长宁区,上海市市北中学,,,730,401,135,131,142,否
长宁区,上海市回民中学,,,696.5,370,114,116,132,否
长宁区,上海市第六十中学,,,666,363,99,125,113,否
长宁区,上海市华东模范中学,,,705,376.5,111,123,139,否
长宁区,上海市晋元高级中学,,,741,408.5,132,131,140,否
长宁区,上海市曹杨第二中学,,,756.5,419.5,137,134,139,否
长宁区,上海市宜川中学,,,713.5,386.5,121,122,131,否
长宁区,华东师范大学第二附属中学,,,762.5,425.5,150,128,141,否
长宁区,复旦大学附属复兴中学,,,751,413,144,123,141,否
长宁区,华东师范大学第一附属中学,,,706.5,379,108,125,134,否
长宁区,上海市杨浦高级中学,,,748.5,408.5,136,128,145,否
长宁区,上海交通大学附属中学,,,762.5,419.5,144,131,147,否
长宁区,复旦大学附属中学,,,767,423,142,135,148,否
长宁区,上海市七宝中学,,,747.5,408.5,145,124,144,否
长宁区,华东师范大学第二附属中学闵行紫竹分校,,,753.5,419.5,140,133,138,否
长宁区,上海师范大学附属中学闵行分校,,,732.5,400.5,128,126,137,否
长宁区,上海交通大学附属中学闵行分校,,,766,421,144,132,149,否
长宁区,上海市闵行中学,,,722.5,402.5,128,130,126,否
长宁区,上海市行知中学,,,733.5,394.5,138,117,148,否
长宁区,上海大学附属中学,,,722,390.5,133,127,140,否
长宁区,上海师范大学附属中学宝山分校,,,726.5,394.5,125,127,137,否
长宁区,华东师范大学第二附属中学,,,757.5,415,146,123,146,否
长宁区,上海市嘉定区第一中学,,,736,405,138,125,134,否
长宁区,上海交通大学附属中学嘉定分校,,,762,420,143,130,145,否
长宁区,上海师范大学附属中学嘉定新城分校,,,729.5,399.5,126,129,135,否
长宁区,上海中学东校,,,755,418.5,146,129,145,否
长宁区,上海市建平中学,,,756.5,413,141,131,148,否
长宁区,上海市进才中学,,,735.5,407.5,147,125,134,否
长宁区,华东师范大学第二附属中学,,,762,421,148,126,145,否
长宁区,上海南汇中学,,,715,393,128,122,134,否
长宁区,上海师范大学附属中学,,,743.5,408.5,133,129,138,否
长宁区,上海市洋泾中学,,,738.5,400,124,128,141,否
长宁区,上海市高桥中学,,,721.5,393.5,128,122,134,否
长宁区,上海市川沙中学,,,729.5,396.5,123,133,140,否
长宁区,上海市金山中学,,,730,393,120,127,134,否
长宁区,华东师范大学第三附属中学,,,695,373.5,111,123,128,否
长宁区,上海市松江二中,,,745,409.5,145,122,147,否
长宁区,上海市松江一中,,,705.5,379.5,120,125,130,否
长宁区,上海外国语大学附属外国语学校松江云间中学,,,735,407,134,126,133,否
长宁区,上海市青浦高级中学,,,732.5,411.5,124,142,130,否
长宁区,复旦大学附属中学青浦分校,,,756,417,142,131,143,否
长宁区,上海市朱家角中学,,,704,390,131,125,125,否
长宁区,上海市奉贤中学,,,749.5,408.5,138,124,148,否
长宁区,华东师范大学第二附属中学临港奉贤分校,,,742,406,139,123,140,否
长宁区,上海市崇明中学,,,682.5,369,94,130,118,否
闵行区,上海市格致中学,,,747.5,404,123,138,146,否
闵行区,上海市大同中学,,,749.5,416,134,135,142,否
闵行区,上海市向明中学,,,741.5,403.5,131,134,149,否
闵行区,上海外国语大学附属大境中学,,,722.5,400.5,128,129,138,否
闵行区,上海市光明中学,,,706,383,118,124,138,否
闵行区,上海市敬业中学,,,724,401.5,142,122,130,否
闵行区,上海市卢湾高级中学,,,719,389,118,127,136,否
闵行区,同济大学科技中学,,,766.5,422.5,147,130,148,否
闵行区,上海市第二中学,,,741.5,406.5,141,125,145,否
闵行区,上海市南洋模范中学,,,761,424,145,131,139,否
闵行区,上海市上海中学,,,771,427,146,136,147,否
闵行区,上海市位育中学,,,753,415,144,129,143,否
闵行区,复旦大学附属中学徐汇分校,,,759.5,417.5,141,129,143,否
闵行区,上海市南洋中学,,,728.5,406.5,136,127,132,否
闵行区,上海市第三女子中学,,,734.5,395.5,120,135,142,否
闵行区,上海市复旦中学,,,724.5,393.5,129,128,140,否
闵行区,上海市市西中学,,,742,408,140,125,143,否
闵行区,上海市育才中学,,,738,407,127,133,136,否
闵行区,上海市市北中学,,,732.5,394.5,128,121,142,否
闵行区,上海市回民中学,,,698,381,105,129,125,否
闵行区,上海市第六十中学,,,718.5,386.5,123,118,135,否
闵行区,上海市华东模范中学,,,713.5,386.5,119,123,138,否
闵行区,上海市曹杨第二中学,,,753,415,140,134,142,否
闵行区,上海市宜川中学,,,726.5,394,124,124,141,否
闵行区,华东师范大学第二附属中学,,,763,423,146,133,146,否
闵行区,华东师范大学第一附属中学,,,737,402,134,123,142,否
闵行区,上海财经大学附属北郊高级中学,,,722.5,398.5,123,130,127,否
闵行区,上海市杨浦高级中学,,,728,404,141,125,129,否
闵行区,上海市控江中学,,,748,411,146,126,144,否
闵行区,上海交通大学附属中学,,,769.5,423.5,146,131,149,否
闵行区,复旦大学附属中学,,,766,424,146,131,147,否
闵行区,同济大学第一附属中学,,,727.5,389.5,133,122,144,否
闵行区,上海市七宝中学,,,768.5,426.5,146,133,142,否
闵行区,华东师范大学第二附属中学闵行紫竹分校,,,762,422,141,134,145,否
闵行区,上海师范大学附属中学闵行分校,,,748.5,412.5,135,131,138,否
闵行区,上海交通大学附属中学闵行分校,,,770,427,143,138,146,否
闵行区,上海市闵行中学,,,745.5,409.5,135,133,142,否
闵行区,上海市行知中学,,,738,400,127,127,144,否
闵行区,上海大学附属中学,,,728,403,129,133,129,否
闵行区,上海师范大学附属中学宝山分校,,,744.5,415.5,135,137,136,否
闵行区,上海市吴淞中学,,,735,403,136,123,139,否
闵行区,华东师范大学第二附属中学,,,763,422,146,129,145,否
闵行区,上海市嘉定区第一中学,,,720,389,133,116,140,否
闵行区,上海师范大学附属中学嘉定新城分校,,,741.5,405.5,134,125,141,否
闵行区,上海中学东校,,,751,416,140,129,138,否
闵行区,上海市建平中学,,,752.5,411.5,144,124,147,否
闵行区,华东师范大学第二附属中学,,,764,420,142,133,146,否
闵行区,上海南汇中学,,,726.5,397.5,122,131,139,否
闵行区,上海市浦东复旦附中分校,,,761.5,418.5,146,130,147,否
闵行区,上海师范大学附属中学,,,748,410,140,132,141,否
闵行区,上海市洋泾中学,,,721.5,397.5,131,122,133,否
闵行区,上海市高桥中学,,,703,381,119,123,128,否
闵行区,上海市川沙中学,,,740,413,142,131,133,否
闵行区,上海市金山中学,,,739,402.5,131,128,145,否
闵行区,华东师范大学第三附属中学,,,722.5,392.5,119,131,136,否
闵行区,上海市松江二中,,,752,420,146,130,136,否
闵行区,华东师范大学第二附属中学松江分校,,,758,420,143,130,144,否
闵行区,上海师范大学附属中学松江分校,,,732.5,399.5,133,127,138,否
闵行区,上海市松江一中,,,726.5,395.5,130,128,140,否
闵行区,上海外国语大学附属外国语学校松江云间中学,,,741.5,402.5,125,134,142,否
闵行区,上海市青浦高级中学,,,735,400,130,131,141,否
闵行区,复旦大学附属中学青浦分校,,,761,422,140,136,143,否
闵行区,上海市朱家角中学,,,715.5,383.5,119,124,143,否
闵行区,上海市奉贤中学,,,753.5,409.5,136,130,148,否
闵行区,华东师范大学第二附属中学临港奉贤分校,,,740.5,403.5,137,126,142,否
闵行区,上海市崇明中学,,,718,384,113,128,140,否
青浦区,上海市大同中学,,,739.5,411.5,135,130,135,否
青浦区,同济大学科技中学,,,751.5,409.5,137,124,145,否
青浦区,上海市第二中学,,,708,389,121,126,130,否
青浦区,上海市南洋模范中学,,,753,413,144,130,145,否
青浦区,上海市上海中学,,,766,424,142,136,144,否
青浦区,上海市位育中学,,,744.5,411.5,144,124,141,否
青浦区,上海市南洋中学,,,718.5,391.5,134,125,137,否
青浦区,上海市第三女子中学,,,726,395,124,130,135,否
青浦区,上海市延安中学,,,748.5,417.5,135,137,138,否
青浦区,上海市育才中学,,,732.5,401.5,132,125,134,否
青浦区,上海市新中高级中学,,,709.5,396.5,129,123,123,否
青浦区,上海市回民中学,,,710.5,380.5,122,124,135,否
青浦区,华东师范大学第一附属中学,,,738.5,413.5,135,132,133,否
青浦区,上海市杨浦高级中学,,,728.5,399.5,132,128,134,否
青浦区,上海市控江中学,,,753,415,132,135,141,否
青浦区,复旦大学附属中学,,,769,426,144,135,146,否
青浦区,上海市七宝中学,,,753.5,415.5,142,129,142,否
青浦区,华东师范大学第二附属中学闵行紫竹分校,,,752,414,134,132,140,否
青浦区,上海市闵行中学,,,724,401,129,125,132,否
青浦区,上海市行知中学,,,735.5,405.5,128,133,134,否
青浦区,上海大学附属中学,,,729,407,136,131,134,否
青浦区,上海市吴淞中学,,,720.5,393.5,130,123,136,否
青浦区,华东师范大学第二附属中学,,,723,396.5,130,129,138,否
青浦区,上海市嘉定区第一中学,,,738,404,133,126,141,否
青浦区,上海交通大学附属中学嘉定分校,,,758.5,413.5,146,129,147,否
青浦区,上海师范大学附属中学嘉定新城分校,,,724.5,402.5,132,127,133,否
青浦区,上海市建平中学,,,754.5,421.5,141,136,135,否
青浦区,上海市进才中学,,,741.5,406.5,126,135,141,否
青浦区,华东师范大学第二附属中学,,,757,424,146,135,141,否
青浦区,上海南汇中学,,,692,358,104,126,140,否
青浦区,上海师范大学附属中学,,,723,396,131,129,134,否
青浦区,上海市洋泾中学,,,721.5,397.5,130,127,128,否
青浦区,上海市高桥中学,,,703.5,384.5,137,111,132,否
青浦区,上海市川沙中学,,,707,381,115,119,135,否
青浦区,上海市金山中学,,,736,404,137,125,138,否
青浦区,华东师范大学第三附属中学,,,716,389,128,121,136,否
青浦区,上海市松江二中,,,747,410.5,142,127,145,否
青浦区,华东师范大学第二附属中学松江分校,,,756,417,146,131,143,否
青浦区,上海师范大学附属中学松江分校,,,733.5,398.5,135,123,143,否
青浦区,上海市松江一中,,,709.5,395.5,128,124,123,否
青浦区,上海外国语大学附属外国语学校松江云间中学,,,745.5,414.5,141,132,139,否
青浦区,上海市青浦高级中学,,,744.5,405.5,127,133,141,否
青浦区,复旦大学附属中学青浦分校,,,763,422,145,132,146,否
青浦区,上海市奉贤中学,,,732.5,398,126,126,141,否
青浦区,华东师范大学第二附属中学临港奉贤分校,,,748,408,139,128,142,否
静安区,上海市格致中学,,,747,412,144,129,140,否
静安区,上海市大同中学,,,753.5,419,145,134,139,否
静安区,上海市向明中学,,,733.5,399.5,130,123,138,否
静安区,上海外国语大学附属大境中学,,,702,386,112,132,122,否
静安区,上海市光明中学,,,713,386,123,127,135,否
静安区,上海市敬业中学,,,721,386.5,120,128,138,否
静安区,同济大学科技中学,,,750,411,142,127,143,否
静安区,上海市第二中学,,,727.5,399.5,130,125,133,否
静安区,上海市南洋模范中学,,,761,417,142,132,148,否
静安区,上海市上海中学,,,762,422,145,129,142,否
静安区,上海市位育中学,,,750,408,127,135,147,否
静安区,复旦大学附属中学徐汇分校,,,752.5,418.5,146,129,138,否
静安区,上海市南洋中学,,,725,392.5,130,124,140,否
静安区,上海市第三女子中学,,,729,401.5,129,129,135,否
静安区,上海市延安中学,,,750.5,411.5,134,136,141,否
静安区,上海市市西中学,,,750,408,140,124,144,否
静安区,上海市育才中学,,,725,400.5,135,124,136,否
静安区,上海市新中高级中学,,,737,403.5,139,124,141,否
静安区,上海市回民中学,,,689.5,372.5,109,124,131,否
静安区,上海市第六十中学,,,703.5,386.5,125,119,125,否
静安区,上海市华东模范中学,,,691.5,367,99,132,130,否
静安区,上海市晋元高级中学,,,744.5,405,136,126,142,否
静安区,上海市曹杨第二中学,,,753,410.5,138,127,147,否
静安区,上海市宜川中学,,,727,400,132,126,137,否
静安区,华东师范大学第二附属中学,,,762.5,425.5,150,131,143,否
静安区,复旦大学附属复兴中学,,,756.5,415.5,134,134,145,否
静安区,华东师范大学第一附属中学,,,731.5,397,124,129,141,否
静安区,上海财经大学附属北郊高级中学,,,719.5,391,134,112,134,否
静安区,上海市杨浦高级中学,,,752.5,415,133,135,144,否
静安区,上海市控江中学,,,754,412,135,134,148,否
静安区,上海交通大学附属中学,,,765,420,143,129,146,否
静安区,复旦大学附属中学,,,761.5,422,142,133,144,否
静安区,同济大学第一附属中学,,,739,404,129,131,140,否
静安区,上海市七宝中学,,,736,405,141,120,136,否
静安区,华东师范大学第二附属中学闵行紫竹分校,,,728.5,396,140,118,140,否
静安区,上海师范大学附属中学闵行分校,,,745,406,128,135,143,否
静安区,上海交通大学附属中学闵行分校,,,767,422,144,133,148,否
静安区,上海市闵行中学,,,721,403,131,131,130,否
静安区,上海市行知中学,,,744,406,134,129,143,否
静安区,上海大学附属中学,,,737.5,400.5,143,124,145,否
静安区,上海师范大学附属中学宝山分校,,,744,403,132,126,148,否
静安区,上海市吴淞中学,,,721,394.5,125,132,136,否
静安区,华东师范大学第二附属中学,,,757,418.5,143,128,147,否
静安区,上海交通大学附属中学嘉定分校,,,744,412,135,132,138,否
静安区,上海中学东校,,,757,412,140,127,147,否
静安区,上海市建平中学,,,749,417,144,126,141,否
静安区,华东师范大学第二附属中学,,,753.5,414.5,140,127,144,否
静安区,上海南汇中学,,,706,386,126,122,130,否
静安区,上海市浦东复旦附中分校,,,756.5,421.5,139,135,136,否
静安区,上海市洋泾中学,,,734.5,401.5,134,124,139,否
静安区,上海市高桥中学,,,715,379,107,129,140,否
静安区,上海市川沙中学,,,729,399,135,119,143,否
静安区,上海市金山中学,,,731,397.5,132,129,139,否
静安区,华东师范大学第三附属中学,,,712,389.5,130,114,131,否
静安区,上海市松江二中,,,755,421,150,129,139,否
静安区,华东师范大学第二附属中学松江分校,,,735,407,134,132,135,否
静安区,上海市松江一中,,,708.5,381,126,120,140,否
静安区,上海外国语大学附属外国语学校松江云间中学,,,748,413,142,128,141,否
静安区,上海市青浦高级中学,,,724,396,130,121,135,否
静安区,复旦大学附属中学青浦分校,,,759.5,419.5,143,131,143,否
静安区,上海市朱家角中学,,,692,374,113,121,124,否
静安区,上海市奉贤中学,,,743,408,143,129,144,否
静安区,华东师范大学第二附属中学临港奉贤分校,,,740.5,398.5,122,134,139,否
静安区,上海市崇明中学,,,701,372,100,130,134,否
静安区,上海市实验学校东滩高级中学,,,721.5,392.5,124,127,133,否
黄浦区,上海市格致中学,,,753.5,421.5,140,136,137,否
黄浦区,上海市格致中学,,,736,392,131,125,146,否
