2026 年上海中考 名额分配到区 招生录取最低分数线（按接收区）,,,,,,,,,
,,,,,,,,,
接收区,招生学校,隶属区,办学性质,录取最低分,语数外,数学,语文,综合测试,是否同分优待
嘉定区,华东师范大学第二附属中学,,,757.5,417.5,137,134,146,否
嘉定区,复旦大学附属复兴中学,,,750.5,409.5,135,133,146,否
嘉定区,华东师范大学第一附属中学,,,740,407,143,120,142,否
嘉定区,上海财经大学附属北郊高级中学,,,712.5,383.5,113,128,132,否
嘉定区,上海市杨浦高级中学,,,729.5,401.5,122,130,130,否
嘉定区,上海市控江中学,,,750,410,135,130,148,否
嘉定区,上海交通大学附属中学,,,768.5,425.5,142,137,148,否
嘉定区,复旦大学附属中学,,,768,427,143,138,145,否
嘉定区,同济大学第一附属中学,,,740,401,128,131,144,否
嘉定区,上海市七宝中学,,,757,413,142,128,147,否
嘉定区,华东师范大学第二附属中学闵行紫竹分校,,,757,415,139,131,144,否
嘉定区,上海师范大学附属中学闵行分校,,,730,401,133,123,131,否
嘉定区,上海市闵行中学,,,728.5,402.5,129,130,131,否
嘉定区,上海市行知中学,,,745.5,406.5,127,137,145,否
嘉定区,上海大学附属中学,,,729.5,392.5,133,121,139,否
嘉定区,上海师范大学附属中学宝山分校,,,740,421,141,134,131,否
嘉定区,上海市吴淞中学,,,725.5,407,139,125,134,否
嘉定区,华东师范大学第二附属中学,,,751,415,138,134,144,否
嘉定区,上海市嘉定区第一中学,,,741.5,403.5,124,137,143,否
嘉定区,上海交通大学附属中学嘉定分校,,,766,423.5,138,138,146,否
嘉定区,上海师范大学附属中学嘉定新城分校,,,747.5,414.5,146,129,138,否
嘉定区,上海中学东校,,,742,410,142,120,135,否
嘉定区,上海市建平中学,,,740,394.5,138,118,146,否
嘉定区,华东师范大学第二附属中学,,,764.5,429.5,150,133,138,否
嘉定区,上海南汇中学,,,713,396,131,122,124,否
嘉定区,上海市浦东复旦附中分校,,,749,414,142,125,139,否
嘉定区,上海市洋泾中学,,,712,379,108,129,138,否
嘉定区,上海市高桥中学,,,720.5,393,116,132,136,否
嘉定区,上海市川沙中学,,,724.5,390.5,129,125,138,否
嘉定区,上海市金山中学,,,722.5,388.5,123,123,136,否
嘉定区,华东师范大学第三附属中学,,,712,386,116,128,131,否
嘉定区,上海市松江二中,,,755,414,140,131,146,否
嘉定区,华东师范大学第二附属中学松江分校,,,754,415,136,133,143,否
嘉定区,上海师范大学附属中学松江分校,,,705,382,114,127,130,否
嘉定区,上海市松江一中,,,709,390,124,124,127,否
嘉定区,上海外国语大学附属外国语学校松江云间中学,,,734.5,405.5,138,125,135,否
嘉定区,上海市青浦高级中学,,,729.5,400.5,131,126,134,否
嘉定区,复旦大学附属中学青浦分校,,,753.5,417,142,132,140,否
嘉定区,上海市朱家角中学,,,706,392.5,130,121,120,否
嘉定区,上海市奉贤中学,,,748,413,132,137,139,否
嘉定区,上海市崇明中学,,,716.5,386.5,125,124,138,否
奉贤区,上海市格致中学,,,735.5,407.5,137,126,135,否
奉贤区,上海市格致中学,,,737,402.5,134,128,143,否
奉贤区,同济大学科技中学,,,757.5,416.5,144,127,147,否
奉贤区,上海市第二中学,,,747,406,137,128,147,否
奉贤区,上海市上海中学,,,769,422,144,134,147,否
奉贤区,上海市位育中学,,,735.5,400.5,126,130,140,否
奉贤区,上海市南洋中学,,,717,386,129,123,139,否
奉贤区,上海市育才中学,,,731.5,405.5,119,138,134,否
奉贤区,上海市回民中学,,,687,371,107,121,120,否
奉贤区,上海市宜川中学,,,715,398,132,126,121,否
奉贤区,华东师范大学第一附属中学,,,715.5,392.5,120,130,131,否
奉贤区,上海市杨浦高级中学,,,728,394,133,125,141,否
奉贤区,上海交通大学附属中学,,,767,428,147,136,144,否
奉贤区,复旦大学附属中学,,,766,422,142,134,147,否
奉贤区,上海市七宝中学,,,741.5,406.5,139,125,144,否
奉贤区,上海师范大学附属中学闵行分校,,,734,406,139,127,136,否
奉贤区,上海交通大学附属中学闵行分校,,,759,418,146,129,148,否
