各初中学校排行榜（分区分榜）— 区内排名为主,,,,,,,,,,,,,,
"排名方法：
· 榜A 生源强度：对每所市重，在该校『名额到校录取线』的初中间计算标准分 z=(分-均值)/标准差（区内池与全市池各算一次）；某校生源强度指数=其所有市重 z 的均值。z 分消除了市重难度差异，全量覆盖全部拿到到校名额的初中。
· 榜B 高分产出：按『700+占比%(推算)』（700+人数÷推算考生数）区内排名（仅民间统计到的学校有值）。
· 榜D 声誉口碑：来自网页可检索的公开排名/口碑汇总（机构公众号、家长论坛、百度百家号等），逐校标注来源，属主观判断、仅供参考；本项目内数据不完整，故排名不能只靠 A/B。
· 综合得分(数据+声誉)：区内将 A、B、D 各自归一化到 0–100 后加权合成（A:B:D=2:1.5:6.5，声誉主导），因项目内『名额到校录取线/700+』对自招强校易失真（尖子走四校自招、到校线反而低），故以公开口碑为主、数据为辅；凡校名可匹配到声誉数据者即用此式（缺 A/B 的维度取中性 50，数据不完整不惩罚）；无声誉数据者回退到原 A:B=6:4 数据综合，并标『声誉待补』。
· 区内排名为本表主排序（同区共用同一批市重名额池，最可比）；全市排名为跨区全局 z，仅供参考、不宜跨区比高低。
· 口径：到校录取线为 800 制（含综评50），仅在校内/校际的到校线之间比较，不混入平行志愿 750 制。推算考生数与 700+ 均为推算/民间值，声誉为主观口碑，见『数据完整度』列。",,,,,,,,,,,,,,
区,初中学校,推算考生数(人),到校名额合计,生源强度(榜A·区内z),700+人数,700+占比%(推算),声誉口碑(榜D),声誉来源/梯队,综合得分(数据+声誉),区内排名A,区内排名B,区内排名(综合),全市排名A,数据完整度
徐汇区,上海市西南模范中学,526,54,0.775,,,76,第二梯队｜机构公众号梯队列,61,2,,14,92,全量(仅A)·含声誉
徐汇区,徐汇南校,273,28,-0.427,,,,,60.7,23,,15,498,全量(仅A)·声誉待补
徐汇区,上海市田林中学,214,22,-0.469,,,,,60.2,25,,16,497,全量(仅A)·声誉待补
徐汇区,上海市位育初级中学,399,41,0.392,,,76,第二梯队｜机构公众号梯队列,59.2,9,,17,253,全量(仅A)·含声誉
徐汇区,上海市南洋模范初级中学,428,44,0.344,,,76,第二梯队｜机构公众号梯队列,59,11,,18,293,全量(仅A)·含声誉
徐汇区,上海市零陵中学,185,19,-0.595,,,,,58.5,26,,19,490,全量(仅A)·声誉待补
徐汇区,上海市徐汇区教育学院附属实验中学,360,37,-0.069,,,76,第二梯队｜机构公众号梯队列,57.1,18,,20,351,全量(仅A)·含声誉
徐汇区,上海市南洋初级中学,321,33,-0.743,,,,,56.4,29,,21,544,全量(仅A)·声誉待补
徐汇区,上海市西南位育中学,536,55,-0.703,,,76,第二梯队｜机构公众号梯队列,54.2,28,,22,470,全量(仅A)·含声誉
徐汇区,上海市中国中学,399,41,0.373,10,2.5,,,51.6,10,11,23,264,双覆盖·声誉待补
徐汇区,上海市康健外国语实验中学,321,33,-0.142,22,6.9,,,51.2,20,8,24,329,双覆盖·声誉待补
徐汇区,上海市汾阳中学,117,12,-1.431,,,,,47.1,30,,25,600,全量(仅A)·声誉待补
徐汇区,华东理工大学附属中学,302,31,-0.16,10,3.3,,,45.6,21,10,26,448,双覆盖·声誉待补
徐汇区,上海市第四中学,438,45,-0.438,22,5,,,44.3,24,9,27,512,双覆盖·声誉待补
徐汇区,上海市园南中学,321,33,0.63,60,18.7,58,第三梯队｜机构公众号梯队列,27.4,4,3,28,148,双覆盖·含声誉
徐汇区,上海师范大学第三附属实验学校,204,21,0.986,22,10.8,58,第三梯队｜机构公众号梯队列,24.6,1,6,29,25,双覆盖·含声誉
徐汇区,上海市田林第三中学,487,50,0.62,50,10.3,58,第三梯队｜机构公众号梯队列,22.7,5,7,30,110,双覆盖·含声誉
徐汇区,上海市龙苑中学,58,6,-3.417,,,,,20,31,,31,644,全量(仅A)·声誉待补
长宁区,上海市开元学校,227,25,0.524,17,7.5,,,85.5,6,1,1,257,双覆盖·声誉待补
长宁区,上海市第三女子初级中学,290,32,-0.796,,,92,第一梯队｜机构公众号梯队列,80.3,15,,2,548,全量(仅A)·含声誉
长宁区,上海市延安初级中学,553,61,0.25,20,3.6,92,第一梯队｜机构公众号梯队列,78.7,9,3,3,315,双覆盖·含声誉
长宁区,华东政法大学附属中学,163,18,0.71,,,,,68.6,2,,4,155,全量(仅A)·声誉待补
长宁区,上海市仙霞高级中学,236,26,0.582,,,,,66.5,4,,5,144,全量(仅A)·声誉待补
长宁区,上海市新泾中学,154,17,0.551,,,,,66,5,,6,83,全量(仅A)·声誉待补
长宁区,上海市天山初级中学,227,25,0.292,,,,,61.7,8,,7,296,全量(仅A)·声誉待补
长宁区,上海市娄山中学,372,41,0.663,,,76,第二梯队｜机构公众号梯队列,57.9,3,,8,107,全量(仅A)·含声誉
长宁区,上海市西延安中学,308,34,-0.2,20,6.5,76,第二梯队｜机构公众号梯队列,56.7,13,2,9,346,双覆盖·含声誉
长宁区,上海市延安实验初级中学,236,26,-0.09,,,,,55.3,10,,10,449,全量(仅A)·声誉待补
长宁区,上海市民办新世纪中学,200,22,-0.174,,,,,53.9,11,,11,437,全量(仅A)·声誉待补
长宁区,上海市姚连生中学,154,17,-0.184,,,,,53.7,12,,12,442,全量(仅A)·声誉待补
长宁区,上海市泸定中学,63,7,-0.233,,,,,52.9,14,,13,454,全量(仅A)·声誉待补
长宁区,上海市天山第二中学,127,14,-1.095,,,,,38.6,16,,14,619,全量(仅A)·声誉待补
长宁区,上海市虹桥中学,63,7,-1.37,,,,,34,17,,15,589,全量(仅A)·声誉待补
长宁区,上海市建青实验学校,127,14,1.394,,,58,第三梯队｜机构公众号梯队列,27.5,1,,16,3,全量(仅A)·含声誉
长宁区,上海市复旦初级中学,245,27,0.324,,,58,第三梯队｜机构公众号梯队列,21.6,7,,17,249,全量(仅A)·含声誉
长宁区,上海市西郊学校,45,5,-2.21,,,,,20,18,,18,628,全量(仅A)·声誉待补
静安区,上海市民办扬波中学,240,36,0.557,,,92,第一梯队｜机构公众号梯队列,89.4,2,,1,199,全量(仅A)·含声誉
静安区,上海市静安区教育学院附属学校,207,31,0.353,,,92,第一梯队｜机构公众号梯队列,88.5,12,,2,331,全量(仅A)·含声誉
静安区,上海市市北初级中学,440,66,-0.042,,,92,第一梯队｜机构公众号梯队列,86.7,21,,3,405,全量(仅A)·含声誉
静安区,上海外国语大学苏河湾实验中学,140,21,0.552,,,,,70.6,3,,4,203,全量(仅A)·声誉待补
静安区,上海市新中初级中学,354,53,0.53,,,,,70.3,5,,5,174,全量(仅A)·声誉待补
静安区,上海市静安区实验中学,127,19,0.52,,,,,70.1,7,,6,178,全量(仅A)·声誉待补
静安区,上海市静安区市北初级中学北校,320,48,0.504,,,,,69.9,8,,7,236,全量(仅A)·声誉待补
静安区,上海市时代中学,113,17,0.456,,,,,69.3,10,,8,156,全量(仅A)·声誉待补
静安区,上海市闸北第八中学,173,26,0.319,,,,,67.5,13,,9,285,全量(仅A)·声誉待补
静安区,上海市青云中学,253,38,0.268,,,,,66.8,14,,10,309,全量(仅A)·声誉待补
静安区,上海市彭浦初级中学,327,49,0.26,,,,,66.7,15,,11,340,全量(仅A)·声誉待补
静安区,上海市风华初级中学,907,136,0.526,120,13.2,76,第二梯队｜机构公众号梯队列,66.2,6,1,12,248,双覆盖·含声誉
静安区,上海戏剧学院附属静安学校,87,13,0.142,,,,,65.1,16,,13,350,全量(仅A)·声誉待补
静安区,上海市民办新和中学,167,25,0.084,,,,,64.4,18,,14,369,全量(仅A)·声誉待补
静安区,上海市保德中学,113,17,0.068,,,,,64.2,19,,15,374,全量(仅A)·声誉待补
静安区,上海市静安区协和双语培明学校,120,18,0.009,,,,,63.4,20,,16,396,全量(仅A)·声誉待补
静安区,上海市彭浦第三中学,207,31,-0.062,,,,,62.4,22,,17,409,全量(仅A)·声誉待补
静安区,上海市华灵学校,120,18,-0.1,,,,,61.9,23,,18,420,全量(仅A)·声誉待补
静安区,上海市静安区大宁国际学校,133,20,1.265,,,76,第二梯队｜机构公众号梯队列,61.9,1,,19,8,全量(仅A)·含声誉
静安区,上海市朝阳中学,47,7,-0.165,,,,,61.1,24,,20,432,全量(仅A)·声誉待补
静安区,上海市育才初级中学,213,32,-0.182,,,,,60.8,25,,21,439,全量(仅A)·声誉待补
静安区,上海市岭南中学,160,24,-0.234,,,,,60.2,26,,22,455,全量(仅A)·声誉待补
静安区,上海市华东模范中学,133,20,-0.305,,,,,59.2,27,,23,499,全量(仅A)·声誉待补
静安区,上海市向东中学,113,17,-0.329,,,,,58.9,28,,24,436,全量(仅A)·声誉待补
静安区,上海市市西初级中学,400,60,0.544,,,76,第二梯队｜机构公众号梯队列,58.7,4,,25,165,全量(仅A)·含声誉
静安区,同济大学附属七一中学,213,32,0.479,,,76,第二梯队｜机构公众号梯队列,58.4,9,,26,200,全量(仅A)·含声誉
静安区,上海市五四中学,127,19,-0.524,,,,,56.3,30,,27,502,全量(仅A)·声誉待补
静安区,上海市彭浦第四中学,167,25,-0.567,,,,,55.8,31,,28,528,全量(仅A)·声誉待补
静安区,上海市三泉学校,127,19,-0.612,,,,,55.2,32,,29,501,全量(仅A)·声誉待补
静安区,上海市爱国学校,87,13,-0.687,,,,,54.2,33,,30,524,全量(仅A)·声誉待补
静安区,上海市民立中学,107,16,-0.697,,,,,54,34,,31,534,全量(仅A)·声誉待补
静安区,上海市第一中学,167,25,0.428,5,3,,,48.9,11,2,32,244,双覆盖·声誉待补
静安区,上海市回民中学,240,36,-1.146,,,,,48.1,35,,33,574,全量(仅A)·声誉待补
静安区,民办上海上外静安外国语中学,167,25,0.086,,,58,第三梯队｜机构公众号梯队列,22.3,17,,34,375,全量(仅A)·含声誉
静安区,上海市久隆模范中学,160,24,-3.269,,,,,20,36,,35,643,全量(仅A)·声誉待补
静安区,上海田家炳中学,173,26,-0.511,,,58,第三梯队｜机构公众号梯队列,19.7,29,,36,505,全量(仅A)·含声誉
普陀区,上海华东师范大学附属进华中学,284,29,0.234,,,92,第一梯队｜机构公众号梯队列,89,18,,1,270,全量(仅A)·含声誉
普陀区,上海市梅陇中学,607,62,0.436,100,16.5,92,第一梯队｜机构公众号梯队列,82.5,11,2,2,221,双覆盖·含声誉
普陀区,上海市甘泉外国语中学,39,4,0.915,,,,,80,1,,3,28,全量(仅A)·声誉待补
普陀区,上海市曹杨第二中学附属实验中学,157,16,0.671,,,,,76.2,4,,4,105,全量(仅A)·声誉待补
普陀区,同济大学第二附属中学,333,34,0.64,,,,,75.7,5,,5,115,全量(仅A)·声誉待补
普陀区,上海市中远实验学校,215,22,0.587,,,,,74.9,6,,6,140,全量(仅A)·声誉待补
普陀区,上海兰田中学,245,25,0.568,,,,,74.6,7,,7,64,全量(仅A)·声誉待补
普陀区,上海市洛川学校,59,6,0.488,,,,,73.4,9,,8,195,全量(仅A)·声誉待补
普陀区,上海市民办新黄浦实验学校,137,14,0.491,,,,,73.4,8,,9,194,全量(仅A)·声誉待补
普陀区,上海理工大学附属普陀实验学校,59,6,0.476,,,,,73.2,10,,10,202,全量(仅A)·声誉待补
普陀区,上海市曹杨第二中学附属学校,304,31,0.377,,,,,71.7,13,,11,261,全量(仅A)·声誉待补
普陀区,上海市万里城实验学校,206,21,0.379,,,,,71.7,12,,12,260,全量(仅A)·声誉待补
普陀区,上海市真北中学,108,11,0.373,,,,,71.6,14,,13,222,全量(仅A)·声誉待补
普陀区,上海外国语大学尚阳外国语学校,225,23,0.285,,,,,70.3,15,,14,300,全量(仅A)·声誉待补
普陀区,上海市延河中学,117,12,0.269,,,,,70,16,,15,306,全量(仅A)·声誉待补
普陀区,上海师范大学附属第二实验学校,166,17,0.261,,,,,69.9,17,,16,224,全量(仅A)·声誉待补
普陀区,华东师范大学附属外国语实验学校,206,21,0.234,,,,,69.5,19,,17,320,全量(仅A)·声誉待补
普陀区,上海市长征中学,225,23,0.232,,,,,69.4,20,,18,321,全量(仅A)·声誉待补
普陀区,上海市普陀区教育学院附属中学,235,24,0.185,,,,,68.7,21,,19,336,全量(仅A)·声誉待补
普陀区,上海培佳双语学校,215,22,0.77,40,18.6,76,第二梯队｜机构公众号梯队列,68.7,2,1,20,73,双覆盖·含声誉
普陀区,上海市曹杨中学附属学校,186,19,0.158,,,,,68.3,22,,21,368,全量(仅A)·声誉待补
普陀区,上海市宜川中学附属学校,108,11,0.133,,,,,67.9,24,,22,352,全量(仅A)·声誉待补
普陀区,上海市铜川学校,108,11,0.126,,,,,67.8,25,,23,354,全量(仅A)·声誉待补
普陀区,上海市洵阳中学,88,9,0.078,,,,,67.1,26,,24,291,全量(仅A)·声誉待补
普陀区,上海市怒江中学,39,4,-0.008,,,,,65.7,28,,25,398,全量(仅A)·声誉待补
普陀区,上海市曹杨中学,255,26,-0.078,,,,,64.7,29,,26,412,全量(仅A)·声誉待补
普陀区,上海市普陀区梅陇实验中学,225,23,-0.162,,,,,63.4,30,,27,316,全量(仅A)·声誉待补
普陀区,上海市文达学校,137,14,-0.22,,,,,62.5,31,,28,452,全量(仅A)·声誉待补
普陀区,上海市晋元高级中学附属学校南校,98,10,-0.296,,,,,61.3,32,,29,464,全量(仅A)·声誉待补
普陀区,上海市普陀区教育学院附属学校,59,6,-0.308,,,,,61.1,33,,30,469,全量(仅A)·声誉待补
普陀区,上海市北海中学,137,14,-0.374,,,,,60.1,34,,31,406,全量(仅A)·声誉待补
普陀区,上海市子长学校,59,6,-0.378,,,,,60,35,,32,476,全量(仅A)·声誉待补
普陀区,上海市晋元高级中学附属学校,431,44,0.14,,,76,第二梯队｜机构公众号梯队列,57.9,23,,33,217,全量(仅A)·含声誉
普陀区,上海市桃浦中学,108,11,-0.525,,,,,57.7,36,,34,507,全量(仅A)·声誉待补
普陀区,华东师范大学第四附属中学,313,32,0.049,,,76,第二梯队｜机构公众号梯队列,57.5,27,,35,382,全量(仅A)·含声誉
普陀区,上海市新杨中学,245,25,-0.574,,,,,57,37,,36,516,全量(仅A)·声誉待补
普陀区,上海市金鼎学校,39,4,-1.761,,,,,38.6,39,,37,610,全量(仅A)·声誉待补
普陀区,上海安生学校,39,4,-2.543,,,,,26.6,40,,38,635,全量(仅A)·声誉待补
普陀区,上海市江宁学校,255,26,0.71,,,58,第三梯队｜机构公众号梯队列,26.4,3,,39,173,全量(仅A)·含声誉
普陀区,上海音乐学院附属安师实验中学,39,4,-2.969,,,,,20,41,,40,641,全量(仅A)·声誉待补
普陀区,上海市沙田学校,98,10,-0.787,,,58,第三梯队｜机构公众号梯队列,18.7,38,,41,546,全量(仅A)·含声誉
虹口区,上海市民办新华初级中学,349,41,0.695,,,92,第一梯队｜机构公众号梯队列,89.9,7,,1,143,全量(仅A)·含声誉
虹口区,上海市民办新复兴初级中学,366,43,0.463,,,92,第一梯队｜机构公众号梯队列,88.4,10,,2,142,全量(仅A)·含声誉
虹口区,上海市鲁迅初级中学,145,17,1.003,,,,,78.3,2,,3,18,全量(仅A)·声誉待补
虹口区,上海音乐学院虹口区实验中学,153,18,0.702,,,,,72.4,6,,4,94,全量(仅A)·声誉待补
虹口区,上海市继光初级中学,85,10,0.509,,,,,68.6,8,,5,186,全量(仅A)·声誉待补
虹口区,上海市曲阳第二中学,256,30,0.471,,,,,67.8,9,,6,205,全量(仅A)·声誉待补
虹口区,上海市海南中学,34,4,0.275,,,,,64,12,,7,305,全量(仅A)·声誉待补
虹口区,华东师范大学第一附属初级中学,204,24,0.222,,,,,62.9,13,,8,326,全量(仅A)·声誉待补
虹口区,上海市复兴实验中学,145,17,0.085,,,,,60.2,14,,9,193,全量(仅A)·声誉待补
虹口区,上海市长青学校,145,17,0.727,,,76,第二梯队｜机构公众号梯队列,59.5,3,,10,39,全量(仅A)·含声誉
虹口区,上海市民办迅行中学,162,19,0.709,,,76,第二梯队｜机构公众号梯队列,59.4,5,,11,89,全量(仅A)·含声誉
虹口区,上海市丰镇中学,239,28,-0.185,,,,,54.9,15,,12,443,全量(仅A)·声誉待补
虹口区,上海市民办新北郊初级中学,375,44,0.724,20,5.3,76,第二梯队｜机构公众号梯队列,52,4,2,13,161,双覆盖·含声誉
虹口区,上海市北郊学校,119,14,-0.374,,,,,51.1,16,,14,475,全量(仅A)·声誉待补
虹口区,上海市第五十二中学,111,13,-1.427,8,7.2,,,50.3,22,1,15,596,双覆盖·声誉待补
虹口区,上海世外教育附属虹口区欧阳学校,102,12,-0.521,,,,,48.2,17,,16,506,全量(仅A)·声誉待补
虹口区,上海市钟山初级中学,204,24,-0.681,,,,,45.1,18,,17,538,全量(仅A)·声誉待补
虹口区,上海市虹口区教育学院实验中学,136,16,-0.788,,,,,42.9,19,,18,517,全量(仅A)·声誉待补
虹口区,上海民办克勒外国语学校,162,19,-0.823,,,,,42.3,20,,19,556,全量(仅A)·声誉待补
虹口区,同济大学附属澄衷中学,43,5,-0.895,,,,,40.8,21,,20,557,全量(仅A)·声誉待补
虹口区,上海市虹口实验学校,366,43,1.088,,,58,第三梯队｜机构公众号梯队列,27.5,1,,21,11,全量(仅A)·含声誉
虹口区,上海市江湾初级中学,145,17,0.337,,,58,第三梯队｜机构公众号梯队列,22.6,11,,22,275,全量(仅A)·含声誉
虹口区,上海师范大学附属虹口中学,111,13,-1.95,,,,,20,23,,23,621,全量(仅A)·声誉待补
杨浦区,上海市存志学校,206,20,0.682,,,92,第一梯队｜机构公众号梯队列,88.1,5,,1,106,全量(仅A)·含声誉
杨浦区,复旦大学第二附属学校,309,30,0,,,92,第一梯队｜机构公众号梯队列,82.5,26,,2,669,全量(仅A)·含声誉
杨浦区,上海民办兰生中学,175,17,0,,,92,第一梯队｜机构公众号梯队列,82.5,30,,3,673,全量(仅A)·含声誉
杨浦区,上海市辽阳中学,237,23,0.204,35,14.8,,,77.7,13,1,4,333,双覆盖·声誉待补
杨浦区,上海市同济初级中学,217,21,0.774,,,,,68.5,3,,5,52,全量(仅A)·声誉待补
杨浦区,上海市鞍山初级中学,186,18,0.754,,,,,68.1,4,,6,167,全量(仅A)·声誉待补
杨浦区,上海市惠民中学,144,14,0.631,,,,,65.8,6,,7,118,全量(仅A)·声誉待补
杨浦区,上海市思源中学,144,14,0.513,,,,,63.6,8,,8,184,全量(仅A)·声誉待补
杨浦区,上海市十五中学,155,15,0.467,,,,,62.7,9,,9,180,全量(仅A)·声誉待补
杨浦区,上海市新大桥中学,124,12,0.429,,,,,62,10,,10,335,全量(仅A)·声誉待补
杨浦区,上海民办杨浦凯慧初级中学,165,16,1.379,,,76,第二梯队｜机构公众号梯队列,61.9,1,,11,4,全量(仅A)·含声誉
杨浦区,上海市三门中学（上海财大学附属初级中学）,268,26,0.359,,,,,60.6,11,,12,122,全量(仅A)·声誉待补
杨浦区,上海理工大学附属初级中学,309,30,0.336,,,,,60.2,12,,13,265,全量(仅A)·声誉待补
杨浦区,上海市控江初级中学,361,35,0.164,,,,,56.9,14,,14,356,全量(仅A)·声誉待补
杨浦区,上海市鞍山实验中学,186,18,-0.057,,,,,52.7,15,,15,334,全量(仅A)·声誉待补
杨浦区,上海市杨浦初级中学,124,12,-0.076,,,,,52.4,16,,16,366,全量(仅A)·声誉待补
杨浦区,上海杨浦双语学校,237,23,0,,,76,第二梯队｜机构公众号梯队列,51.9,28,,17,671,全量(仅A)·含声誉
杨浦区,上海民办杨浦实验学校,144,14,0,,,76,第二梯队｜机构公众号梯队列,51.9,33,,18,676,全量(仅A)·含声誉
杨浦区,上海同大实验学校,113,11,0,,,76,第二梯队｜机构公众号梯队列,51.9,36,,19,679,全量(仅A)·含声誉
杨浦区,上海市杨浦区教育学院附属中学,103,10,-0.14,,,,,51.2,17,,20,379,全量(仅A)·声誉待补
杨浦区,上海市建设初级中学,62,6,-0.299,,,,,48.1,18,,21,467,全量(仅A)·声誉待补
杨浦区,上海市国和中学,299,29,0.575,15,5,,,44.7,7,2,22,269,双覆盖·声誉待补
杨浦区,上海市同济第二初级中学,155,15,-0.613,,,,,42.2,19,,23,465,全量(仅A)·声誉待补
杨浦区,上海市包头中学,93,9,-1.239,,,,,30.3,20,,24,580,全量(仅A)·声誉待补
杨浦区,上海市二十五中学,124,12,-1.285,,,,,29.4,21,,25,579,全量(仅A)·声誉待补
杨浦区,上海市铁岭中学,423,41,0.874,,,58,第三梯队｜机构公众号梯队列,24.3,2,,26,58,全量(仅A)·含声誉
杨浦区,上海理工大学附属实验初级中学,186,18,-1.677,,,,,22,22,,27,585,全量(仅A)·声誉待补
杨浦区,上海市东辽阳中学,31,3,-1.782,,,,,20,23,,28,612,全量(仅A)·声誉待补
杨浦区,上海音乐学院实验学校,392,38,0,,,58,第三梯队｜机构公众号梯队列,17.5,24,,29,667,全量(仅A)·含声誉
杨浦区,上海市复旦实验中学,361,35,0,,,,,,25,,,668,全量(仅A)·声誉待补
杨浦区,上海市昆明学校,247,24,0,,,,,,27,,,670,全量(仅A)·声誉待补
杨浦区,上海市市光学校,217,21,0,,,,,,29,,,672,全量(仅A)·声誉待补
杨浦区,上海市黄兴学校,155,15,0,,,,,,31,,,674,全量(仅A)·声誉待补
杨浦区,上海市市东实验学校（上海市市东中学）,144,14,0,,,,,,32,,,675,全量(仅A)·声誉待补
杨浦区,同济大学附属新江湾城实验学校,144,14,0,,,,,,34,,,677,全量(仅A)·声誉待补
杨浦区,上海市长阳实验学校,124,12,0,,,,,,35,,,678,全量(仅A)·声誉待补
杨浦区,上海市育鹰学校,103,10,0,,,,,,37,,,680,全量(仅A)·声誉待补
杨浦区,上海民办沪东外国语学校,93,9,0,,,,,,38,,,681,全量(仅A)·声誉待补
杨浦区,上海市体育学院附属中学,31,3,0,,,,,,39,,,682,全量(仅A)·声誉待补
闵行区,上海民办圣华紫竹双语学校,135,10,0.778,41,30.4,,,98.1,4,1,1,51,双覆盖·声誉待补
闵行区,上海市文来中学,337,25,0.348,100,29.7,92,第一梯队｜机构公众号梯队列,97.1,25,2,2,219,双覆盖·含声誉
闵行区,华东师范大学第二附属中学附属初级中学,471,35,0.321,123,26.1,92,第一梯队｜机构公众号梯队列,95,29,3,3,225,双覆盖·含声誉
闵行区,上海市民办上宝中学,337,25,0.552,,,92,第一梯队｜机构公众号梯队列,90.9,12,,4,129,全量(仅A)·含声誉
闵行区,上海交通大学附属第二中学,498,37,0.624,109,21.9,,,83.8,7,4,5,59,双覆盖·声誉待补
闵行区,上海博世凯外国语学校,108,8,0.735,20,18.5,,,80.4,6,5,6,62,双覆盖·声誉待补
闵行区,上海市民办德英乐实验学校,148,11,0.829,,,,,78.8,2,,7,60,全量(仅A)·声誉待补
闵行区,上海市莘光学校,660,49,0.761,,,,,77.9,5,,8,76,全量(仅A)·声誉待补
闵行区,上海尚师初级中学,202,15,0.614,,,,,75.9,9,,9,123,全量(仅A)·声誉待补
闵行区,上海市闵行区北桥中学,162,12,0.586,,,,,75.5,10,,10,172,全量(仅A)·声誉待补
闵行区,上海市闵行区明星学校,162,12,0.574,,,,,75.4,11,,11,187,全量(仅A)·声誉待补
闵行区,上海市罗阳中学,202,15,0.541,,,,,74.9,14,,12,128,全量(仅A)·声誉待补
闵行区,上海市闵行区田园外国语中学,364,27,0.523,,,,,74.7,15,,13,154,全量(仅A)·声誉待补
闵行区,上海市七宝中学附属鑫都实验中学,660,49,0.492,,,,,74.3,17,,14,132,全量(仅A)·声誉待补
闵行区,上海市民办万源城协和双语学校,121,9,0.419,,,,,73.3,21,,15,242,全量(仅A)·声誉待补
闵行区,上海市闵行区颛桥中学,377,28,0.394,,,,,73,23,,16,179,全量(仅A)·声誉待补
闵行区,上海世外教育附属浦江外国语学校,121,9,0.394,,,,,72.9,24,,17,228,全量(仅A)·声誉待补
闵行区,上海市闵行区马桥复旦万科实验中学,337,25,0.548,50,14.8,,,72.5,13,7,18,145,双覆盖·声誉待补
闵行区,上海市龙柏中学,135,10,0.335,,,,,72.2,26,,19,266,全量(仅A)·声誉待补
闵行区,上海市师资培训中心附属闵行实验中学,296,22,0.322,,,,,72,28,,20,233,全量(仅A)·声誉待补
闵行区,上海市骏博外国语学校,202,15,0.324,,,,,72,27,,21,239,全量(仅A)·声誉待补
闵行区,上海市闵行区华漕学校,189,14,0.289,,,,,71.6,30,,22,240,全量(仅A)·声誉待补
闵行区,上海市闵行区上虹中学,162,12,0.241,,,,,70.9,31,,23,289,全量(仅A)·声誉待补
闵行区,上海市七宝实验中学,323,24,0.239,,,,,70.9,32,,24,192,全量(仅A)·声誉待补
闵行区,上海市闵行区龙茗中学,296,22,0.2,,,,,70.3,33,,25,272,全量(仅A)·声誉待补
闵行区,上海师范大学康城实验学校,391,29,0.156,,,,,69.8,34,,26,286,全量(仅A)·声誉待补
闵行区,华东师范大学附属闵行永德学校,148,11,0.135,,,,,69.5,35,,27,365,全量(仅A)·声誉待补
闵行区,上海市闵行区浦航实验中学,337,25,0.106,,,,,69.1,36,,28,332,全量(仅A)·声誉待补
闵行区,上海市闵行中学附属实验中学,323,24,0.06,,,,,68.5,37,,29,347,全量(仅A)·声誉待补
闵行区,上海市闵行区文来实验学校,175,13,0.036,,,,,68.2,38,,30,359,全量(仅A)·声誉待补
闵行区,上海交通大学附属闵行马桥实验学校,202,15,0.013,,,,,67.8,39,,31,383,全量(仅A)·声誉待补
闵行区,上海师范大学附属闵行第三中学,189,14,-0.033,,,,,67.2,40,,32,386,全量(仅A)·声誉待补
闵行区,上海中医药大学附属闵行晶城中学,296,22,0.472,35,11.8,,,67.1,18,9,33,170,双覆盖·声誉待补
闵行区,上海市闵行第三中学,135,10,-0.137,,,,,65.8,41,,34,416,全量(仅A)·声誉待补
闵行区,上海市闵行区君莲学校,135,10,-0.169,,,,,65.4,42,,35,415,全量(仅A)·声誉待补
闵行区,华东理工大学附属闵行梅陇实验学校,108,8,-0.171,,,,,65.4,43,,36,411,全量(仅A)·声誉待补
闵行区,上海市吴泾中学,108,8,-0.207,,,,,64.9,44,,37,418,全量(仅A)·声誉待补
闵行区,上海市闵行区鹤北初级中学,242,18,-0.254,,,,,64.3,46,,38,413,全量(仅A)·声誉待补
闵行区,上海市闵行区七宝文来学校,296,22,0.401,30,10.1,,,63.7,22,11,39,226,双覆盖·声誉待补
闵行区,上海闵行区协和双语教科学校,148,11,-0.409,,,,,62.2,48,,40,410,全量(仅A)·声誉待补
闵行区,上海市古美学校,94,7,-0.469,,,,,61.4,49,,41,486,全量(仅A)·声誉待补
闵行区,上海市七宝中学附属闵行金都实验中学,256,19,-0.499,,,,,61,50,,42,477,全量(仅A)·声誉待补
闵行区,上海市闵行区七宝第二中学,1051,78,0.448,80,7.6,,,60.8,19,12,43,208,双覆盖·声誉待补
闵行区,上海市民办文绮中学,458,34,0.42,,,76,第二梯队｜机构公众号梯队列,59.7,20,,44,163,全量(仅A)·含声誉
闵行区,上海市闵行区诸翟学校,202,15,-0.666,,,,,58.7,51,,45,483,全量(仅A)·声誉待补
闵行区,上海市闵行区莘松中学,1441,107,0.5,200,13.9,76,第二梯队｜机构公众号梯队列,58.6,16,8,46,130,双覆盖·含声誉
闵行区,华东师范大学附属闵行虹桥学校,108,8,-0.698,,,,,58.3,52,,47,488,全量(仅A)·声誉待补
闵行区,上海市闵行区浦江第二中学,215,16,-0.732,,,,,57.8,53,,48,514,全量(仅A)·声誉待补
闵行区,上海市闵行区七宝第三中学,404,30,0.621,45,11.1,76,第二梯队｜机构公众号梯队列,57.6,8,10,49,93,双覆盖·含声誉
闵行区,上海市民办协和双语尚音学校,108,8,-0.77,,,,,57.3,54,,50,500,全量(仅A)·声誉待补
闵行区,上海市闵行区浦江第三中学,215,16,-0.809,,,,,56.8,55,,51,530,全量(仅A)·声誉待补
闵行区,上海师范大学附属中学闵行实验学校,148,11,-0.23,,,76,第二梯队｜机构公众号梯队列,56.8,45,,52,444,全量(仅A)·含声誉
