各初中学校排行榜（分区分榜）— 区内排名为主,,,,,,,,,,,,,,
"排名方法：
· 榜A 生源强度：对每所市重，在该校『名额到校录取线』的初中间计算标准分 z=(分-均值)/标准差（区内池与全市池各算一次）；某校生源强度指数=其所有市重 z 的均值。z 分消除了市重难度差异，全量覆盖全部拿到到校名额的初中。
· 榜B 高分产出：按『700+占比%(推算)』（700+人数÷推算考生数）区内排名（仅民间统计到的学校有值）。
· 榜D 声誉口碑：来自网页可检索的公开排名/口碑汇总（机构公众号、家长论坛、百度百家号等），逐校标注来源，属主观判断、仅供参考；本项目内数据不完整，故排名不能只靠 A/B。
· 综合得分(数据+声誉)：区内将 A、B、D 各自归一化到 0–100 后加权合成（A:B:D=2:1.5:6.5，声誉主导），因项目内『名额到校录取线/700+』对自招强校易失真（尖子走四校自招、到校线反而低），故以公开口碑为主、数据为辅；凡校名可匹配到声誉数据者即用此式（缺 A/B 的维度取中性 50，数据不完整不惩罚）；无声誉数据者回退到原 A:B=6:4 数据综合，并标『声誉待补』。
· 区内排名为本表主排序（同区共用同一批市重名额池，最可比）；全市排名为跨区全局 z，仅供参考、不宜跨区比高低。
· 口径：到校录取线为 800 制（含综评50），仅在校内/校际的到校线之间比较，不混入平行志愿 750 制。推算考生数与 700+ 均为推算/民间值，声誉为主观口碑，见『数据完整度』列。",,,,,,,,,,,,,,
区,初中学校,推算考生数(人),到校名额合计,生源强度(榜A·区内z),700+人数,700+占比%(推算),声誉口碑(榜D),声誉来源/梯队,综合得分(数据+声誉),区内排名A,区内排名B,区内排名(综合),全市排名A,数据完整度
浦东新区,上海市洋泾中学南校,145,9,0.396,,,,,70,52,,43,251,全量(仅A)·声誉待补
浦东新区,上海市东昌东校,129,8,0.398,,,,,70,51,,44,250,全量(仅A)·声誉待补
浦东新区,华东师范大学张江实验中学,194,12,0.377,,,,,69.7,53,,45,262,全量(仅A)·声誉待补
浦东新区,上海市华林中学,145,9,0.357,,,,,69.4,54,,46,276,全量(仅A)·声誉待补
浦东新区,上海浦东新区民办恒洋外国语学校,210,13,0.35,,,,,69.3,55,,47,284,全量(仅A)·声誉待补
浦东新区,上海市浦东模范中学东校,258,16,0.336,,,,,69,56,,48,287,全量(仅A)·声誉待补
浦东新区,上海市竹园中学,161,10,0.328,,,,,68.9,57,,49,278,全量(仅A)·声誉待补
浦东新区,上海市杨思中学,258,16,0.305,,,,,68.5,58,,50,290,全量(仅A)·声誉待补
浦东新区,上海师范大学附属浦东临港中学,178,11,0.281,,,,,68.1,60,,51,301,全量(仅A)·声誉待补
浦东新区,上海市王港中学,145,9,0.226,,,,,67.3,63,,52,323,全量(仅A)·声誉待补
浦东新区,上海市香山中学,145,9,0.227,,,,,67.3,62,,53,360,全量(仅A)·声誉待补
浦东新区,上海市南汇第一中学,355,22,0.232,,,,,67.3,61,,54,330,全量(仅A)·声誉待补
浦东新区,上海民办启能东方外国语学校,145,9,0.212,,,,,67,64,,55,339,全量(仅A)·声誉待补
浦东新区,上海市浦东新区进才森兰实验中学,274,17,0.948,30,10.9,,,66.8,4,7,56,37,双覆盖·声誉待补
浦东新区,上海市航头学校,371,23,0.191,,,,,66.7,65,,57,341,全量(仅A)·声誉待补
浦东新区,上海市浦东新区新场实验中学,242,15,0.184,,,,,66.6,66,,58,338,全量(仅A)·声誉待补
浦东新区,上海第二工业大学附属龚路中学,210,13,0.16,,,,,66.2,68,,59,349,全量(仅A)·声誉待补
浦东新区,上海市实验学校附属光明学校,242,15,0.16,,,,,66.2,67,,60,345,全量(仅A)·声誉待补
浦东新区,上海市浦东新区懿德中学,145,9,0.138,,,,,65.8,69,,61,362,全量(仅A)·声誉待补
浦东新区,上海市长岛中学,145,9,0.096,,,,,65.1,70,,62,400,全量(仅A)·声誉待补
浦东新区,上海市陆行中学南校,145,9,0.086,,,,,65,71,,63,441,全量(仅A)·声誉待补
浦东新区,上海市顾路中学,226,14,0.053,,,,,64.4,72,,64,389,全量(仅A)·声誉待补
浦东新区,上海市南汇第五中学,129,8,0.009,,,,,63.7,73,,65,395,全量(仅A)·声誉待补
