汇总透视（按高中 / 按区 汇总名额分配与分数线，便于快速看盘子）,,,,,
说明：『到校计划数(合计)』为16区『名额分配到校计划(逐校)』之和，现已 16 区计划CSV全部并入（含徐汇899，合计12875）；与全市口径12904差约29，系个别区计划表仍有极少量未解析单元格，非徐汇缺口。『到区录取线/平行志愿线』为各区最低值样本，前者800分制、后者750分制，二者不可相减、不可与计划数混淆。,,,,,
,,,,,
招生学校,到区计划数,到校计划数(合计),到校覆盖初中数,到区录取线(最低·800制),平行志愿线(最低·750制)
上海市久隆模范中学,,,0,,577.5
上海市市三女中,,117,0,,
上海市民星中学,,,0,,550.5
上海市祝桥高级中学,,,0,,567.5
上海市闸北第八中学,,,0,,608.5
上海理工大学附属储能中学,,,0,,628.5
上海田家炳中学,,,0,,637
上海闵行区万科双语学校,,,0,,558
上海市风华中学,,,0,,663.5
上海市民办文绮中学,,,0,,623.5
上海市川沙中学友仁分校,,,0,,678
上海体育大学附属金山亭林中学,,,0,,555
上海市江镇中学,,,0,,584.5
上海市青浦区第一中学,,,0,,632
同济大学第二附属中学,,,0,,652.5
上海大学市北附属中学,,,0,,572
东华大学附属松江高级中学,,,0,,651
上海金瑞学校,,,0,,506
华东师范大学第二附属中学宝山校区,,,0,,704.5
上海理工大学附属杨浦少云中学,,,0,,593.5
上海市桃浦中学,,,0,,601
上海浦东民办未来科技学校,,,0,,618.5
上海民办光华中学,,,0,,505.5
师大一附,,,0,,682.5
北京外国语大学附属上海闵行田园高级中学,,,0,,652
华曜高级,,,0,,639
上海财经大学附属中学,,,0,,650.5
上海第二工业大学附属龚路中学,,,0,,590
上海市同洲模范学校,,,0,,503
上海市南汇第一中学,,,0,,627
上海闵行区民办德闳学校,,,0,,507.5
上海市新川中学,,,0,,658
上海嘉定区民办华盛怀少学校,,,0,,501
上海市第八中学,,,0,,648.5
上海市新场中学,,,0,,579
上海大学附属嘉定高级中学,,,0,,624
上海市长征中学,,,0,,634.5
上音安师,,,0,,687.5
上海市奉贤中学附属南桥中学,,,0,,657.5
上海奉贤区博华高级中学,,,0,,507.5
上海师范大学附属外国语中学,,,0,,655.5
上海音乐学院附属安师实验中学,,,0,,567
上海市洋泾中学南校,,,0,,672.5
上海市嘉定区嘉一实验高级中学,,,0,,670.5
上海宝山区世外学校,,,0,,661.5
华东政法大学附属中学,,,0,,645
上海市复旦附中,,2,0,,714.5
上海市第一中学,,,0,,622.5
上海市三林中学东校,,,0,,576
上海市七宝中学浦江分校,,,0,,673.5
城桥中学,,,0,,571.5
上海市民办丰华高级中学,,,0,,501.5
上海市闵行中学东校,,,0,,654
上海市青浦区东湖中学,,,0,,599
民办上海工商外国语职业学院附属中学,,,0,,490.5
上海市松江区科德高级中学,,,0,,509
上海市文建中学,,,0,,605.5
上海市金汇高级中学,,,0,,614.5
上海市松江区民办茸一中学,,,0,,624.5
上海赫贤学校,,,0,,503
美达菲,,,0,,533.5
上海浦东新区民办康德学校,,,0,,518.5
上海市建平世纪中学,,,0,,632.5
上海市建平中学筠溪分校,,,0,,690.5
上海市民办扬波中学,,,0,,557
上海市崇明区横沙中学,,,0,,505
上海市仙霞高级中学,,,0,,635.5
鲁迅中学,,,0,,628.5
上海市松江区第四中学,,,0,,585
上海师范大学附属嘉定高级中学,,,0,,646
上戏附中,,,0,,556.5
上海市同济黄浦设计创意中学,,11,0,,617
上海师范大学附属青浦实验中学,,,0,,626.5
上海市彭浦中学,,,0,,636.5
上海应用技术大学附属奉贤奉城高级中学,,,0,,616.5
上海市扬子中学,,,0,,585
华东师范大学附属天山学校,,,0,,662.5
华东理工大学附属中学,,,0,,628.5
上海市杨思高级中学,,,0,,641
上海市甘泉外国语中学,,,0,,571.5
华东师范大学附属东昌中学,,,0,,686.5
上海市泥城中学,,,0,,534
上海浦东新区民办籽奥高级中学,,,0,,510
上海市闵行区教育学院附属中学,,,0,,607
上海青浦区协和双语学校,,,0,,506.5
上海民办行中中学,,,0,,480
上海市奉贤区景秀高级中学,,,0,,591.5
西外外语,,,0,,563
上海民办位育中学,,,0,,658.5
上海市嘉定区安亭高级中学,,,0,,635
上海市嘉定区中光高级中学,,,0,,611
青浦世外,,,0,,628.5
上海浦东新区民办沪港学校,,,0,,513.5
上海市第五十四中学,,,0,,644
上海市七宝中学附属鑫都实验中学,,,0,,677
东鼎外语,,,0,,606.5
上海市浦东临港科技高级中学,,,0,,656.5
上海交通大学附属中学浦东实验高中,,,0,,614.5
上海闵行区诺达双语学校,,,0,,509.5
上海交通大学附属闵行实验学校,,,0,,680
华东理工大学附属浦东科技高级中学,,,0,,665
上海浦东新区民办宏文学校,,,0,,508
金山世外,,,0,,662
上海市高东中学,,,0,,567.5
同济大学附属七一中学,,,0,,603
上海青浦区宏润博源高级中学,,,0,,493.5
上海市民办育辛高级中学,,,0,,501
上海师范大学附属罗店中学,,,0,,659.5
上海市曹杨第二中学东校,,,0,,698.5
上海闵行区协和双语教科学校,,,0,,598.5
上海市市东实验学校,,,0,,663
同济澄衷,,,0,,612
上海金山区世外学校,,,0,,624
上海市崇明区堡镇中学,,,0,,515
上海市民办尚德实验学校,,,0,,586.5
上海浦东新区民办万科学校,,,0,,506
华东师范大学附属浦东临港高级中学,,,0,,654.5
上海市泾南中学,,,0,,581.5
华东政法大学附属松江高级中学,,,0,,672
上海市零陵中学,,,0,,638
上海市浦东外国语学校东校,,,0,,642
华东师范大学张江实验中学,,,0,,627
复旦复兴,,,0,,693.5
上海师范大学第二附属中学,,,0,,617
上海音乐学院附属黄浦比乐中学,,,0,,606
上海市交大附中,,2,0,,713.5
继光高级,,,0,,588
尚德实验,,,0,,641.5
华东师范大学附属枫泾中学,,,0,,590
上海海洋大学附属大团高级中学,,,0,,610.5
上海市向东中学,,,0,,586.5
上海市民办西南高级中学,,,0,,559
上海市老港中学,,,0,,543.5
上海市同济中学,,,0,,627
复旦大学第二附属中学,,,0,,696
华东师范大学松江实验高级中学,,,0,,631
上海市紫竹园中学,,,0,,607
华东师范大学第二附属中学金山实验学校,,,0,,675.5
上海民办民一中学,,,0,,441.5
上海市建青实验学校,,,0,,653
上海市松江区励滕高级中学,,,0,,501
上海市松江九峰实验学校,,,0,,640
上海市民立中学,,,0,,650
上海领科双语学校,,,0,,550.5
上海市西郊学校,,,0,,616
上海市上南中学,,,0,,659
宝山世外,,,0,,681.5
市复旦大学附属中学,,,1,,
领科双语,,,0,,678.5
上海市徐汇区董恒甫高级中学,,,0,,600
上海海事大学附属北蔡高级中学,,,0,,674.5
上海市浦东中学,,,0,,600
上海美达菲双语高级中学,,,0,,506.5
上海中医药大学附属浦江高级中学,,,0,,620
上海松江区爱菊学校,,,0,,501.5
上海市中原中学,,,0,,610
上海华旭双语学校,,,0,,492.5
上海市西南位育中学,,,0,,671
上师虹口,,,0,,654
上海市青浦区第二中学,,,0,,555.5
上海市宝山华曜高级中学,,,0,,506
华东师范大学附属闵行永德学校,,,0,,645.5
上海市莘庄中学,,,0,,679
上海立信会计金融学院附属高行中学,,,0,,637.5
上海戏剧学院附属高级中学,,,0,,588
上海市松江区立达中学,,,0,,609
上海浦东新区民办惠立学校,,,0,,502.5
协和双语,,,0,,588
上海市松江区弘毅南洋高级中学,,,0,,501
华东师范大学附属周浦中学,,,0,,667
上海市民办永昌中学,,,0,,501
上海对外经贸大学附属松江高级中学,,,0,,650.5
华东理工大学附属奉贤曙光中学,,,0,,659.5
上海市中国中学,,,0,,663.5
,,,,,
,,,,,
区,到校计划数合计,享受到校初中数,到校录取线覆盖初中数,平行志愿招生学校数,到区录取线高中数(接收)
浦东新区,2066,140,124,106,72
黄浦区,996,22,22,65,56
徐汇区,899,31,31,67,66
长宁区,418,18,18,58,59
静安区,1102,36,36,63,63
普陀区,736,41,41,62,60
虹口区,488,23,23,50,58
杨浦区,707,39,23,56,62
闵行区,1290,66,63,80,64
宝山区,1076,67,67,6,59
嘉定区,612,39,39,56,59
松江区,791,38,38,64,52
青浦区,766,31,31,54,44
奉贤区,345,42,42,46,39
金山区,360,28,28,40,38
崇明区,223,23,22,29,28
,,,,,
校验：到区计划合计=6601（应=7171）；到校计划合计=12875（16区计划CSV已全；与全市12904差29，系个别区计划表极少量未解析）。,,,,,
