2026 年上海中考 1-15志愿（平行志愿）统一招生录取最低分数线,,,,,,,,,,
,,,,,,,,,,
区,招生代码,招生学校,录取最低分,语数外,数学,语文,综合测试,是否同分优待,备注,
普陀区,173002,上海市松江区科德高级中学,554.5,313,88,112,107,否,未招满,
普陀区,173005,上海市松江区励滕高级中学,,,,,,,,
普陀区,174013,上海领科双语学校,598.5,345,101,105,115,否,,
普陀区,175018,上海市西外外国语学校,521.5,298,88,97,98,否,未招满,
普陀区,175024,上海赫贤学校,586,339,96,116,111,否,未招满,
普陀区,175025,上海松江区爱菊学校,640,374,114,117,127.5,否,,
普陀区,184006,上海青浦区世外高级中学,641.5,367.5,113,121,129,否,,
普陀区,184007,上海青浦区宏润博源高级中学,,,,,,,,
普陀区,185008,上海宋庆龄学校,668,398,121,137,124,否,,
普陀区,185014,上海青浦区协和双语学校,567.5,311,102,115,119,否,未招满,
普陀区,204020,上海美达菲双语高级中学,,,,,,,,
普陀区,514001,上海市崇明区城桥中学,551,307,106,110,111,否,未招满，  只招收经学校艺体特长测试合格的学生。,
普陀区,514004,上海市崇明区堡镇中学,590.5,349.5,96,124,99,否,,
普陀区,514010,上海民办民一中学,459,244.5,81,98,82,否,,
普陀区,514014,上海新纪元双语学校,,,,,,,,
杨浦区,,复旦大学附属中学,714,424,146,133,144,否,,
杨浦区,,上海交通大学附属中学,714,422,150,125,146,否,,
杨浦区,,华东师范大学第二附属中学,714,424,146,133,146,否,,
杨浦区,,上海市上海中学,715.5,422.5,146,133,149,否,,
杨浦区,,上海市控江中学,699.5,412,132,131,143,否,,
杨浦区,,上海市杨浦高级中学,691.5,407.5,144,123,139,否,,
杨浦区,,同济大学第一附属中学,686,397,136,123,144,否,,
杨浦区,,复旦大学第二附属中学,696,406,133,134,145,否,,
杨浦区,,上海理工大学附属中学,673.5,394.5,126,124,134,否,,
杨浦区,,上海市市东实验学校,663,382,115,131,136,否,,
杨浦区,,上海财经大学附属中学,650.5,387.5,124,129,123,否,,
杨浦区,,上海市复旦实验中学,640.5,373.5,124,119,132,否,,
杨浦区,,上海市同济中学,627,375,98,133,108,否,,
杨浦区,,上海市中原中学,610,349,104,117,122,否,,
杨浦区,,上海理工大学附属杨浦少云中学,593.5,331.5,104,106,122,否,,
杨浦区,,上海市民星中学,550.5,326.5,100,116,91,否,,
杨浦区,,上海体育大学附属中学,516.5,303.5,85,106,90,否,,
杨浦区,,上海市民办上实剑桥外国语中学,506,288,63,100,104,否,未录满,
杨浦区,,上海市同济黄浦设计创意中学,662,383.5,125,117,137,否,,
杨浦区,,上海市久隆模范中学,653,377,127,122,130,否,,
杨浦区,,上海田家炳中学,655.5,374.5,118,121,136,否,,
杨浦区,,上海市民办风范中学,534,293.5,100,90,111,否,未录满,
杨浦区,,上海戏剧学院附属高级中学,634,375,117,130,117,否,,
杨浦区,,上海音乐学院附属安师实验中学,620.5,358.5,108,117,120,否,,
杨浦区,,上海市民办燎原双语高级中学,605,348,91,119,113,否,,
杨浦区,,上海民办行中中学,506.5,278.5,81,112,81,否,,
杨浦区,,上海存志高级中学,653.5,382,124,121,132,否,,
杨浦区,,上海宝山区民办维尚高级中学,533,286,92,110,108,否,未录满,
杨浦区,,上海创艺高级中学,497,292.5,85,109,76,否,未录满,
杨浦区,,上海市宝山华曜高级中学,648,367,111,121,140,否,,
杨浦区,,上海市同洲模范学校,583.5,316,109,105,129,否,,
杨浦区,,上海宝山区世外学校,676,398,127,128,134,否,,
杨浦区,,上海市民办丰华高级中学,542,308,87,102,105,否,,
杨浦区,,民办上海工商外国语职业学院附属中学,550,312,80,117,102,否,未录满,
杨浦区,,上海市民办金苹果学校,609.5,347.5,99,109,120,否,,
杨浦区,,上海浦东新区民办东鼎外国语学校,596.5,347.5,96,113,114,否,,
杨浦区,,上海市民办尚德实验学校,657.5,386,121,122,133,否,,
杨浦区,,上海市民办交大南洋中学,507.5,276.5,82,107,95,否,未录满,
杨浦区,,上海金山区世外学校,643.5,371.5,110,126,135,否,,
杨浦区,,上海市松江九峰实验学校,652.5,378.5,125,119,134,否,,
杨浦区,,上海青浦区世外高级中学,627.5,360.5,118,106,125,否,,
杨浦区,,上海宋庆龄学校,631,376,129,115,118,否,,
杨浦区,,上海青浦区协和双语学校,626,369,102,126,117,否,未录满,
杨浦区,,上海奉贤区博华高级中学,541,290,100,112,111,否,未录满,
杨浦区,,上海市崇明区城桥中学,603.5,342.5,107,113,126,否,未录满,
杨浦区,,上海市崇明区堡镇中学,515,275,76,91,106,否,,
杨浦区,,上海民办民一中学,451,248,62,89,82,否,未录满,
杨浦区,,上海安生学校,,,,,,,,
杨浦区,,上海金瑞学校,,,,,,,,
杨浦区,,上海市民办远东学校,,,,,,,,
杨浦区,,上海华旭双语学校,,,,,,,,
杨浦区,,上海嘉定区民办华盛怀少学校,,,,,,,,
杨浦区,,上海市民办永昌中学,,,,,,,,
杨浦区,,上海市西外外国语学校,,,,,,,,
杨浦区,,上海青浦区宏润博源高级中学,,,,,,,,
杨浦区,,上海美达菲双语高级中学,,,,,,,,
松江区,42032,上海市上海中学,717.5,426.5,146,137,145,否,,
松江区,64020,上海田家炳中学,637,373,117,123,126,否,,
松江区,69004,上海戏剧学院附属高级中学,635.5,367.5,117,111,128,否,,
松江区,74081,上海安生学校,517.5,302,95,101,89,否,,
松江区,79016,上海音乐学院附属安师实验中学,648,378,129,112,132,否,,
松江区,102056,上海交通大学附属中学,717.5,422.5,145,131,146,否,,
松江区,102057,复旦大学附属中学,716,424,146,129,142,否,,
松江区,124108,上海市文来中学,648,372,121,117,134,否,,
松江区,124109,上海市民办文绮中学,634.5,379.5,129,117,118,否,,
松江区,124116,上海市民办燎原双语高级中学,606.5,352.5,111,116,114,否,,
松江区,124118,上海圣华紫竹高级中学,控分线上无人录取,控分线上无人录取,控分线上无人录取,控分线上无人录取,控分线上无人录取,控分线上无人录取,未录满,
松江区,125119,上海闵行区民办德闳学校,516.5,295.5,87,111,92,否,,
松江区,134010,上海民办行中中学,488.5,258,77,104,107,否,未录满,
松江区,134012,上海存志高级中学,628.5,352,109,120,130,否,,
松江区,134013,上海宝山区民办维尚高级中学,控分线上无人录取,控分线上无人录取,控分线上无人录取,控分线上无人录取,控分线上无人录取,控分线上无人录取,未录满,
松江区,134014,上海创艺高级中学,510.5,289.5,84,111,89,否,,
松江区,134015,上海市宝山华曜高级中学,582.5,324.5,106,112,123,否,,
松江区,135001,上海市同洲模范学校,541.5,299.5,108,115,112,否,,
松江区,135003,上海金瑞学校,控分线上无人录取,控分线上无人录取,控分线上无人录取,控分线上无人录取,控分线上无人录取,控分线上无人录取,未录满,
松江区,135034,上海宝山区世外学校,684.5,399,142,119,142,否,,
松江区,145007,上海市民办远东学校,579,331.5,99,116,110,否,,
松江区,145018,上海华旭双语学校,控分线上无人录取,控分线上无人录取,控分线上无人录取,控分线上无人录取,控分线上无人录取,控分线上无人录取,未录满,
松江区,145030,上海嘉定区民办华盛怀少学校,502,268,61,106,99,否,未录满,
松江区,152003,华东师范大学第二附属中学,716,421,146,131,149,否,,
松江区,152006,上海师范大学附属中学,700.5,410.5,138,126,145,否,,
松江区,154033,上海市浦东新区民办浦实高级中学,567,327,106,118,108,否,,
松江区,154039,上海市民办丰华高级中学,580.5,323.5,95,113,113,否,,
松江区,154048,民办上海工商外国语职业学院附属中学,582,335.5,102,114,111,否,,
松江区,155041,上海浦东新区民办东鼎外国语学校,568,319,105,101,118,否,,
松江区,155043,上海市民办尚德实验学校,612.5,355.5,106,117,117,否,,
松江区,164005,上海市民办交大南洋中学,543.5,312.5,87,116,101,否,,
松江区,164008,上海市民办永昌中学,516.5,258.5,94,111,122,否,未录满,
松江区,165004,上海金山区世外学校,629,357,113,119,134,否,,
松江区,172001,上海市松江二中,696,410,150,125,144,否,,
松江区,172002,华东师范大学第二附属中学松江分校,702.5,414.5,147,126,142,否,,
松江区,172003,华东政法大学附属松江高级中学,672,396,135,121,136,否,,
松江区,172004,上海师范大学附属中学松江分校,689.5,407.5,142,123,139,否,,
松江区,173001,上海市松江一中,685.5,407.5,141,130,136,否,,
松江区,173002,上海市松江区科德高级中学,509,269,86,109,109,否,未录满,
松江区,173003,东华大学附属松江高级中学,651,376.5,103,135,131,否,,
松江区,173004,上海对外经贸大学附属松江高级中学,650.5,379,108,126,133,否,,
松江区,173005,上海市松江区励滕高级中学,508.5,282.5,79,112,90,否,未录满,
松江区,173006,上海市松江区弘毅南洋高级中学,501,265.5,67,114,105,否,未录满,
松江区,174001,上海市松江区立达中学,609,359,115,113,114,否,,
松江区,174002,上海市松江区第四中学,585,332,110,113,121,否,,
松江区,174003,上海外国语大学附属外国语学校松江云间中学,692,401,125,129,146,否,,
松江区,174007,上海市松江区民办茸一中学,624.5,357,110,120,131,否,,
松江区,174008,上海市松江九峰实验学校,640,375.5,103,125,122,否,,
松江区,174009,上海师范大学附属外国语中学,655.5,385.5,122,120,129,否,,
松江区,174013,上海领科双语学校,621,364,104,125,121,否,,
松江区,174016,华东师范大学松江实验高级中学,631,367.5,110,119,122,否,,
松江区,175018,上海市西外外国语学校,546,298.5,88,127,114,否,,
松江区,175024,上海赫贤学校,503,250,64,117,114,否,未录满,
松江区,175025,上海松江区爱菊学校,501.5,286.5,92,108,86,否,未录满,
松江区,184006,上海青浦区世外高级中学,627.5,372,118,120,116,否,,
松江区,184007,上海青浦区宏润博源高级中学,控分线上无人录取,控分线上无人录取,控分线上无人录取,控分线上无人录取,控分线上无人录取,控分线上无人录取,未录满,
松江区,185008,上海宋庆龄学校,645,367,108,120,135,否,,
松江区,185014,上海青浦区协和双语学校,506.5,293,84,111,86,否,,
松江区,204020,上海美达菲双语高级中学,523,290.5,84,107,100,否,未录满,
松江区,204021,上海奉贤区博华高级中学,556.5,316.5,72,118,102,否,,
松江区,514001,上海市崇明区城桥中学,控分线上无人录取,控分线上无人录取,控分线上无人录取,控分线上无人录取,控分线上无人录取,控分线上无人录取,未录满,
松江区,514004,上海市崇明区堡镇中学,584.5,347.5,90,116,104,否,,
松江区,514010,上海民办民一中学,524,300,84,112,95,否,,
松江区,514014,上海新纪元双语学校,493,270,84,112,87,否,未录满,
虹口区,,同济创意,628,360.5,92,128,125,否,,
虹口区,,上海市上海中学,716.5,424.5,143,133,146,否,,
虹口区,,上海田家炳中学,653,381,127,125,133,否,,
虹口区,,上海市民办扬波中学,584,345,108,120,106,否,,
虹口区,,上海市民办风范中学,580,331.5,100,108,106,否,,
虹口区,,上戏附中,556.5,312,84,121,108,否,,
虹口区,,上海安生学校,558,306,78,116,116,否,,
虹口区,,上音安师,687.5,406.5,142,127,136,否,,
虹口区,,复旦复兴,693.5,412.5,133,131,140,否,,
虹口区,,师大一附,682.5,399.5,126,127,137,否,,
虹口区,,上财北郊,677.5,392.5,133,114,139,否,,
虹口区,,上音北虹,640.5,369.5,116,125,130,否,,
虹口区,,继光高级,588,344.5,87,122,110,否,,
虹口区,,鲁迅中学,628.5,366.5,119,121,124,否,,
虹口区,,五十二中,534,294,109,109,102,否,,
虹口区,,上师虹口,654,387,116,126,128,否,,
虹口区,,同济澄衷,612,355,98,119,115,否,,
虹口区,,上海市交大附中,713.5,422.5,150,124,143,否,,
虹口区,,上海市复旦附中,714.5,421.5,143,131,146,否,,
虹口区,,上海民办行中中学,537,313,85,114,88,否,,
虹口区,,上海存志高级中学,668.5,400.5,133,128,126,否,,
虹口区,,上海创艺高级中学,581,328.5,101,105,119,否,,
虹口区,,华曜高级,639,363.5,106,118,138,否,,
虹口区,,上海市同洲模范学校,588,343.5,118,112,113,否,,
虹口区,,宝山世外,681.5,394.5,136,117,142,否,,
虹口区,,远东学校,560.5,319,101,106,102,否,,
虹口区,,师大二附,712.5,426.5,150,130,139,否,,
虹口区,,上海市民办丰华高级中学,581.5,346.5,99,116,100,否,,
虹口区,,上海市民办金苹果学校,576.5,331.5,88,105,114,否,,
虹口区,,东鼎外语,606.5,333,120,99,131,否,,
虹口区,,尚德实验,641.5,369.5,120,113,133,否,,
虹口区,,上海市民办交大南洋中学,568,320.5,92,106,118,否,,
虹口区,,上海市民办永昌中学,547.5,280.5,105,106,131,否,,
虹口区,,金山世外,662,383,112,129,136,否,,
虹口区,,领科双语,678.5,389,130,121,143,否,,
虹口区,,西外外语,563,345.5,104,118,88,否,,
虹口区,,上海赫贤学校,580,328,87,113,108,否,,
虹口区,,青浦世外,628.5,370.5,128,116,120,否,,
虹口区,,上海宋庆龄学校,526.5,301.5,61,118,95,否,,
虹口区,,协和双语,588,336.5,91,106,116,否,,
虹口区,,美达菲,533.5,308.5,93,111,92,否,,
虹口区,,博华高级,560,307.5,124,114,115,否,,
虹口区,,城桥中学,571.5,330.5,97,123,112,否,未招满,
虹口区,,上海民办民一中学,512,289.5,71,90,91,否,,
虹口区,,上海市久隆模范中学,,,,,,,,
虹口区,,维尚高级,,,,,,,,
虹口区,,上海金瑞学校,,,,,,,,
虹口区,,华旭双语,,,,,,,,
虹口区,,华盛怀少,,,,,,,,
虹口区,,宏润博源,,,,,,,,
金山区,042032,上海市上海中学,716,423,148,129,147,否,,
金山区,064020,上海田家炳中学,644,375,132,130,131,否,,
金山区,069004,上海戏剧学院附属高级中学,622.5,354.5,109,122,127,否,,
金山区,074081,上海安生学校,,,,,,,线上无生源,
金山区,102056,上海交通大学附属中学,715.5,420.5,144,129,148,否,,
金山区,102057,复旦大学附属中学,717,429,146,139,143,否,,
金山区,124109,上海市民办文绮中学,640.5,364.5,115,113,132,否,,
金山区,124118,上海圣华紫竹高级中学,,,,,,,线上无生源,
金山区,134010,上海民办行中中学,486,274,81,108,93.5,否,未录满,
金山区,134012,上海存志高级中学,617,367,108,124,109,否,,
金山区,134013,上海宝山区民办维尚高级中学,,,,,,,线上无生源,
金山区,134014,上海创艺高级中学,546,311.5,100,116,104,否,,
金山区,134015,上海市宝山华曜高级中学,547.5,324.5,105,113,98,否,未录满,
金山区,135034,上海宝山区世外学校,661.5,380,131,113,141,否,,
金山区,145030,上海嘉定区民办华盛怀少学校,,,,,,,线上无生源,
金山区,152003,华东师范大学第二附属中学,715,424,150,130,144,否,,
金山区,152006,上海师范大学附属中学,711.5,422.5,149,129,142,否,,
金山区,155041,上海浦东新区民办东鼎外国语学校,,,,,,,线上无生源,
金山区,155043,上海市民办尚德实验学校,639.5,364.5,113,123,132,否,,
金山区,162000,上海市金山中学,685.5,406.5,136,128,136,否,,
金山区,163000,上海市张堰中学,642.5,382.5,117,125,117,否,,
金山区,163001,上海师范大学第二附属中学,617,350,96,119,125,否,,
金山区,163002,华东师范大学第三附属中学,665,392,122,130,133,否,,
金山区,164000,华东师范大学附属枫泾中学,590,344,96,118,105,否,,
金山区,164002,上海体育大学附属金山亭林中学,555,299.5,87,117,123,否,,
金山区,164005,上海市民办交大南洋中学,510.5,267.5,89,111,106,否,,
金山区,164008,上海市民办永昌中学,501,263,77,111,101,否,未录满,
金山区,165004,上海金山区世外学校,649.5,377.5,115,122,124,否,,
金山区,165009,华东师范大学第二附属中学金山实验学校,675.5,397.5,139,118,138,否,,
金山区,173005,上海市松江区励滕高级中学,,,,,,,线上无生源,
金山区,175018,上海市西外外国语学校,563.5,313,76,115,108,否,,
金山区,175024,上海赫贤学校,,,,,,,线上无生源,
金山区,175025,上海松江区爱菊学校,,,,,,,线上无生源,
金山区,184006,上海青浦区世外高级中学,592.5,333.5,82,108,124,否,,
金山区,185014,上海青浦区协和双语学校,,,,,,,线上无生源,
金山区,204020,上海美达菲双语高级中学,,,,,,,线上无生源,
金山区,204021,上海奉贤区博华高级中学,547.5,299.5,99,110,118,否,,
金山区,514001,上海市崇明区城桥中学,,,,,,,线上无生源,
金山区,514004,上海市崇明区堡镇中学,564.5,341.5,96,113,89,否,,
金山区,514010,上海民办民一中学,452,257,64,102,75,否,未录满,
长宁区,052001,上海市第三女子中学,685.5,,,,,否,,
长宁区,052002,上海市延安中学,694,415,144,124,139,否,,
长宁区,053003,华东师范大学附属天山学校,662.5,,,,,否,,
长宁区,053004,上海市复旦中学,690,404,133,129,142,否,,
长宁区,053005,上海市建青实验学校,653,387,117,126,131,否,,
长宁区,054010,上海市西郊学校,616,363,111,125,116,否,,
长宁区,054013,华东政法大学附属中学,645,385,124,117,119,否,,
长宁区,054030,上海市仙霞高级中学,635.5,362.5,98,126,129,否,,
长宁区,054043,上海市民办新虹桥中学,503,,,,,否,未招满,
长宁区,014006,上海市同济黄浦设计创意中学,649,,,,,否,,
长宁区,042032,上海市上海中学,713.5,,,,,否,,
长宁区,044083,上海市民办西南高级中学,630,,,,,否,,
长宁区,063008,上海市久隆模范中学,597,,,,,否,,
长宁区,069004,上海戏剧学院附属高级中学（艺术,,,,,,,,
长宁区,616,,,,,否,,,,
长宁区,074081,上海安生学校,591,,,,,否,,
长宁区,079016,上海音乐学院附属安师实验中学,,,,,,,,
长宁区,598,,,,,否,,,,
长宁区,102056,上海交通大学附属中学,714.5,,,,,否,,
长宁区,102057,复旦大学附属中学,715,,,,,否,,
长宁区,124116,上海市民办燎原双语高级中学,607.5,,,,,否,,
长宁区,125117,上海闵行区诺达双语学校,599.5,,,,,否,未招满,
长宁区,125119,上海闵行区民办德闳学校,,,,,,,,
长宁区,134010,上海民办行中中学,531.5,,,,,否,,
长宁区,134012,上海存志高级中学,650,,,,,否,,
长宁区,134013,上海宝山区民办维尚高级中学,,,,,,,,
长宁区,134014,上海创艺高级中学,546.5,,,,,否,,
长宁区,134015,上海市宝山华曜高级中学,609.5,,,,,否,,
长宁区,135001,上海市同洲模范学校,607.5,,,,,否,,
长宁区,135003,上海金瑞学校,590.5,,,,,否,,
长宁区,135034,上海宝山区世外学校,687.5,,,,,否,,
长宁区,145007,上海市民办远东学校,602.5,340,136,109,124,否,,
长宁区,145018,上海华旭双语学校,,,,,,,,
长宁区,145030,上海嘉定区民办华盛怀少学校,,,,,,,,
长宁区,152003,华东师范大学第二附属中学,712.5,,,,,否,,
长宁区,152006,上海师范大学附属中学,702.5,,,,,否,,
长宁区,154039,上海市民办丰华高级中学,610,,,,,否,,
长宁区,154048,民办上海工商外国语职业学院附属中学,597,,,,,否,,
长宁区,155013,上海市民办金苹果学校,602,,,,,否,,
长宁区,155041,上海浦东新区民办东鼎外国语学校,598,,,,,否,,
长宁区,155043,上海市民办尚德实验学校,644.5,,,,,否,,
长宁区,164005,上海市民办交大南洋中学,591,355,109,110,102,否,,
长宁区,164008,上海市民办永昌中学,575,,,,,否,未招满,
长宁区,165004,上海金山区世外学校,652.5,,,,,否,,
长宁区,173002,上海市松江区科德高级中学,601.5,,,,,否,未招满,
长宁区,173005,上海市松江区励滕高级中学,,,,,,,,
长宁区,174013,上海领科双语学校,617,,,,,否,,
长宁区,175018,上海市西外外国语学校,540.5,,,,,否,,
长宁区,175024,上海赫贤学校,543,,,,,否,,
长宁区,175025,上海松江区爱菊学校,635,,,,,否,未招满,
长宁区,184006,上海青浦区世外高级中学,611.5,,,,,否,,
长宁区,184007,上海青浦区宏润博源高级中学,,,,,,,,
长宁区,185008,上海宋庆龄学校,670,,,,,否,,
长宁区,185014,上海青浦区协和双语学校,535,,,,,否,,
长宁区,204020,上海美达菲双语高级中学,,,,,,,,
长宁区,204021,上海奉贤区博华高级中学,601.5,,,,,否,,
长宁区,514001,上海市崇明区城桥中学,547,,,,,否,,
长宁区,514004,上海市崇明区堡镇中学,612.5,,,,,否,,
长宁区,514010,上海民办民一中学,477,,,,,否,,
闵行区,012006,上海市向明中学,696.0,411.0,143.0,128.0,143.0,,,
闵行区,014006,上海市同济黄浦设计创意中学,646.0,377.0,112.0,127.0,128.0,,,
闵行区,042002,上海市第二中学,698.5,409.5,143.0,125.0,142.0,,,
闵行区,042032,上海市上海中学,718.0,424.0,142.0,134.0,148.0,,,
闵行区,044083,上海市民办西南高级中学,633.0,370.0,112.0,118.0,121.0,,,
闵行区,063008,上海市久隆模范中学,615.0,356.0,106.0,123.0,117.0,,,
闵行区,064020,上海田家炳中学,650.0,376.5,126.0,123.0,136.0,,,
闵行区,069004,上海戏剧学院附属高级中学,617.0,353.0,109.0,124.0,120.0,,,
闵行区,074081,上海安生学校,502.5,283.5,80.0,110.0,97.0,,未招满,
闵行区,079016,上海音乐学院附属安师实验中学,607.5,357.5,109.0,116.0,112.0,,,
闵行区,102056,上海交通大学附属中学,718.0,420.0,144.0,129.0,149.0,,,
闵行区,102057,复旦大学附属中学,717.5,424.5,150.0,130.0,146.0,,,
闵行区,122001,上海市七宝中学,705.0,415.0,144.0,127.0,146.0,,,
闵行区,122002,华东师范大学第二附属中学闵行紫竹分校,702.5,408.5,133.0,129.0,145.0,,,
闵行区,122003,上海师范大学附属中学闵行分校,699.5,410.0,142.0,124.0,144.0,,,
闵行区,122004,上海交通大学附属中学闵行分校,704.5,419.5,143.0,129.0,139.0,,,
闵行区,123001,上海市闵行中学,694.0,401.0,125.0,133.0,147.0,,,
闵行区,123002,上海市莘庄中学,679.0,397.0,129.0,122.0,135.0,,,
闵行区,123003,上海外国语大学闵行外国语中学,688.5,403.5,141.0,124.0,144.0,,,
闵行区,124005,华东理工大学附属闵行科技高级中学,661.0,382.5,131.0,115.0,139.0,,,
闵行区,124006,上海市闵行第三中学,666.5,,,,,,,
闵行区,124011,上海市七宝中学附属鑫都实验中学,677.0,398.0,125.0,128.0,135.0,,,
闵行区,124012,上海市闵行中学东校,654.0,377.0,118.0,122.0,136.0,,,
闵行区,124013,上海市闵行区实验高级中学,639.5,,,,,,,
闵行区,124015,上海市七宝中学浦江分校,673.5,393.5,129.0,126.0,138.0,,,
闵行区,124019,上海中医药大学附属浦江高级中学,620.0,357.5,94.0,125.0,125.0,,,
闵行区,124020,上海市金汇高级中学,614.5,345.5,113.0,115.0,127.0,,,
闵行区,124022,北京外国语大学附属上海闵行田园高级中学,652.0,372.0,115.0,122.0,135.0,,,
闵行区,124024,上海市古美高级中学,634.0,374.0,123.0,119.0,118.0,,,
闵行区,124108,上海市文来中学,665.0,385.0,116.0,127.0,132.0,,,
闵行区,124109,上海市民办文绮中学,623.5,355.0,113.0,122.0,131.0,,,
闵行区,124114,上海市闵行区教育学院附属中学,607.0,371.5,123.0,118.0,100.0,,,
闵行区,124115,上海闵行区协和双语教科学校,598.5,359.5,100.0,126.0,101.0,,,
闵行区,124116,上海市民办燎原双语高级中学,596.5,337.5,92.0,109.0,121.0,,,
闵行区,124117,上海闵行区诺美高级中学,508.0,295.0,77.0,120.0,79.0,,未招满,
闵行区,124118,上海圣华紫竹高级中学,509.0,293.0,71.0,116.0,84.0,,未招满,
闵行区,125008,上海交通大学附属闵行实验学校,680.0,401.0,124.0,130.0,134.0,,,
闵行区,125028,华东师范大学附属闵行永德学校,645.5,374.5,130.0,124.0,133.0,,,
闵行区,125115,上海闵行区万科双语学校,558.0,323.5,94.0,121.0,104.0,,,
闵行区,125117,上海闵行区诺达双语学校,509.5,318.0,87.0,94.0,84.0,,未招满,
闵行区,125119,上海闵行区民办德闳学校,507.5,304.5,94.0,100.0,75.0,,未招满,
闵行区,134010,上海民办行中中学,486.5,282.0,82.0,105.0,83.0,,,
闵行区,134012,上海存志高级中学,621.0,355.0,110.0,115.0,124.0,,,
闵行区,134013,上海宝山区民办维尚高级中学,501,,,,,,未招满,
闵行区,134014,上海创艺高级中学,488.0,293.0,79.0,100.0,65.0,,未招满,
闵行区,134015,上海市宝山华曜高级中学,576.5,332.0,97.0,107.0,105.0,,,
闵行区,135001,上海市同洲模范学校,569.5,308.0,96.0,112.0,123.0,,,
闵行区,135003,上海金瑞学校,506.0,277.0,115.0,108.0,96.0,,未招满,
闵行区,135034,上海宝山区世外学校,685.5,399.5,127.0,128.0,142.0,,,
闵行区,145007,上海市民办远东学校,592.5,366.5,103.0,121.0,92.0,,,
闵行区,145018,上海华旭双语学校,549.0,310.5,105.0,109.0,111.0,,未招满,
闵行区,145030,上海嘉定区民办华盛怀少学校,501,,,,,,未招满,
闵行区,152003,华东师范大学第二附属中学,717.5,425.0,147.0,133.0,149.0,,,
闵行区,152006,上海师范大学附属中学,702.0,416.0,146.0,122.0,145.0,,,
闵行区,154033,上海市浦东新区民办浦实高级中学,560.5,309.5,101.0,121.0,112.0,,,
闵行区,154039,上海市民办丰华高级中学,594.0,332.0,107.0,109.0,123.0,,,
闵行区,154048,民办上海工商外国语职业学院附属中学,588.0,342.5,120.0,110.0,117.0,,,
闵行区,155013,上海市民办金苹果学校,561.5,303.0,96.0,117.0,122.0,,,
闵行区,155041,上海浦东新区民办东鼎外国语学校,570.0,322.0,77.0,112.0,110.0,,,
闵行区,155043,上海市民办尚德实验学校,633.5,372.5,126.0,107.0,131.0,,,
闵行区,164005,上海市民办交大南洋中学,579.0,330.0,87.0,109.0,106.0,,,
闵行区,164008,上海市民办永昌中学,501.5,269.5,74.0,112.0,92.0,,未招满,
闵行区,165004,上海金山区世外学校,636.5,363.0,114.0,113.0,130.0,,,
闵行区,173002,上海市松江区科德高级中学,544.5,322.5,104.0,90.0,94.0,,未招满,
闵行区,173005,上海市松江区励滕高级中学,501,,,,,,未招满,
闵行区,174008,上海市松江九峰实验学校,653.5,382.5,116.0,130.0,128.0,,,
闵行区,174013,上海领科双语学校,603.0,355.0,99.0,123.0,113.0,,,
闵行区,175018,上海市西外外国语学校,569.0,332.0,84.0,125.0,99.0,,,
闵行区,175024,上海赫贤学校,532.5,289.5,104.0,97.0,106.0,,未招满,
闵行区,175025,上海松江区爱菊学校,632.0,362.5,100.0,125.0,132.0,,,
闵行区,184006,上海青浦区世外高级中学,507.0,271.0,68.0,79.0,100.0,,未招满,
闵行区,184007,上海青浦区宏润博源高级中学,500.5,287.0,76.0,122.0,82.0,,未招满,
闵行区,185008,上海宋庆龄学校,626.5,375.5,132.0,113.0,119.0,,,
闵行区,185014,上海青浦区协和双语学校,515.0,288.0,95.0,108.0,94.0,,未招满,
闵行区,204020,上海美达菲双语高级中学,514.5,270.0,105.0,99.0,107.0,,未招满,
闵行区,204021,上海奉贤区博华高级中学,578.0,339.0,95.0,120.0,103.0,,,
闵行区,514001,上海市崇明区城桥中学,554.5,317.0,90.0,121.0,103.0,,,
闵行区,514004,上海市崇明区堡镇中学,607.0,354.0,103.0,114.0,119.0,,,
闵行区,514010,上海民办民一中学,490.0,257.0,91.0,121.0,101.0,,,
闵行区,514014,上海新纪元双语学校,468.0,272.5,69.0,80.0,97.0,,未招满,
青浦区,,上海市上海中学,718.5,426.5,147,137,144,否,,
青浦区,,上海田家炳中学,639.0,366.0,120,116,131,否,,
青浦区,,上海戏剧学院附属高级中学,609.5,354.5,100,116,116,否,,
青浦区,,上海安生学校,,,,,,,未录满,
青浦区,,上海音乐学院附属安师实验中学,631.0,375.0,116,120,112,否,,
青浦区,,上海交通大学附属中学,716.5,422.5,148,127,145,否,,
青浦区,,复旦大学附属中学,715.5,422.5,143,131,147,否,,
青浦区,,上海市民办燎原双语高级中学,574.5,347.0,94,116,92,否,,
青浦区,,上海圣华紫竹高级中学,,,,,,,未录满,
青浦区,,上海闵行区诺达双语学校,,,,,,,未录满,
青浦区,,上海民办行中中学,480.0,253.0,94,109,97,否,未录满,
青浦区,,上海存志高级中学,641.5,373.5,113,121,128,否,,
青浦区,,上海创艺高级中学,586.0,347.5,89,130,99.5,否,未录满,
青浦区,,上海市宝山华曜高级中学,514.0,299.0,90,91,81,否,未录满,
青浦区,,上海市同洲模范学校,503.5,285.0,81,111,91,否,未录满,
青浦区,,上海金瑞学校,,,,,,,未录满,
青浦区,,上海宝山区世外学校,681.0,399.0,126,126,137,否,,
青浦区,,上海市民办远东学校,529.0,298.0,109,99,97,否,,
青浦区,,上海华旭双语学校,,,,,,,未录满,
青浦区,,上海嘉定区民办华盛怀少学校,,,,,,,未录满,
