2026 年上海中考 1-15志愿（平行志愿）统一招生录取最低分数线,,,,,,,,,,
,,,,,,,,,,
区,招生代码,招生学校,录取最低分,语数外,数学,语文,综合测试,是否同分优待,备注,
浦东新区,135034,上海宝山区世外学校,684.5,399.5,130,126,141,否,,
浦东新区,135003,上海金瑞学校,535.5,317,102,98,92,否,未录满,
浦东新区,134013,上海宝山区民办维尚高级中学,,,,,,,否,未录满
浦东新区,145030,上海嘉定区民办华盛怀少学校,522.5,316.5,83,108,83.5,否,未录满,
浦东新区,145018,上海华旭双语学校,,,,,,,否,未录满
浦东新区,164005,上海市民办交大南洋中学,560.5,308,94,104,123,否,,
浦东新区,165004,上海金山区世外学校,639,390.5,116,128,114,否,,
浦东新区,164008,上海市民办永昌中学,,,,,,,否,未录满
浦东新区,173002,上海市松江区科德高级中学,566,324,116,104,103,否,未录满,
浦东新区,173005,上海市松江区励滕高级中学,,,,,,,否,未录满
浦东新区,174013,上海领科双语学校,643.5,374,124,115,133,否,,
浦东新区,175018,上海市西外外国语学校,521,302.5,84,98,93,否,,
浦东新区,175024,上海赫贤学校,551.5,322.5,96,111,99.5,否,未录满,
浦东新区,175025,上海松江区爱菊学校,620.5,376,116,124,103,否,,
浦东新区,184006,上海青浦区世外高级中学,638,388.5,113,133,124.5,否,,
浦东新区,184007,上海青浦区宏润博源高级中学,613,360,106,113,117,否,未录满,
浦东新区,185008,上海宋庆龄学校,666,395,130,127,132,否,,
浦东新区,185014,上海青浦区协和双语学校,529,316,53,124,75,否,未录满,
浦东新区,204020,上海美达菲双语高级中学,511,276.5,91,106,105,否,未录满,
浦东新区,204021,上海奉贤区博华高级中学,556.5,317.5,111,110,107,否,,
浦东新区,514001,上海市崇明区城桥中学,560.5,309.5,93,122,113,否,未录满,
浦东新区,514010,上海民办民一中学,483.5,242.5,74,117,105,否,,
浦东新区,514004,上海市崇明区堡镇中学,559,308,108,117,120,否,,
浦东新区,514014,上海新纪元双语学校,480.5,259.5,92,122,85,否,,
嘉定区,,上海市嘉定区第一中学,688,402,141,,,,,
嘉定区,,上海交通大学附属中学嘉定分校,699,406.5,,,,,,
嘉定区,,上海师范大学附属中学嘉定新城分校,690.5,405.5,,,,,,
嘉定区,,上海市嘉定区第二中学,658.5,396.5,,,,,,
嘉定区,,上海市嘉定区嘉一实验高级中学,670.5,393.5,,,,,,
嘉定区,,上海师范大学附属嘉定高级中学,646,375,123,,,,,
嘉定区,,上海市嘉定区安亭高级中学,635,372.5,120,,,,,
嘉定区,,上海大学附属嘉定高级中学,624,358.5,,,,,,
嘉定区,,上海市嘉定区中光高级中学,611,351,,,,,,
