序号,招生代码,学校名称,所属区,区代码,办别,学校类型代码,学校类型,寄宿情况代码,寄宿情况,计划区域代码,计划区域,计划数
1,042032,上海市上海中学,上海市,SH,PUBLIC,CITY_MODEL,市实验性示范性高中,全部寄宿,ALL,全市,286
2,102056,上海交通大学附属中学,上海市,SH,PUBLIC,CITY_MODEL,市实验性示范性高中,部分寄宿,ALL,全市,319
3,102057,复旦大学附属中学,上海市,SH,PUBLIC,CITY_MODEL,市实验性示范性高中,部分寄宿,ALL,全市,255
4,152003,华东师范大学第二附属中学,上海市,SH,PUBLIC,CITY_MODEL,市实验性示范性高中,部分寄宿,ALL,全市,280
5,152006,上海师范大学附属中学,上海市,SH,PUBLIC,CITY_MODEL,市实验性示范性高中,部分寄宿,ALL,全市,187
6,155001,上海市实验学校,上海市,SH,PUBLIC,CITY_MODEL,市实验性示范性高中,部分寄宿,ALL,全市,52
7,012001,上海市格致中学,黄浦区,HP,PUBLIC,CITY_MODEL,市实验性示范性高中,部分寄宿,ALL,全市,126
8,012003,上海市大同中学,黄浦区,HP,PUBLIC,CITY_MODEL,市实验性示范性高中,部分寄宿,ALL,全市,136
9,012005,上海市向明中学,黄浦区,HP,PUBLIC,CITY_MODEL,市实验性示范性高中,无寄宿,ALL,全市,59
10,012007,上海外国语大学附属大境中学,黄浦区,HP,PUBLIC,CITY_MODEL,市实验性示范性高中,部分寄宿,ALL,全市,96
11,012008,上海市光明中学,黄浦区,HP,PUBLIC,CITY_MODEL,市实验性示范性高中,无寄宿,ALL,全市,86
12,012009,上海市敬业中学,黄浦区,HP,PUBLIC,CITY_MODEL,市实验性示范性高中,无寄宿,ALL,全市,76
13,012010,上海市卢湾高级中学,黄浦区,HP,PUBLIC,CITY_MODEL,市实验性示范性高中,部分寄宿,ALL,全市,96
14,012002,上海市格致中学（奉贤校区）,黄浦区,HP,PUBLIC,CITY_MODEL,市实验性示范性高中,全部寄宿,ALL,全市,40
15,012006,上海市向明中学（浦江校区）,黄浦区,HP,PUBLIC,CITY_MODEL,市实验性示范性高中,全部寄宿,ALL,全市,38
16,042001,上海市第二中学,徐汇区,XH,PUBLIC,CITY_MODEL,市实验性示范性高中,无寄宿,ALL,全市,52
17,042008,上海市南洋模范中学,徐汇区,XH,PUBLIC,CITY_MODEL,市实验性示范性高中,部分寄宿,ALL,全市,90
18,042035,上海市位育中学,徐汇区,XH,PUBLIC,CITY_MODEL,市实验性示范性高中,全部寄宿,ALL,全市,89
