year,school_code,full_name,district,quota_count
2025,042032,上海市上海中学,浦东新区,43
2025,042032,上海市上海中学,闵行区,55
2025,042032,上海市上海中学,黄浦区,8
2025,042032,上海市上海中学,徐汇区,92
2025,042032,上海市上海中学,长宁区,9
2025,042032,上海市上海中学,静安区,9
2025,042032,上海市上海中学,普陀区,10
2025,042032,上海市上海中学,虹口区,7
2025,042032,上海市上海中学,杨浦区,8
2025,042032,上海市上海中学,宝山区,11
2025,042032,上海市上海中学,嘉定区,10
2025,042032,上海市上海中学,金山区,4
2025,042032,上海市上海中学,松江区,10
2025,042032,上海市上海中学,青浦区,4
2025,042032,上海市上海中学,奉贤区,4
2025,042032,上海市上海中学,崇明区,2
2025,102056,上海交通大学附属中学,浦东新区,66
2025,102056,上海交通大学附属中学,闵行区,36
2025,102056,上海交通大学附属中学,黄浦区,9
2025,102056,上海交通大学附属中学,徐汇区,21
2025,102056,上海交通大学附属中学,长宁区,8
2025,102056,上海交通大学附属中学,静安区,28
2025,102056,上海交通大学附属中学,普陀区,22
2025,102056,上海交通大学附属中学,虹口区,19
2025,102056,上海交通大学附属中学,杨浦区,45
2025,102056,上海交通大学附属中学,宝山区,22
2025,102056,上海交通大学附属中学,嘉定区,10
2025,102056,上海交通大学附属中学,金山区,3
2025,102056,上海交通大学附属中学,松江区,15
2025,102056,上海交通大学附属中学,青浦区,7
2025,102056,上海交通大学附属中学,奉贤区,6
2025,102056,上海交通大学附属中学,崇明区,2
2025,102057,复旦大学附属中学,浦东新区,42
2025,102057,复旦大学附属中学,闵行区,30
2025,102057,复旦大学附属中学,黄浦区,10
2025,102057,复旦大学附属中学,徐汇区,17
2025,102057,复旦大学附属中学,长宁区,9
2025,102057,复旦大学附属中学,静安区,24
2025,102057,复旦大学附属中学,普陀区,14
2025,102057,复旦大学附属中学,虹口区,13
2025,102057,复旦大学附属中学,杨浦区,45
2025,102057,复旦大学附属中学,宝山区,16
2025,102057,复旦大学附属中学,嘉定区,11
2025,102057,复旦大学附属中学,金山区,4
2025,102057,复旦大学附属中学,松江区,10
2025,102057,复旦大学附属中学,青浦区,4
2025,102057,复旦大学附属中学,奉贤区,4
2025,102057,复旦大学附属中学,崇明区,2
2025,152003,华东师范大学第二附属中学,浦东新区,132
2025,152003,华东师范大学第二附属中学,闵行区,22
2025,152003,华东师范大学第二附属中学,黄浦区,1
2025,152003,华东师范大学第二附属中学,徐汇区,17
2025,152003,华东师范大学第二附属中学,长宁区,9
2025,152003,华东师范大学第二附属中学,静安区,17
2025,152003,华东师范大学第二附属中学,普陀区,8
2025,152003,华东师范大学第二附属中学,虹口区,11
2025,152003,华东师范大学第二附属中学,杨浦区,9
2025,152003,华东师范大学第二附属中学,宝山区,10
2025,152003,华东师范大学第二附属中学,嘉定区,10
2025,152003,华东师范大学第二附属中学,金山区,5
2025,152003,华东师范大学第二附属中学,松江区,8
2025,152003,华东师范大学第二附属中学,青浦区,5
2025,152003,华东师范大学第二附属中学,奉贤区,5
2025,152003,华东师范大学第二附属中学,崇明区,1
2025,152006,上海师范大学附属中学,上海市,187
2025,155001,上海市实验学校,上海市,52
2025,012001,上海市格致中学,黄浦区,126
2025,012003,上海市大同中学,黄浦区,136
2025,012005,上海市向明中学,黄浦区,59
2025,012007,上海外国语大学附属大境中学,黄浦区,96
2025,012008,上海市光明中学,黄浦区,86
2025,012009,上海市敬业中学,黄浦区,76
2025,012010,上海市卢湾高级中学,黄浦区,96
2025,012002,上海市格致中学（奉贤校区）,黄浦区,40
2025,012006,上海市向明中学（浦江校区）,黄浦区,38
2025,042001,上海市第二中学,徐汇区,52
2025,042008,上海市南洋模范中学,徐汇区,90
2025,042035,上海市位育中学,徐汇区,89
2025,043015,上海市南洋中学,徐汇区,78
2025,042002,上海市第二中学（梅陇校区）,徐汇区,53
2025,042036,复旦大学附属中学徐汇分校,徐汇区,31
2025,052001,上海市第三女子中学,长宁区,51
2025,052002,上海市延安中学,长宁区,72
2025,053004,上海市复旦中学,长宁区,53
2025,062001,上海市市西中学,静安区,70
2025,062002,上海市育才中学,静安区,67
2025,062003,上海市新中高级中学,静安区,67
2025,062004,上海市市北中学,静安区,74
2025,062011,上海市回民中学,静安区,53
2025,063004,上海市第六十中学,静安区,53
2025,064001,上海市华东模范中学,静安区,44
2025,072001,上海市晋元高级中学,普陀区,84
2025,072002,上海市曹杨第二中学,普陀区,82
2025,073003,上海市宜川中学,普陀区,84
2025,073082,华东师范大学第二附属中学（普陀校区）,普陀区,30
2025,092001,复旦大学附属复兴中学,虹口区,76
2025,092002,华东师范大学第一附属中学,虹口区,71
2025,093001,上海财经大学附属北郊高级中学,虹口区,56
2025,102004,上海市杨浦高级中学,杨浦区,100
2025,102032,上海市控江中学,杨浦区,100
2025,103002,同济大学第一附属中学,杨浦区,84
2025,122001,上海市七宝中学,闵行区,120
2025,123001,上海市闵行中学,闵行区,120
2025,122002,华东师范大学第二附属中学闵行紫竹分校,闵行区,69
2025,122003,上海师范大学附属中学闵行分校,闵行区,86
2025,122004,上海交通大学附属中学闵行分校,闵行区,69
2025,132001,上海市行知中学,宝山区,101
2025,132002,上海大学附属中学,宝山区,101
2025,133001,上海市吴淞中学,宝山区,98
2025,132003,上海师范大学附属中学宝山分校,宝山区,34
2025,133003,华东师范大学第二附属中学（宝山校区）,宝山区,49
2025,142001,上海市嘉定区第一中学,嘉定区,87
2025,142002,上海交通大学附属中学嘉定分校,嘉定区,105
2025,142004,上海师范大学附属中学嘉定新城分校,嘉定区,35
2025,152001,上海市建平中学,浦东新区,109
2025,152002,上海市进才中学,浦东新区,109
2025,152004,上海南汇中学,浦东新区,140
2025,153001,上海市洋泾中学,浦东新区,109
2025,153004,上海市高桥中学,浦东新区,94
2025,153005,上海市川沙中学,浦东新区,94
2025,151078,上海中学东校,浦东新区,94
2025,152005,上海市浦东复旦附中分校,浦东新区,56
2025,162000,上海市金山中学,金山区,78
2025,163002,华东师范大学第三附属中学,金山区,78
2025,172001,上海市松江二中,松江区,82
2025,173001,上海市松江一中,松江区,82
2025,172002,华东师范大学第二附属中学松江分校,松江区,33
2025,172004,上海师范大学附属中学松江分校,松江区,18
2025,174003,上海外国语大学附属外国语学校松江云间中学,松江区,82
2025,182001,上海市青浦高级中学,青浦区,112
2025,183002,上海市朱家角中学,青浦区,112
2025,182002,复旦大学附属中学青浦分校,青浦区,49
2025,202001,上海市奉贤中学,奉贤区,87
2025,202002,华东师范大学第二附属中学临港奉贤分校,奉贤区,43
2025,512000,上海市崇明中学,崇明区,62
2025,512001,上海市实验学校东滩高级中学,崇明区,31
