year,district_id,school_name,min_score
2025,10,上海金瑞学校,513.00
2025,10,上海宝山区世外学校,663.00
2025,10,上海市同济黄浦设计创意中学,633.00
2025,10,上海市上海中学,710.00
2025,10,上海市久隆模范中学,631.50
2025,10,上海市民办新和中学,597.00
2025,10,上海市民办风范中学,558.00
2025,10,上海戏剧学院附属高级中学（艺术班）,600.50
2025,10,上海安生学校,513.00
2025,10,上海音乐学院附属安师实验中学（艺术班）,588.00
2025,10,上海交通大学附属中学,709.00
2025,10,复旦大学附属中学,711.50
2024,10,上海华旭双语学校,518.00
2025,10,上海市民办燎原双语高级中学,598.50
2025,10,上海市民办远东学校,554.50
2025,10,上海华旭双语学校,513.00
2025,10,上海嘉定区民办华盛怀少学校,513.00
2025,10,华东师范大学第二附属中学,709.00
2025,10,上海市民办丰华高级中学,543.00
2025,10,民办上海工商外国语职业学院附属中学,547.50
2025,10,上海浦东新区民办东鼎外国语学校,556.50
2025,10,上海市民办尚德实验学校,621.00
2025,10,上海市民办交大南洋中学,518.00
2025,10,上海市民办永昌中学,513.00
2025,10,上海金山区世外学校,645.50
2025,10,上海市松江区科德高级中学,513.00
2025,10,上海市西外外国语学校,513.00
2025,10,上海赫贤学校,513.00
2025,10,上海青浦区世外高级中学,583.00
2025,10,上海青浦区宏润博源高级中学,513.00
2025,10,上海美达菲双语高级中学,513.00
2025,10,上海民办民一中学,503.50
2025,11,上海市嘉定区第一中学,677.00
2025,11,上海交通大学附属中学嘉定分校,689.00
2025,11,上海师范大学附属中学嘉定新城分校,679.00
2025,11,上海市嘉定区第二中学,648.50
2025,11,上海市嘉定区嘉一实验高级中学,663.00
2025,11,上海师范大学附属嘉定高级中学,636.00
2025,11,上海市嘉定区安亭高级中学,623.50
2025,11,上海大学附属嘉定高级中学,611.50
2025,11,上海市嘉定区中光高级中学,595.50
2025,11,上海市嘉定区封浜高级中学,576.00
2025,11,上海市民办远东学校,543.50
2025,11,上海华旭双语学校,513.00
2025,11,上海嘉定区民办华盛怀少学校,513.00
2025,11,上海市同济黄浦设计创意中学,630.00
2025,11,上海市上海中学,710.00
2025,11,上海戏剧学院附属高级中学（艺术班）,642.50
2025,11,上海安生学校,535.00
2025,11,上海音乐学院附属安师实验中学（艺术班）,621.50
2025,11,上海交通大学附属中学,709.00
2025,11,复旦大学附属中学,710.00
2025,11,上海民办行中中学,539.00
2025,11,上海存志高级中学,635.50
2025,11,上海创艺高级中学,528.00
2025,11,上海市宝山华曜高级中学,626.50
2025,11,上海市同洲模范学校,545.50
2025,11,上海金瑞学校,513.50
2025,11,上海宝山区世外学校,663.00
2025,11,华东师范大学第二附属中学,708.00
2025,11,上海师范大学附属中学,689.00
2025,11,上海市浦东新区民办浦实高级中学,541.00
2025,12,上海市建平中学,699.50
2025,12,上海市进才中学,696.50
2025,12,上海市实验学校,690.00
2025,12,上海市洋泾中学,689.50
2025,12,上海市川沙中学,686.50
2025,12,上海市高桥中学,672.50
2025,12,上海市上南中学,648.00
2025,12,上海市三林中学,635.00
2025,12,上海市杨思高级中学,623.00
2025,12,上海市新川中学,612.00
2025,12,上海市浦东中学,590.00
2025,12,上海市陆行中学,592.00
2025,12,上海市沪新中学,560.00
2025,12,上海市长岛中学,548.00
2025,12,上海市浦东外国语学校东校,634.00
2025,7,上海交通大学附属中学,705.00
2025,7,华东师范大学第二附属中学,705.00
2025,2,上海师范大学附属中学,700.00
2025,5,上海师范大学附属中学,695.00
2025,7,上海师范大学附属中学,695.00
2025,8,上海师范大学附属中学,700.00
2025,10,上海师范大学附属中学,695.00
2025,12,上海市高东中学,566.50
2025,12,上海市泥城中学,543.00
2025,12,华东师范大学第二附属中学,709.50
2025,12,上海师范大学附属中学,691.50
2025,12,上海市建平中学筠溪分校,682.50
2025,12,上海市进才中学根林分校,675.00
2025,12,上海中学东校,705.50
2025,12,上海海事大学附属北蔡高级中学,661.00
2025,12,华东师范大学附属东昌中学,668.00
2025,12,华东师范大学附属周浦中学,651.00
2025,12,上海海洋大学附属大团高级中学,603.00
2025,12,上海第二工业大学附属龚路中学,592.50
2025,12,华东理工大学附属浦东科技高级中学,659.00
2025,12,上海浦东新区民办东鼎外国语学校,549.00
2025,12,上海市民办尚德实验学校,621.00
2025,12,上海市民办金苹果学校,540.00
2024,4,上海市上海中学,714.50
2024,4,上海师范大学附属中学,686.00
2024,4,华东师范大学第二附属中学,709.50
2024,4,复旦大学附属中学,710.50
2024,4,上海交通大学附属中学,710.00
2024,4,上海市五爱高级中学,660.00
2024,4,上海市同济黄浦设计创意中学,608.50
2024,4,上海市民办西南高级中学,605.50
2024,4,上海市第三女子中学,659.00
2024,4,上海市延安中学,682.00
2024,4,上海市复旦中学,673.50
2024,4,上海市仙霞高级中学,608.50
2024,4,上海市建青实验学校,633.00
2024,4,上海市民办新虹桥中学,518.00
2024,4,上海市西郊学校,590.00
2024,4,上海戏剧学院附属高级中学,596.50
2024,4,上海安生学校,546.50
2024,4,上海市民办燎原双语高级中学,567.00
2024,4,上海市文来中学,638.50
2024,4,上海闵行区诺达双语学校,634.50
2024,4,上海宝山区世外学校,682.00
2024,4,上海存志高级中学,664.00
2024,4,上海市宝山华曜高级中学,611.00
2025,12,上海浦东新区民办康德学校,595.00
2025,12,上海科技大学附属学校,738.00
2025,13,上海市金山中学,657.00
2025,13,华东师范大学第三附属中学,642.50
2025,13,上海师范大学第二附属中学,601.50
2025,13,华东师范大学附属枫泾中学,578.00
2025,13,上海金山区世外学校,627.00
2025,13,上海市民办交大南洋中学,566.00
2025,13,上海美达菲双语高级中学,513.00
2025,14,上海市松江二中,692.00
2025,14,上海市松江一中,679.50
2025,14,华东师范大学第二附属中学松江分校,702.00
2025,14,上海师范大学附属中学松江分校,684.00
2025,14,上海外国语大学附属外国语学校松江云间中学,684.00
2025,14,上海市松江九峰实验学校,631.00
2025,14,上海市松江区民办茸一中学,622.00
2025,14,上海市松江区立达中学,603.00
2025,14,上海市松江区第四中学,573.00
2025,14,上海市松江区科德高级中学,609.00
2025,14,上海师范大学附属外国语中学,649.00
2025,14,东华大学附属松江高级中学,642.00
2025,14,华东政法大学附属松江高级中学,659.00
2025,14,上海宋庆龄学校,647.50
2025,14,上海松江区爱菊学校,513.00
2025,14,上海市上海中学,713.00
2025,14,复旦大学附属中学,712.50
2025,14,上海交通大学附属中学,711.00
2025,14,华东师范大学第二附属中学,709.50
2025,14,上海师范大学附属中学,700.00
2025,14,上海宝山区世外学校,673.00
2025,14,上海田家炳中学,630.50
2025,15,上海市青浦高级中学,666.00
2025,15,上海市朱家角中学,638.00
2025,15,复旦大学附属中学青浦分校,706.00
2025,15,上海青浦区宏润博源高级中学,513.00
2025,15,上海宋庆龄学校,647.50
2025,15,上海市青浦区第一中学,762.00
2025,15,上海华东师范大学附属进华中学,761.00
2025,15,上海市西外外国语学校,760.50
2025,16,上海市奉贤中学,679.50
2025,16,华东师范大学第二附属中学临港奉贤分校,673.00
2025,16,上海市格致中学（奉贤校区）,671.50
2025,16,华东理工大学附属奉贤曙光中学,650.50
2025,16,东华大学附属奉贤致远中学,631.50
