id,name,short_name,district
402,上海市嘉定区华江中学,上海市嘉定区,嘉定区
106,上海市天山初级中学,上海市天山初,长宁区
260,上海市龙柏中学,上海市龙柏中,闵行区
566,上海市金山区教育学院附属中学,上海市金山区,金山区
61,民办立达中学,民办立达中学,黄浦区
59,清华中学,清华中学,黄浦区
418,上海市嘉定区金鹤学校,上海市嘉定区,嘉定区
714,上海市崇明区建设中学,,崇明区
693,上海市崇明区建设中学,上海市崇明区,崇明区
407,上海市嘉定区朱桥学校,上海市嘉定区,嘉定区
552,华东师范大学第二附属中学前滩学校,华东师范大学,浦东新区
431,上海市浦泾中学,上海市浦泾中,浦东新区
475,上海市浦东教育发展研究院附属中学,上海市浦东教,浦东新区
135,上海市岭南中学,上海市岭南中,静安区
450,上海市顾路中学,上海市顾路中,浦东新区
536,上海市航头学校,上海市航头学,浦东新区
730,上海市崇明区长江学校,,崇明区
550,上海民办华曜浦东实验学校,上海民办华曜,浦东新区
590,上海市松江区民办茸一中学,上海市松江区,松江区
287,上海市闵行第三中学,上海市闵行第,闵行区
5,上海市嘉定区南苑中学,,嘉定区
390,上海市嘉定区南苑中学,上海市嘉定区,嘉定区
593,上海市松江区洞泾学校,上海市松江区,松江区
339,上海市民办交华中学,上海市民办交,宝山区
282,上海师范大学附属闵行第三中学,上海师范大学,闵行区
681,上海市奉贤中学附属三官堂学校,上海市奉贤中,奉贤区
517,上海市洋泾菊园实验学校,上海市洋泾菊,浦东新区
127,上海市新中初级中学,上海市新中初,静安区
568,上海市西林中学,上海市西林中,金山区
623,上海市青浦区东方中学,上海市青浦区,青浦区
315,上海博世凯外国语学校,上海博世凯外,闵行区
167,上海兰田中学,上海兰田中学,普陀区
347,上海市顾村中学,上海市顾村中,宝山区
481,上海民办光华中学,上海民办光华,浦东新区
372,上海市刘行新华实验学校,上海市刘行新,宝山区
377,上海市行知中学附属宝山实验学校,上海市行知中,宝山区
488,上海市浦东新区三灶实验中学,上海市浦东新,浦东新区
729,上海新纪元双语学校,,崇明区
710,上海新纪元双语学校,上海新纪元双,崇明区
259,上海市闵行区上虹中学,上海市闵行区,闵行区
389,上海市嘉定区迎园中学,上海市嘉定区,嘉定区
4,上海市嘉定区迎园中学,,嘉定区
610,上海市松江区叶榭学校,上海市松江区,松江区
368,上海市宝山区顾村实验学校,上海市宝山区,宝山区
330,上海市宝山区求真中学北校,上海市宝山区,宝山区
181,华东师范大学附属外国语实验学校,华东师范大学,普陀区
42,上海市宜川中学附属学校,宜川附校,普陀区
184,上海市宜川中学附属学校,上海市宜川中,普陀区
311,上海市民办协和双语尚音学校,上海市民办协,闵行区
52,大境初级中学,大境初级中学,黄浦区
497,上海市香山中学,上海市香山中,浦东新区
243,上海市复旦实验中学,上海市复旦实,杨浦区
146,上海市向东中学,上海市向东中,静安区
530,上海市黄路学校,上海市黄路学,浦东新区
462,上海市陆行中学南校,上海市陆行中,浦东新区
619,上海市三新学校松江东部分校,上海市三新学,松江区
265,上海市闵行区北桥中学,上海市闵行区,闵行区
268,上海市闵行区浦江第三中学,上海市闵行区,闵行区
95,上海师大附中附属龙华中学,上海师大附中,徐汇区
6,上海市嘉定区黄渡中学,,嘉定区
391,上海市嘉定区黄渡中学,上海市嘉定区,嘉定区
175,上海华东师范大学附属进华中学,上海华东师范,普陀区
298,上海市闵行区纪王学校,上海市闵行区,闵行区
564,上海市廊下中学,上海市廊下中,金山区
233,上海市同济初级中学,上海市同济初,杨浦区
292,上海市文来中学,上海市文来中,闵行区
668,上海市奉贤区肖塘中学,上海市奉贤区,奉贤区
653,上海市奉贤区实验中学,上海市奉贤区,奉贤区
