district_id,school_code,school_name,owner_district,quota_count
13,042032,上海市上海中学,上海市,4
13,102056,上海交通大学附属中学,上海市,1
13,102057,复旦大学附属中学,上海市,4
13,152003,华东师范大学第二附属中学,上海市,5
13,152006,上海师范大学附属中学,上海市,2
13,012001,上海市格致中学,黄浦区,3
13,012011,同济大学科技中学,黄浦区,1
13,042001,上海市第二中学,徐汇区,2
13,042008,上海市南洋模范中学,徐汇区,5
13,042035,上海市位育中学,徐汇区,4
13,043015,上海市南洋中学,徐汇区,2
13,052002,上海市延安中学,长宁区,2
13,062002,上海市育才中学,静安区,2
13,092002,华东师范大学第一附属中学,虹口区,2
13,102004,上海市杨浦高级中学,杨浦区,1
13,122001,上海市七宝中学,闵行区,5
13,123001,上海市闵行中学,闵行区,6
13,122003,上海师范大学附属中学闵行分校,闵行区,2
13,132002,上海大学附属中学,宝山区,1
13,133001,上海市吴淞中学,宝山区,4
13,142002,上海交通大学附属中学嘉定分校,嘉定区,3
13,142004,上海师范大学附属中学嘉定新城分校,嘉定区,2
13,152001,上海市建平中学,浦东新区,6
13,152002,上海市进才中学,浦东新区,7
13,152004,上海南汇中学,浦东新区,6
13,153001,上海市洋泾中学,浦东新区,4
13,153004,上海市高桥中学,浦东新区,6
13,153005,上海市川沙中学,浦东新区,1
13,151078,上海中学东校,浦东新区,3
13,162000,上海市金山中学,金山区,8
13,163002,华东师范大学第三附属中学,金山区,8
13,172001,上海市松江二中,松江区,11
13,173001,上海市松江一中,松江区,6
13,172004,上海师范大学附属中学松江分校,松江区,2
13,174003,上海外国语大学附属外国语学校松江云间中学,松江区,7
13,182001,上海市青浦高级中学,青浦区,7
13,183002,上海市朱家角中学,青浦区,8
13,182002,复旦大学附属中学青浦分校,青浦区,2
13,202001,上海市奉贤中学,奉贤区,15
13,202002,华东师范大学第二附属中学临港奉贤分校,奉贤区,2
