year,school_id,school_code,school_name,district_id,is_local,school_type,nature,quota_count,boarding,fee,belongs_district,source
2026,183,142001,上海市嘉定区第一中学,11,1,市实验性示范性高中,公办,101,部分寄宿,2000,嘉定区,2026_tongyi_local_jiading.pdf
2026,184,142002,上海交通大学附属中学嘉定分校,11,1,享受市实验性示范性高中招生政策高中,公办,121,部分寄宿,2000,嘉定区,2026_tongyi_local_jiading.pdf
2026,185,142004,上海师范大学附属中学嘉定新城分校,11,1,享受市实验性示范性高中招生政策高中,公办,75,部分寄宿,2000,嘉定区,2026_tongyi_local_jiading.pdf
2026,186,143001,上海市嘉定区第二中学,11,1,区实验性示范性高中（市特色普通高中）,公办,459,部分寄宿,1200,嘉定区,2026_tongyi_local_jiading.pdf
2026,187,142003,上海市嘉定区嘉一实验高级中学,11,1,区实验性示范性高中,公办,500,部分寄宿,1200,嘉定区,2026_tongyi_local_jiading.pdf
2026,344,143002,上海师范大学附属嘉定高级中学,11,1,区实验性示范性高中,公办,540,部分寄宿,1200,嘉定区,2026_tongyi_local_jiading.pdf
2026,345,143003,上海市嘉定区安亭高级中学,11,1,区实验性示范性高中,公办,368,部分寄宿,1200,嘉定区,2026_tongyi_local_jiading.pdf
2026,297,144011,上海大学附属嘉定高级中学,11,1,区实验性示范性高中,公办,368,部分寄宿,1200,嘉定区,2026_tongyi_local_jiading.pdf
2026,188,144010,上海市嘉定区中光高级中学,11,1,一般高中,公办,360,部分寄宿,900,嘉定区,2026_tongyi_local_jiading.pdf
2026,189,144006,上海市嘉定区封浜高级中学,11,1,一般高中,公办,368,部分寄宿,900,嘉定区,2026_tongyi_local_jiading.pdf
2026,190,145007,上海市民办远东学校,11,1,一般高中,民办,352,部分寄宿,25000,嘉定区,2026_tongyi_local_jiading.pdf
2026,191,145018,上海华旭双语学校,11,1,一般高中,民办,152,全部寄宿,68000,嘉定区,2026_tongyi_local_jiading.pdf
2026,192,145030,上海嘉定区民办华盛怀少学校,11,1,一般高中,民办,108,部分寄宿,96000,嘉定区,2026_tongyi_local_jiading.pdf
2026,1,042032,上海市上海中学,11,0,市实验性示范性高中,公办,1,全部寄宿,2000,委属,2026_tongyi_external_jiading.pdf
2026,2,102056,上海交通大学附属中学,11,0,市实验性示范性高中,公办,1,部分寄宿,2000,委属,2026_tongyi_external_jiading.pdf
2026,3,102057,复旦大学附属中学,11,0,市实验性示范性高中,公办,1,部分寄宿,2000,委属,2026_tongyi_external_jiading.pdf
2026,4,152003,华东师范大学第二附属中学,11,0,市实验性示范性高中,公办,1,部分寄宿,2000,委属,2026_tongyi_external_jiading.pdf
2026,5,152006,上海师范大学附属中学,11,0,市实验性示范性高中,公办,1,部分寄宿,1500,委属,2026_tongyi_external_jiading.pdf
2026,47,014006,上海市同济黄浦设计创意中学,11,0,一般高中,公办,3,无寄宿,900,黄浦区,2026_tongyi_external_jiading.pdf
2026,88,063008,上海市久隆模范中学,11,0,区实验性示范性高中,公办,1,无寄宿,0,静安区,2026_tongyi_external_jiading.pdf
2026,323,064020,上海田家炳中学,11,0,区实验性示范性高中,民办,2,部分寄宿,22400,静安区,2026_tongyi_external_jiading.pdf
2026,,069004,上海戏剧学院附属高级中学（艺术班）,11,0,区实验性示范性高中（市特色普通高中）,公办,6,部分寄宿,900,静安区,2026_tongyi_external_jiading.pdf
2026,107,074081,上海安生学校,11,0,一般高中,民办,7,部分寄宿,50000,普陀区,2026_tongyi_external_jiading.pdf
2026,,079016,上海音乐学院附属安师实验中学（艺术班）,11,0,区实验性示范性高中（市特色普通高中）,公办,2,部分寄宿,900,普陀区,2026_tongyi_external_jiading.pdf
2026,352,124118,上海圣华紫竹高级中学,11,0,一般高中,民办,5,部分寄宿,,闵行区,2026_tongyi_external_jiading.pdf
2026,175,134010,上海民办行中中学,11,0,一般高中,民办,6,部分寄宿,40500,宝山区,2026_tongyi_external_jiading.pdf
2026,176,134012,上海存志高级中学,11,0,一般高中,民办,9,全部寄宿,55000,宝山区,2026_tongyi_external_jiading.pdf
2026,178,134014,上海创艺高级中学,11,0,一般高中,民办,13,部分寄宿,62000,宝山区,2026_tongyi_external_jiading.pdf
2026,179,134015,上海市宝山华曜高级中学,11,0,一般高中,民办,12,全部寄宿,42000,宝山区,2026_tongyi_external_jiading.pdf
2026,180,135001,上海市同洲模范学校,11,0,一般高中,民办,13,部分寄宿,25200,宝山区,2026_tongyi_external_jiading.pdf
2026,181,135003,上海金瑞学校,11,0,一般高中,民办,3,全部寄宿,75000,宝山区,2026_tongyi_external_jiading.pdf
2026,182,135034,上海宝山区世外学校,11,0,一般高中,民办,5,全部寄宿,61000,宝山区,2026_tongyi_external_jiading.pdf
2026,223,154033,上海市浦东新区民办浦实高级中学,11,0,一般高中,民办,2,部分寄宿,27000,浦东新区,2026_tongyi_external_jiading.pdf
2026,225,154039,上海市民办丰华高级中学,11,0,一般高中,民办,1,部分寄宿,21500,浦东新区,2026_tongyi_external_jiading.pdf
2026,227,154048,民办上海工商外国语职业学院附属中学,11,0,一般高中,民办,2,部分寄宿,20000,浦东新区,2026_tongyi_external_jiading.pdf
2026,234,155041,上海浦东新区民办东鼎外国语学校,11,0,一般高中,民办,2,全部寄宿,30000,浦东新区,2026_tongyi_external_jiading.pdf
