district_id,school_code,school_name,owner_district,quota_count
5,042032,上海市上海中学,上海市,9
5,102056,上海交通大学附属中学,上海市,31
5,102057,复旦大学附属中学,上海市,25
5,152003,华东师范大学第二附属中学,上海市,15
5,012001,上海市格致中学,黄浦区,24
5,012003,上海市大同中学,黄浦区,8
5,012005,上海市向明中学,黄浦区,6
5,012007,上海外国语大学附属大境中学,黄浦区,1
5,012008,上海市光明中学,黄浦区,2
5,012009,上海市敬业中学,黄浦区,2
5,012011,同济大学科技中学,黄浦区,4
5,042001,上海市第二中学,徐汇区,5
5,042008,上海市南洋模范中学,徐汇区,10
5,042035,上海市位育中学,徐汇区,3
5,043015,上海市南洋中学,徐汇区,3
5,042036,复旦大学附属中学徐汇分校,徐汇区,4
5,052001,上海市第三女子中学,长宁区,7
5,052002,上海市延安中学,长宁区,8
5,053004,上海市复旦中学,长宁区,6
5,062001,上海市市西中学,静安区,7
5,062002,上海市育才中学,静安区,8
5,062003,上海市新中高级中学,静安区,7
5,062004,上海市市北中学,静安区,8
5,062011,上海市回民中学,静安区,3
5,063004,上海市第六十中学,静安区,6
5,064001,上海市华东模范中学,静安区,4
5,072001,上海市晋元高级中学,普陀区,8
5,072002,上海市曹杨第二中学,普陀区,13
5,073003,上海市宜川中学,普陀区,10
5,073082,华东师范大学第二附属中学（普陀校区）,普陀区,8
5,092001,复旦大学附属复兴中学,虹口区,12
5,092002,华东师范大学第一附属中学,虹口区,4
5,093001,上海财大学附属北郊高级中学,虹口区,6
5,102004,上海市杨浦高级中学,杨浦区,4
5,102032,上海市控江中学,杨浦区,11
5,103002,同济大学第一附属中学,杨浦区,1
5,122001,上海市七宝中学,闵行区,8
5,123001,上海市闵行中学,闵行区,5
5,122002,华东师范大学第二附属中学闵行紫竹分校,闵行区,6
5,122003,上海师范大学附属中学闵行分校,闵行区,4
5,122004,上海交通大学附属中学闵行分校,闵行区,4
5,132001,上海市行知中学,宝山区,8
5,132002,上海大学附属中学,宝山区,6
5,133001,上海市吴淞中学,宝山区,6
5,132003,上海师范大学附属中学宝山分校,宝山区,5
5,133003,华东师范大学第二附属中学（宝山校区）,宝山区,8
5,142001,上海市嘉定区第一中学,嘉定区,6
5,142002,上海交通大学附属中学嘉定分校,嘉定区,8
5,152001,上海市建平中学,浦东新区,8
5,152002,上海市进才中学,浦东新区,7
5,152004,上海南汇中学,浦东新区,8
5,153001,上海市洋泾中学,浦东新区,9
5,153004,上海市高桥中学,浦东新区,6
5,153005,上海市川沙中学,浦东新区,9
5,151078,上海中学东校,浦东新区,6
5,152005,上海市浦东复旦附中分校,浦东新区,6
5,162000,上海市金山中学,金山区,2
5,163002,华东师范大学第三附属中学,金山区,2
5,172001,上海市松江二中,松江区,2
5,173001,上海市松江一中,松江区,2
5,172002,华东师范大学第二附属中学松江分校,松江区,3
5,174003,上海外国语大学附属外国语学校松江云间中学,松江区,2
5,182001,上海市青浦高级中学,青浦区,5
5,183002,上海市朱家角中学,青浦区,5
5,182002,复旦大学附属中学青浦分校,青浦区,5
5,202001,上海市奉贤中学,奉贤区,2
5,202002,华东师范大学第二附属中学临港奉贤分校,奉贤区,7
5,512000,上海市崇明中学,崇明区,2
5,512001,上海市实验学校东滩高级中学,崇明区,2
