序号,所在区,学校代码,学校名称,最低投档控制分数线
1,宝山区,134010,上海民办行中中学,480
2,宝山区,134014,上海创艺高级中学,485
3,嘉定区,145018,上海华旭双语学校,491
4,浦东新区,154048,民办上海工商外国语职业学院附属中学,490
5,浦东新区,155041,上海浦东新区民办东鼎外国语学校,480
6,青浦区,184007,上海青浦区宏润博源高级中学,491
7,崇明区,514010,上海民办民一中学,441.5
8,崇明区,514014,上海新纪元双语学校,462
