序号,学校招生代码,学校名称,所属区,办别,学校类型,寄宿情况,计划区域,计划数
1,042032,上海市上海中学,上海市,公办,市实验性示范性高中,全部寄宿,徐汇,88
2,102056,上海交通大学附属中学,上海市,公办,市实验性示范性高中,部分寄宿,徐汇,15
3,102057,复旦大学附属中学,上海市,公办,市实验性示范性高中,部分寄宿,徐汇,16
4,152003,华东师范大学第二附属中学,上海市,公办,市实验性示范性高中,部分寄宿,徐汇,15
5,152006,上海师范大学附属中学,上海市,公办,市实验性示范性高中,部分寄宿,徐汇,21
6,012001,上海市格致中学,黄浦区,公办,市实验性示范性高中,部分寄宿,徐汇,3
7,012003,上海市大同中学,黄浦区,公办,市实验性示范性高中,部分寄宿,徐汇,14
8,012005,上海市向明中学,黄浦区,公办,市实验性示范性高中,无寄宿,徐汇,6
9,012007,上海外国语大学附属大境中学,黄浦区,公办,市实验性示范性高中,部分寄宿,徐汇,5
10,012008,上海市光明中学,黄浦区,公办,市实验性示范性高中,无寄宿,徐汇,1
11,012009,上海市敬业中学,黄浦区,公办,市实验性示范性高中,无寄宿,徐汇,3
12,012010,上海市卢湾高级中学,黄浦区,公办,市实验性示范性高中,部分寄宿,徐汇,8
13,042001,上海市第二中学,徐汇区,公办,市实验性示范性高中,无寄宿,徐汇,6
14,042008,上海市南洋模范中学,徐汇区,公办,市实验性示范性高中,部分寄宿,徐汇,9
15,042035,上海市位育中学,徐汇区,公办,市实验性示范性高中,全部寄宿,徐汇,9
16,043015,上海市南洋中学,徐汇区,公办,市实验性示范性高中,部分寄宿,徐汇,8
17,042002,上海市第二中学（梅陇校区）,徐汇区,公办,享受市实验性示范性高中招生政策高中,全部寄宿,徐汇,36
18,042036,复旦大学附属中学徐汇分校,徐汇区,公办,享受市实验性示范性高中招生政策高中,全部寄宿,徐汇,3
19,052001,上海市第三女子中学,长宁区,公办,市实验性示范性高中,部分寄宿,徐汇,2
20,052002,上海市延安中学,长宁区,公办,市实验性示范性高中,全部寄宿,徐汇,7
21,053004,上海市复旦中学,长宁区,公办,市实验性示范性高中,全部寄宿,徐汇,3
22,062001,上海市市西中学,静安区,公办,市实验性示范性高中,无寄宿,徐汇,8
23,062002,上海市育才中学,静安区,公办,市实验性示范性高中,全部寄宿,徐汇,2
24,062003,上海市新中高级中学,静安区,公办,市实验性示范性高中,部分寄宿,徐汇,3
25,062004,上海市市北中学,静安区,公办,市实验性示范性高中,无寄宿,徐汇,1
26,062011,上海市回民中学,静安区,公办,市实验性示范性高中,部分寄宿,徐汇,3
27,063004,上海市第六十中学,静安区,公办,市实验性示范性高中,无寄宿,徐汇,2
28,064001,上海市华东模范中学,静安区,公办,市实验性示范性高中,无寄宿,徐汇,5
29,072002,上海市曹杨第二中学,普陀区,公办,市实验性示范性高中,部分寄宿,徐汇,2
30,073003,上海市宜川中学,普陀区,公办,市实验性示范性高中,无寄宿,徐汇,6
31,073082,"华东师范大学第二附属中学（普陀校区）",普陀区,公办,享受市实验性示范性高中招生政策高中,部分寄宿,徐汇,4
32,093001,上海财经大学附属北郊高级中学,虹口区,公办,市实验性示范性高中,无寄宿,徐汇,2
33,102004,上海市杨浦高级中学,杨浦区,公办,市实验性示范性高中,部分寄宿,徐汇,3
34,102032,上海市控江中学,杨浦区,公办,市实验性示范性高中,部分寄宿,徐汇,8
